X Y Yfit Y1 Y2
2.575E+0 3.396E-6 3.266E-6 3.266E-6 0.000E+0
2.765E+0 4.483E-6 4.484E-6 4.484E-6 0.000E+0
2.951E+0 5.878E-6 5.991E-6 5.991E-6 0.000E+0
3.205E+0 8.803E-6 8.653E-6 8.653E-6 0.000E+0
3.384E+0 1.103E-5 1.102E-5 1.102E-5 0.000E+0
3.599E+0 1.407E-5 1.450E-5 1.450E-5 0.000E+0
3.796E+0 1.793E-5 1.838E-5 1.838E-5 0.000E+0
3.992E+0 2.258E-5 2.300E-5 2.300E-5 0.000E+0
4.187E+0 2.813E-5 2.844E-5 2.844E-5 0.000E+0
4.380E+0 3.476E-5 3.475E-5 3.475E-5 0.000E+0
4.574E+0 4.256E-5 4.215E-5 4.215E-5 0.000E+0
4.764E+0 5.136E-5 5.052E-5 5.052E-5 0.000E+0
4.954E+0 6.180E-5 6.012E-5 6.012E-5 0.000E+0
