N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 -9.240379400E-02 -1.758291970E-01 -5.306751000E-02 4.338141000E-03 2.524903200E-02 3.830466700E-02 4.903850800E-02 5.843963400E-02 5.898982800E-02
1.016672606E+01 -9.229933400E-02 -1.766906560E-01 -5.394264300E-02 3.937389000E-03 2.534068500E-02 3.899202500E-02 5.051030200E-02 6.131256100E-02 6.264222500E-02
1.033324570E+01 -9.232481200E-02 -1.773107770E-01 -5.435203700E-02 3.697708000E-03 2.543658100E-02 3.957435200E-02 5.171780700E-02 6.279828800E-02 6.572935500E-02
1.049996187E+01 -9.250997700E-02 -1.777795460E-01 -5.429516800E-02 3.627555000E-03 2.554200700E-02 4.005340500E-02 5.269333500E-02 6.390466900E-02 6.792887200E-02
1.066670514E+01 -9.289370700E-02 -1.781643070E-01 -5.373701900E-02 3.741394000E-03 2.583424900E-02 4.041762100E-02 5.342126500E-02 6.469473100E-02 6.859610600E-02
1.083333839E+01 -9.353414400E-02 -1.785192340E-01 -5.259938800E-02 4.063904000E-03 2.590149300E-02 4.065445300E-02 5.386156600E-02 6.512242800E-02 6.872999400E-02
1.100000000E+01 -9.451720700E-02 -1.788920670E-01 -5.075575900E-02 4.632823000E-03 2.609176700E-02 4.075528700E-02 5.397304000E-02 6.506861800E-02 6.813543900E-02
1.116672606E+01 -9.596402900E-02 -1.793285900E-01 -4.803489800E-02 5.498103000E-03 2.626474900E-02 4.071531000E-02 5.372980400E-02 6.445878900E-02 6.700114500E-02
1.133324570E+01 -9.803539000E-02 -1.798745630E-01 -4.424184000E-02 6.714309000E-03 2.652443600E-02 4.053290400E-02 5.313310100E-02 6.334360100E-02 6.542296800E-02
1.149996187E+01 -1.009285670E-01 -1.678135270E-01 -3.920852500E-02 8.322990000E-03 2.687676100E-02 4.021200300E-02 5.222284100E-02 6.184874300E-02 6.366380300E-02
1.166670514E+01 -1.048571780E-01 -1.518882220E-01 -3.288394600E-02 1.032327700E-02 2.727402900E-02 3.976796400E-02 5.108768200E-02 6.016641800E-02 6.193483200E-02
1.183333839E+01 -1.100008480E-01 -1.323925090E-01 -2.545101000E-02 1.263778200E-02 2.770695100E-02 3.923552300E-02 4.986463000E-02 5.854752100E-02 6.047643400E-02
1.200000000E+01 -1.164140080E-01 -1.103116310E-01 -1.741003900E-02 1.509483300E-02 2.814250900E-02 3.867270700E-02 4.871838100E-02 5.721558200E-02 5.946919500E-02
1.216672606E+01 -1.239028380E-01 -8.765841500E-02 -9.525981000E-03 1.745562300E-02 2.852301200E-02 3.815520800E-02 4.780323600E-02 5.632284400E-02 5.900429700E-02
1.233324570E+01 -1.319245130E-01 -6.694940800E-02 -2.585243000E-03 1.949272700E-02 2.882734800E-02 3.775947200E-02 4.722402300E-02 5.592862500E-02 5.908637000E-02
1.249996187E+01 -1.396139090E-01 -5.011163200E-02 2.918484000E-03 2.107600200E-02 2.905806200E-02 3.754061500E-02 4.701468300E-02 5.600584000E-02 5.964842700E-02
1.266670514E+01 -1.354936860E-01 -3.766656100E-02 6.927995000E-03 2.220149200E-02 2.924042500E-02 3.751640600E-02 4.714177600E-02 5.646641100E-02 6.057621800E-02
1.283333839E+01 -1.146725640E-01 -2.892219000E-02 9.700245000E-03 2.294935400E-02 2.940211400E-02 3.766560600E-02 4.752774500E-02 5.719484000E-02 6.172244000E-02
1.300000000E+01 -9.982685700E-02 -2.278719500E-02 1.157529500E-02 2.341943700E-02 2.955721300E-02 3.794134800E-02 4.808174400E-02 5.808009000E-02 6.290831400E-02
