N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.194511757E+00 1.192072139E+00 1.189750684E+00 1.187599501E+00
1.600000000E+01 1.209717281E+00 1.207797232E+00 1.206132586E+00 1.204030715E+00
1.700000000E+01 1.219125476E+00 1.216009081E+00 1.214027719E+00 1.212660573E+00
1.549996187E+01 1.200344338E+00 1.198212446E+00 1.196087530E+00 1.194477650E+00
1.649996187E+01 1.207681117E+00 1.205409773E+00 1.203354899E+00 1.201558209E+00
1.674996808E+01 1.210569497E+00 1.208017177E+00 1.205850393E+00 1.203760930E+00
1.624993176E+01 1.209218786E+00 1.207307648E+00 1.205443874E+00 1.203652483E+00
1.574996808E+01 1.205380584E+00 1.203513884E+00 1.201552392E+00 1.199645926E+00
1.524993176E+01 1.197833699E+00 1.195554183E+00 1.193335685E+00 1.191565437E+00
