cprpf1Mn1.dat - 4.4.2024  :48440000
T=295.20 f=1000000 Vm=0.01 Im=10

cprpf1Mn2.dat - 4.4.2024  :48532000
T=295.23 f=1000000 Vm=0.01 Im=10

cprp100fn1.dat - 4.4.2024  :48626000
T=295.25 f=100000 Vm=0.01 Im=10

cprp100fn2.dat - 4.4.2024  :48718000
T=295.27 f=100000 Vm=0.01 Im=10

cprp10fn1.dat - 4.4.2024  :48814000
T=295.29 f=10000 Vm=0.01 Im=10

cprp10fn2.dat - 4.4.2024  :48908000
T=295.27 f=10000 Vm=0.01 Im=10

cprp0Vn1.dat - 4.4.2024  :49218000
T=295.20 f=1000000 Vm=0.01 Im=10

cprp0V4n1.dat - 4.4.2024  :49470000
T=295.24 f=1000000 Vb=0.4 Vm=0.01 Im=10

rrm1V2n1.dat - 4.4.2024  :49694000
T=295.29 f=1000000 Vb=-1.2 Vm=0.01 Im=10

rrm1Vn1.dat - 4.4.2024  :49836000
T=295.31 f=1000000 Vb=-1 Vm=0.01 Im=10

rrm0V8n1.dat - 4.4.2024  :49976000
T=295.29 f=1000000 Vb=-0.8 Vm=0.01 Im=10

rrm0V6n1.dat - 4.4.2024  :50118000
T=295.25 f=1000000 Vb=-0.6 Vm=0.01 Im=10

rrm0V4n1.dat - 4.4.2024  :50258000
T=295.22 f=1000000 Vb=-0.4 Vm=0.01 Im=10

rrm0V2n1.dat - 4.4.2024  :50400000
T=295.25 f=1000000 Vb=-0.2 Vm=0.01 Im=10

rr2V22E-16n1.dat - 4.4.2024  :50542000
T=295.26 f=1000000 Vm=0.01 Im=10

rr0V2n1.dat - 4.4.2024  :50682000
T=295.28 f=1000000 Vb=0.2 Vm=0.01 Im=10

rr0V4n1.dat - 4.4.2024  :50824000
T=295.35 f=1000000 Vb=0.4 Vm=0.01 Im=10

cprpf1Mn3.dat - 4.4.2024  :50996000
T=295.33 f=1000000 Vm=0.01 Im=10

cprpf1Mn4.dat - 4.4.2024  :51088000
T=295.31 f=1000000 Vm=0.01 Im=10

cprp100fn3.dat - 4.4.2024  :51182000
T=295.28 f=100000 Vm=0.01 Im=10

cprp100fn4.dat - 4.4.2024  :51276000
T=295.27 f=100000 Vm=0.01 Im=10

cprp10fn3.dat - 4.4.2024  :51370000
T=295.25 f=10000 Vm=0.01 Im=10

cprp10fn4.dat - 4.4.2024  :51464000
T=295.28 f=10000 Vm=0.01 Im=10

i1.dat - 5.4.2024  :41510000
T=296.08

d54ai1pr.dat - 5.4.2024  :41510000
T=296.08

d54ai1zv.dat - 5.4.2024  :41510000
T=296.08

i2.dat - 5.4.2024  :41536000
T=296.07

d54ai2pr.dat - 5.4.2024  :41536000
T=296.07

d54ai2zv.dat - 5.4.2024  :41536000
T=296.07

i3.dat - 5.4.2024  :41556000
T=296.07

d54ai3pr.dat - 5.4.2024  :41556000
T=296.07

d54ai3zv.dat - 5.4.2024  :41556000
T=296.07

