T file kT1 Voc Jsc FF Eta Vmpp Jmpp Wph TDD TDD1 d N_B
340 001_340 34.101 4.271800E-1 3.361108E+1 7.028790E+1 0.000000E+0 3.302160E-1 3.056152E+1 1.000000E+2 1.000000E+13 1.000000E+13 3.500E-4 1.360E+15
340 002_340 34.101 4.211350E-1 3.309779E+1 7.023960E+1 0.000000E+0 3.258070E-1 3.004987E+1 1.000000E+2 1.292000E+13 1.292000E+13 3.500E-4 1.360E+15
340 003_340 34.101 4.151570E-1 3.257220E+1 7.015510E+1 0.000000E+0 3.210170E-1 2.955228E+1 1.000000E+2 1.668000E+13 1.668000E+13 3.500E-4 1.360E+15
340 004_340 34.101 4.092620E-1 3.203453E+1 7.008760E+1 0.000000E+0 3.166130E-1 2.902230E+1 1.000000E+2 2.154000E+13 2.154000E+13 3.500E-4 1.360E+15
340 005_340 34.101 4.034360E-1 3.148526E+1 6.996960E+1 0.000000E+0 3.120120E-1 2.848522E+1 1.000000E+2 2.783000E+13 2.783000E+13 3.500E-4 1.360E+15
340 006_340 34.101 3.976840E-1 3.092510E+1 6.986290E+1 0.000000E+0 3.075110E-1 2.794062E+1 1.000000E+2 3.594000E+13 3.594000E+13 3.500E-4 1.360E+15
340 007_340 34.101 3.919860E-1 3.035502E+1 6.969400E+1 0.000000E+0 3.030360E-1 2.736546E+1 1.000000E+2 4.642000E+13 4.642000E+13 3.500E-4 1.360E+15
340 008_340 34.101 3.863190E-1 2.977624E+1 6.953120E+1 0.000000E+0 2.983360E-1 2.680952E+1 1.000000E+2 5.995000E+13 5.995000E+13 3.500E-4 1.360E+15
340 009_340 34.101 3.806660E-1 2.919027E+1 6.929560E+1 0.000000E+0 2.938600E-1 2.620278E+1 1.000000E+2 7.743000E+13 7.743000E+13 3.500E-4 1.360E+15
340 010_340 34.101 3.750130E-1 2.861480E+1 6.905110E+1 0.000000E+0 2.888630E-1 2.565173E+1 1.000000E+2 1.000000E+14 1.000000E+14 3.500E-4 1.360E+15
