T(K) Nd(cm-3) Mu(cm2/Vs)
377 3.74554E+17 3.17333E+2
407 3.31053E+17 3.12352E+2
418 7.84774E+19 8.15857E+1
307 2.50723E+19 1.30047E+2
464 4.37650E+19 9.11425E+1
490 8.46756E+18 1.09479E+2
342 6.58633E+18 1.45459E+2
414 2.55852E+19 1.06255E+2
412 6.42754E+17 2.50390E+2
368 7.56228E+18 1.35621E+2
286 3.79332E+19 1.18753E+2
445 3.92824E+17 2.74792E+2
281 6.27948E+19 8.60908E+1
302 6.96511E+17 2.85553E+2
425 2.55381E+18 1.60102E+2
463 3.60718E+17 2.71374E+2
300 1.01048E+17 5.81675E+2
291 8.29001E+17 2.72271E+2
314 1.25916E+18 2.30096E+2
305 8.15759E+17 2.68990E+2
305 1.20120E+19 1.43856E+2
447 3.37594E+17 2.85660E+2
289 2.83064E+18 1.89658E+2
277 1.19779E+19 1.53249E+2
485 5.10892E+19 8.62336E+1
303 6.38211E+19 8.83449E+1
324 7.46745E+18 1.47160E+2
325 5.80056E+19 9.58281E+1
282 3.73329E+19 1.19785E+2
464 4.59940E+18 1.29932E+2
441 1.57601E+18 1.80394E+2
419 1.32908E+18 1.96183E+2
422 3.15494E+19 1.02117E+2
469 3.61187E+19 9.26992E+1
387 4.74057E+17 2.88511E+2
322 4.16606E+17 3.34505E+2
359 6.33395E+19 9.16937E+1
358 8.61258E+19 7.52305E+1
411 1.43745E+18 1.93567E+2
342 3.61816E+19 1.13899E+2
447 6.34948E+19 8.64543E+1
492 2.31048E+18 1.49960E+2
408 2.88671E+17 3.24843E+2
332 2.09050E+17 4.21928E+2
442 3.52871E+17 2.85270E+2
308 2.28148E+19 1.31871E+2
380 8.44156E+19 7.78452E+1
361 1.88517E+19 1.21725E+2
449 5.06960E+18 1.29806E+2
325 7.74837E+18 1.45979E+2
401 1.46738E+19 1.16034E+2
309 2.44105E+19 1.30252E+2
470 4.51437E+18 1.29356E+2
364 3.80386E+18 1.57218E+2
315 9.81841E+19 6.07027E+1
449 3.20018E+17 2.88997E+2
368 5.79137E+17 2.77765E+2
328 3.91368E+17 3.39477E+2
298 3.41749E+18 1.78805E+2
283 2.18456E+17 4.52286E+2
457 7.00208E+18 1.19456E+2
380 1.57640E+18 1.96316E+2
467 3.53585E+18 1.38329E+2
393 1.35008E+17 4.20325E+2
471 6.56786E+18 1.18630E+2
284 1.08805E+18 2.50841E+2
450 8.19697E+17 2.17607E+2
289 1.00204E+17 5.98650E+2
303 3.40837E+18 1.77263E+2
396 1.16895E+19 1.20705E+2
276 2.03414E+19 1.43083E+2
402 9.93519E+18 1.22300E+2
477 6.40977E+17 2.23947E+2
469 1.58931E+17 3.28598E+2
308 1.21046E+17 5.36710E+2
297 6.56933E+19 8.54590E+1
298 4.29067E+19 1.11958E+2
338 4.17934E+17 3.26462E+2
461 2.06708E+17 3.15958E+2
357 1.69144E+17 4.30105E+2
287 3.78583E+19 1.18808E+2
445 6.24563E+18 1.24576E+2
278 1.13623E+19 1.53914E+2
364 1.46989E+18 2.05137E+2
475 2.37992E+19 9.61169E+1
403 1.49226E+19 1.15321E+2
332 5.70999E+19 9.68034E+1
418 3.42848E+18 1.49195E+2
479 5.01396E+19 8.72268E+1
346 3.72430E+19 1.12382E+2
404 7.85010E+17 2.37589E+2
341 4.71300E+17 3.11370E+2
435 1.33042E+19 1.10782E+2
309 1.73974E+18 2.09732E+2
338 5.96318E+18 1.49066E+2
279 3.39299E+19 1.24750E+2
307 1.88748E+19 1.35659E+2
360 4.29936E+19 1.06354E+2
410 3.36635E+19 1.03392E+2
479 3.28321E+17 2.68467E+2
288 1.49473E+18 2.25769E+2
353 7.01858E+17 2.65836E+2
284 1.92178E+18 2.10948E+2
449 1.10011E+17 3.76957E+2
469 5.68759E+18 1.22790E+2
426 5.69422E+17 2.54016E+2
425 3.57357E+17 2.94029E+2
455 5.58660E+17 2.42473E+2
476 3.81040E+19 9.09996E+1
440 6.91204E+18 1.22932E+2
291 5.94552E+18 1.62801E+2
375 2.63491E+18 1.70029E+2
422 5.57390E+17 2.57537E+2
393 4.89115E+18 1.42018E+2
342 1.15025E+17 5.02965E+2
431 3.97482E+17 2.81608E+2
451 9.14816E+17 2.10061E+2
458 1.60237E+18 1.75244E+2
376 1.35945E+17 4.38268E+2
407 7.25339E+18 1.28041E+2
473 6.76232E+17 2.21980E+2
401 3.01717E+19 1.06700E+2
316 2.74235E+19 1.25782E+2
303 6.32995E+19 8.88277E+1
305 2.04974E+17 4.46842E+2
440 2.36681E+19 1.02241E+2
275 2.84254E+18 1.93815E+2
369 5.05942E+17 2.90703E+2
454 2.35200E+19 9.98944E+1
357 5.95329E+19 9.45786E+1
352 1.53212E+19 1.26642E+2
314 7.75543E+19 7.65608E+1
359 6.58480E+18 1.41142E+2
492 3.47541E+18 1.34163E+2
387 7.01874E+17 2.52792E+2
393 5.73655E+19 9.40669E+1
449 2.14568E+18 1.62664E+2
319 1.38240E+17 5.00153E+2
349 5.33712E+18 1.49289E+2
300 3.31330E+19 1.23145E+2
301 4.69109E+17 3.29835E+2
492 9.36960E+17 1.95025E+2
461 1.79108E+18 1.68735E+2
398 4.05287E+18 1.47359E+2
384 1.20514E+18 2.12641E+2
424 2.35761E+17 3.33264E+2
368 1.68450E+19 1.21466E+2
299 6.05769E+18 1.59658E+2
360 7.49427E+17 2.57562E+2
477 2.08202E+18 1.57927E+2
313 1.81936E+18 2.05747E+2
468 8.39221E+18 1.13355E+2
290 1.62966E+17 4.99288E+2
362 6.41960E+17 2.70580E+2
447 2.48254E+17 3.11205E+2
484 3.23449E+17 2.66883E+2
440 1.15259E+17 3.83548E+2
341 8.54506E+19 7.38545E+1
328 8.09794E+17 2.61703E+2
333 6.03668E+19 9.38635E+1
354 2.24471E+18 1.83097E+2
443 4.33976E+17 2.67678E+2
420 2.02769E+17 3.51369E+2
405 3.93040E+19 1.01793E+2
393 2.01980E+18 1.78921E+2
449 1.48790E+18 1.81405E+2
366 3.22656E+18 1.63337E+2
428 9.25130E+18 1.18609E+2
273 9.36105E+18 1.59004E+2
388 1.66366E+19 1.17055E+2
407 1.62933E+18 1.87192E+2
286 1.98606E+19 1.40762E+2
287 8.54583E+17 2.70847E+2
430 5.31447E+19 9.23554E+1
481 2.83351E+19 9.32976E+1
462 1.96848E+17 3.18965E+2
438 1.60277E+17 3.56402E+2
395 2.49183E+17 3.49751E+2
413 2.22046E+17 3.47963E+2
497 3.67187E+17 2.51059E+2
446 2.15065E+17 3.24090E+2
466 8.13806E+19 7.83912E+1
292 1.05681E+18 2.50480E+2
482 8.26972E+19 7.69717E+1
383 4.52643E+17 2.95114E+2
386 6.22340E+18 1.36468E+2
358 5.58005E+18 1.45932E+2
347 2.16097E+17 4.04822E+2
362 5.98741E+19 9.41812E+1
314 9.91160E+18 1.44276E+2
378 1.63937E+18 1.94447E+2
350 4.37077E+19 1.07014E+2
417 1.62974E+19 1.11339E+2
391 1.40698E+19 1.18837E+2
357 1.15140E+18 2.23941E+2
287 7.15194E+18 1.59634E+2
324 1.68143E+18 2.07536E+2
373 3.24681E+17 3.35730E+2
284 3.41855E+18 1.83189E+2
350 1.70402E+19 1.25841E+2
