fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 29804 295.1 39.3 8.264049695E-08 3.897734689E+00 1.076264532E+04 7.384322596E-05 3.911686862E+00 2.990835862E+03 0.000000000E+00 2.701747758E-04 4.884744561E-01 2.475867355E-04 4.315962305E-05 3.568686611E-01 2.685997306E-01 1.606837913E-04 4.265450667E-03 
00L2 30616 298 38.9 2.338907782E-07 4.175644733E+00 1.095740811E+04 7.866911548E-05 3.421641638E+00 2.426107800E+03 0.000000000E+00 2.683920169E-04 4.833450162E-01 2.477923430E-04 4.373586447E-05 3.651678950E-01 2.719600649E-01 1.608172306E-04 1.737944442E-03 
00L3 31408 301 38.52 1.114148616E-06 4.569017262E+00 1.517843437E+04 8.960948034E-05 3.167316137E+00 2.071079959E+03 0.000000000E+00 2.656587289E-04 4.777680029E-01 2.481638931E-04 4.404410375E-05 3.714771651E-01 2.726265796E-01 1.615546944E-04 2.797827501E-03 
00L4 31976 304.1 38.13 2.818089257E-07 4.124907952E+00 1.144452437E+04 1.240483673E-04 4.091168489E+00 1.957094500E+03 0.000000000E+00 2.693563079E-04 4.744510462E-01 2.492451857E-04 4.417816424E-05 3.735850413E-01 2.726889441E-01 1.620093707E-04 8.796662608E-03 
00L5 32756 307 37.76 1.371538372E-08 3.253384731E+00 7.277011133E+03 1.386997730E-04 4.634555011E+00 1.770769591E+03 0.000000000E+00 2.734193906E-04 4.672277668E-01 2.500362305E-04 4.472721570E-05 3.828602482E-01 2.726874067E-01 1.640237672E-04 2.898986453E-03 
00L6 33494 310 37.4 3.126427155E-07 3.992922319E+00 1.144897453E+04 1.623922552E-04 4.038422545E+00 1.535519762E+03 0.000000000E+00 2.675672015E-04 4.622324647E-01 2.497124361E-04 4.469069765E-05 3.871832118E-01 2.719888302E-01 1.643107830E-04 3.171540560E-03 
00L7 34100 313 37.04 2.268248386E-07 3.897133112E+00 9.751668577E+03 1.866805652E-04 4.043652985E+00 1.359205625E+03 0.000000000E+00 2.688298394E-04 4.574268457E-01 2.503998579E-04 4.472190469E-05 3.904492244E-01 2.722590810E-01 1.642623068E-04 6.791799945E-03 
00L8 34810 316 36.69 2.382215661E-08 3.058212340E+00 7.560910007E+03 1.678278050E-04 4.852147021E+00 1.173367096E+03 0.000000000E+00 2.690129911E-04 4.492517184E-01 2.507336197E-04 4.481336357E-05 3.978370489E-01 2.687653802E-01 1.667378571E-04 3.565310575E-03 
00L9 35524 319 36.34 1.014244969E-07 3.690007691E+00 9.831089982E+03 3.338820749E-04 5.737274460E+00 1.334899423E+03 0.000000000E+00 2.719938648E-04 4.473461628E-01 2.510785727E-04 4.457083148E-05 3.968234864E-01 2.689658545E-01 1.657118580E-04 2.665743249E-03 
0L10 36224 322 36 1.929186654E-06 4.287628861E+00 1.599591679E+04 2.843492422E-04 4.082300714E+00 9.728703045E+02 0.000000000E+00 2.652113883E-04 4.422853190E-01 2.507631576E-04 4.423214475E-05 3.988152388E-01 2.668534419E-01 1.657544472E-04 3.671612268E-03 
0L11 37902 325 35.67 5.324899743E-07 3.721769589E+00 1.074504162E+04 2.577154079E-04 4.314577098E+00 8.248456852E+02 0.000000000E+00 2.655411331E-04 4.346548361E-01 2.509916226E-04 4.393881168E-05 4.027583611E-01 2.640435436E-01 1.664074458E-04 5.917147926E-03 
0L12 40238 328 35.34 7.204230064E-08 2.843832793E+00 7.368019124E+03 1.467465482E-04 5.420450940E+00 6.873380414E+02 0.000000000E+00 2.631658035E-04 4.273332760E-01 2.506902392E-04 4.352618543E-05 4.062996713E-01 2.599182180E-01 1.674610798E-04 5.298230976E-03 
0L13 42754 331 35.03 6.806699316E-07 3.765012797E+00 7.733601885E+03 1.915505569E-04 3.000488337E+00 5.689330193E+02 0.000000000E+00 2.647083293E-04 4.259349049E-01 2.510645317E-04 4.236815735E-05 3.961968162E-01 2.600216537E-01 1.629408811E-04 2.054269855E-02 
0L14 43426 334 34.71 5.675992272E-07 3.129839967E+00 9.881507665E+03 1.035252663E-04 4.509870699E+00 5.155539033E+02 0.000000000E+00 2.587455023E-04 4.169198929E-01 2.493289344E-04 4.254629676E-05 4.092950257E-01 2.543118305E-01 1.672997150E-04 4.422551097E-03 
0L15 44118 337 34.41 3.872257430E-07 3.217311698E+00 8.221368540E+03 2.298294139E-04 4.267262767E+00 5.178610906E+02 0.000000000E+00 2.611793505E-04 4.120699022E-01 2.499117168E-04 4.217876247E-05 4.095777169E-01 2.541786894E-01 1.659413799E-04 1.410853043E-02 
0L16 44770 340 34.1 9.993239793E-06 4.193103062E+00 2.737745030E+04 5.712191489E-04 5.574779853E+00 5.659869743E+02 0.000000000E+00 2.546567151E-04 4.097379599E-01 2.484611247E-04 4.123572296E-05 4.050503070E-01 2.499465157E-01 1.649781868E-04 4.167413461E-03 
