fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 29804 295.1 39.3 6.853545293E-09 3.339675742E+00 6.996084686E+03 7.027768070E-05 3.934884870E+00 2.976298451E+03 0.000000000E+00 2.765348688E-04 4.877984401E-01 2.482231527E-04 4.336285217E-05 3.581254175E-01 2.700046677E-01 1.606003798E-04 5.169481287E-03 
00L2 30616 298 38.9 6.156809802E-09 3.244370281E+00 7.020918621E+03 8.347962152E-05 4.203083827E+00 2.569985908E+03 0.000000000E+00 2.754970507E-04 4.833539531E-01 2.483493556E-04 4.381702635E-05 3.650182583E-01 2.714354125E-01 1.614270811E-04 4.941281793E-03 
00L3 31408 301 38.52 1.888905592E-08 3.395348187E+00 8.075736602E+03 9.450555080E-05 4.127973624E+00 2.220134634E+03 0.000000000E+00 2.715316435E-04 4.774442924E-01 2.484318925E-04 4.418974684E-05 3.725559123E-01 2.715644182E-01 1.627228896E-04 3.206462928E-03 
00L4 31976 304.1 38.13 9.958427308E-09 3.239287809E+00 6.898943360E+03 1.133677493E-04 4.376629255E+00 1.962636640E+03 0.000000000E+00 2.746673533E-04 4.726740073E-01 2.497483038E-04 4.445708806E-05 3.765969036E-01 2.730177417E-01 1.628358941E-04 1.740071801E-03 
00L5 32756 307 37.76 8.525875948E-08 3.698171494E+00 8.869567591E+03 1.323867543E-04 4.023616993E+00 1.697472161E+03 0.000000000E+00 2.699636428E-04 4.673630562E-01 2.497917274E-04 4.466644452E-05 3.826035125E-01 2.729996137E-01 1.636135814E-04 1.497416894E-03 
00L6 33494 310 37.4 1.991484490E-07 3.861427675E+00 1.069082444E+04 1.653293233E-04 4.264630841E+00 1.558880895E+03 0.000000000E+00 2.682891207E-04 4.620989165E-01 2.497698138E-04 4.465861519E-05 3.869281721E-01 2.717311384E-01 1.643485375E-04 3.555560303E-03 
00L7 34100 313 37.04 1.607848895E-07 3.804240960E+00 9.463784426E+03 1.942782970E-04 4.317860940E+00 1.394668486E+03 0.000000000E+00 2.694293068E-04 4.576648447E-01 2.503785538E-04 4.473610947E-05 3.904033471E-01 2.719541662E-01 1.644987098E-04 6.911419570E-03 
00L8 34810 316 36.69 2.801754124E-07 3.873335270E+00 1.136520783E+04 2.407194165E-04 4.768439790E+00 1.300610480E+03 0.000000000E+00 2.683256677E-04 4.523074511E-01 2.504834960E-04 4.467117772E-05 3.942888938E-01 2.702118251E-01 1.653191074E-04 2.059737441E-03 
00L9 35524 319 36.34 4.441108326E-07 3.955795315E+00 1.198330442E+04 2.763855915E-04 4.744863314E+00 1.161886981E+03 0.000000000E+00 2.682662593E-04 4.470585584E-01 2.510346313E-04 4.453475881E-05 3.968268530E-01 2.683885640E-01 1.659338913E-04 1.781754749E-03 
0L10 36224 322 36 2.201794414E-06 4.310537617E+00 1.714488689E+04 2.887586452E-04 4.179168878E+00 9.800273369E+02 0.000000000E+00 2.648219191E-04 4.423549671E-01 2.506908991E-04 4.421814959E-05 3.987411787E-01 2.664428112E-01 1.659573752E-04 2.761913193E-03 
0L11 37902 325 35.67 2.997047336E-06 4.361152096E+00 1.935907617E+04 3.551805135E-04 4.476924569E+00 9.255480955E+02 0.000000000E+00 2.644617143E-04 4.371237974E-01 2.507653055E-04 4.386658349E-05 4.001860180E-01 2.642459696E-01 1.660066322E-04 3.701852279E-03 
0L12 40238 328 35.34 5.982963030E-06 4.498420991E+00 2.239443107E+04 3.779231649E-04 4.178384834E+00 8.018120631E+02 0.000000000E+00 2.610647596E-04 4.323120241E-01 2.501839907E-04 4.333434747E-05 4.006594871E-01 2.620422297E-01 1.653716178E-04 2.235822237E-03 
0L13 42754 331 35.03 5.594771031E-06 4.428847820E+00 2.131180825E+04 4.310791534E-04 4.520472819E+00 7.450725920E+02 0.000000000E+00 2.612468689E-04 4.270285112E-01 2.497072464E-04 4.273664433E-05 4.007858689E-01 2.593136256E-01 1.648067826E-04 5.362266064E-03 
0L14 43426 334 34.71 4.023381115E-06 4.285847639E+00 2.394186396E+04 5.949679374E-04 5.884995885E+00 7.812578337E+02 0.000000000E+00 2.627474552E-04 4.213353051E-01 2.493044555E-04 4.232931308E-05 4.029798482E-01 2.560929673E-01 1.652888540E-04 3.999559883E-03 
0L15 44118 337 34.41 8.083563914E-06 4.356089594E+00 2.797798264E+04 6.049389088E-04 5.445030581E+00 6.730255769E+02 0.000000000E+00 2.583991602E-04 4.162060175E-01 2.491474897E-04 4.184084815E-05 4.034926321E-01 2.532972270E-01 1.651847856E-04 5.030118150E-03 
0L16 44770 340 34.1 8.266521369E-06 4.368034600E+00 2.545011513E+04 6.720498254E-04 5.472703143E+00 6.203403633E+02 0.000000000E+00 2.588818755E-04 4.107918842E-01 2.488915122E-04 4.110180147E-05 4.020026499E-01 2.502112515E-01 1.642683981E-04 9.644705987E-03 
