N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 6.390904400E-02 6.392839000E-02 6.698451500E-02 6.475128100E-02
1.016672606E+01 7.338042600E-02 7.410358000E-02 7.702950600E-02 7.926440800E-02
1.033324570E+01 8.109118000E-02 8.238078300E-02 8.429808500E-02 8.533115100E-02
1.049996187E+01 8.670854600E-02 8.827334700E-02 8.993772700E-02 9.093513300E-02
1.066670514E+01 9.016100400E-02 9.162931600E-02 9.247575900E-02 9.240562100E-02
1.083333839E+01 9.152732500E-02 9.253519700E-02 9.282294400E-02 9.256927400E-02
1.100000000E+01 9.096863000E-02 9.124865000E-02 9.086665600E-02 9.034070100E-02
1.116672606E+01 8.872627700E-02 8.818169100E-02 8.717852400E-02 8.644264000E-02
1.133324570E+01 8.515682200E-02 8.389158600E-02 8.246541600E-02 8.168817000E-02
1.149996187E+01 8.074439600E-02 7.902486900E-02 7.744881000E-02 7.681801900E-02
1.166670514E+01 7.604823900E-02 7.420184700E-02 7.272279400E-02 7.236565600E-02
1.183333839E+01 7.159188900E-02 6.989283700E-02 6.865923000E-02 6.861038500E-02
1.200000000E+01 6.775412000E-02 6.635425700E-02 6.540266500E-02 6.562175400E-02
1.216672606E+01 6.472110700E-02 6.364739700E-02 6.293585900E-02 6.334779300E-02
1.233324570E+01 6.251165900E-02 6.170889800E-02 6.116389500E-02 6.169386600E-02
1.249996187E+01 6.104214000E-02 6.042436400E-02 5.997609800E-02 6.051392600E-02
1.266670514E+01 6.018931900E-02 5.965912800E-02 5.916820700E-02 5.977729300E-02
1.283333839E+01 5.981458500E-02 5.931599700E-02 5.883186400E-02 5.936422900E-02
1.300000000E+01 5.982713800E-02 5.930803900E-02 5.888221400E-02 5.946956100E-02
