N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 325 1.500E-4 1.045844103E+00 1.081714773E+00
1.468000E+10 1.000E+17 325 1.500E-4 1.053649982E+00 1.082432952E+00
2.154000E+10 1.000E+17 325 1.500E-4 1.061084468E+00 1.083459107E+00
3.162000E+10 1.000E+17 325 1.500E-4 1.067972726E+00 1.084907530E+00
4.642000E+10 1.000E+17 325 1.500E-4 1.074363698E+00 1.086918509E+00
6.813000E+10 1.000E+17 325 1.500E-4 1.080476693E+00 1.089647534E+00
1.000000E+11 1.000E+17 325 1.500E-4 1.086606712E+00 1.093239778E+00
1.468000E+11 1.000E+17 325 1.500E-4 1.093020710E+00 1.097787082E+00
2.154000E+11 1.000E+17 325 1.500E-4 1.099866165E+00 1.103275085E+00
3.162000E+11 1.000E+17 325 1.500E-4 1.107118671E+00 1.109546383E+00
4.642000E+11 1.000E+17 325 1.500E-4 1.114589463E+00 1.116310945E+00
6.813000E+11 1.000E+17 325 1.500E-4 1.121998410E+00 1.123213927E+00
1.000000E+12 1.000E+17 325 1.500E-4 1.129073096E+00 1.129928058E+00
1.468000E+12 1.000E+17 325 1.500E-4 1.135619696E+00 1.136218991E+00
2.154000E+12 1.000E+17 325 1.500E-4 1.141538177E+00 1.141956852E+00
3.162000E+12 1.000E+17 325 1.500E-4 1.146799993E+00 1.147091435E+00
4.642000E+12 1.000E+17 325 1.500E-4 1.151418868E+00 1.151621001E+00
6.813000E+12 1.000E+17 325 1.500E-4 1.155475101E+00 1.155653776E+00
1.000000E+13 1.000E+17 325 1.500E-4 1.159280544E+00 1.159413701E+00
