T nFsrh nFBsrh dnsrh nF nFB dn
290 1.173915043E+00 1.045293978E+0 1.286210650E-01 1.173915043E+00 1.045293978E+0 1.286210650E-01
295 1.181601746E+00 1.044270977E+0 1.373307690E-01 1.181601746E+00 1.044270977E+0 1.373307690E-01
300 1.187022366E+00 1.043316151E+0 1.437062150E-01 1.187022366E+00 1.043316151E+0 1.437062150E-01
305 1.186619493E+00 1.042423704E+0 1.441957890E-01 1.186619493E+00 1.042423704E+0 1.441957890E-01
310 1.189345049E+00 1.041588453E+0 1.477565960E-01 1.189345049E+00 1.041588453E+0 1.477565960E-01
315 1.192593734E+00 1.040805747E+0 1.517879870E-01 1.192593734E+00 1.040805747E+0 1.517879870E-01
320 1.195945282E+00 1.040071410E+0 1.558738720E-01 1.195945282E+00 1.040071410E+0 1.558738720E-01
325 1.200473980E+00 1.039381677E+0 1.610923030E-01 1.200473980E+00 1.039381677E+0 1.610923030E-01
330 1.203677074E+00 1.038733150E+0 1.649439240E-01 1.203677074E+00 1.038733150E+0 1.649439240E-01
335 1.205126128E+00 1.038122754E+0 1.670033740E-01 1.205126128E+00 1.038122754E+0 1.670033740E-01
340 1.193046027E+00 1.037547701E+0 1.554983260E-01 1.193046027E+00 1.037547701E+0 1.554983260E-01
