N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 1.000E+16 320 3.800E-4 2.935408E-1 2.437420E+1 4.305740E-1 7.713920E+1
1.468000E+10 1.000E+16 320 3.800E-4 2.924796E-1 2.424710E+1 4.300080E-1 7.711690E+1
2.154000E+10 1.000E+16 320 3.800E-4 2.909626E-1 2.406660E+1 4.291670E-1 7.709250E+1
3.162000E+10 1.000E+16 320 3.800E-4 2.888192E-1 2.381360E+1 4.280090E-1 7.705620E+1
4.642000E+10 1.000E+16 320 3.800E-4 2.858388E-1 2.345200E+1 4.264510E-1 7.695750E+1
6.813000E+10 1.000E+16 320 3.800E-4 2.817841E-1 2.298760E+1 4.244170E-1 7.688540E+1
1.000000E+11 1.000E+16 320 3.800E-4 2.764233E-1 2.238680E+1 4.218550E-1 7.679200E+1
1.468000E+11 1.000E+16 320 3.800E-4 2.695855E-1 2.163800E+1 4.186770E-1 7.668340E+1
2.154000E+11 1.000E+16 320 3.800E-4 2.612239E-1 2.073040E+1 4.149150E-1 7.650620E+1
3.162000E+11 1.000E+16 320 3.800E-4 2.514531E-1 1.971480E+1 4.107690E-1 7.634800E+1
4.642000E+11 1.000E+16 320 3.800E-4 2.405202E-1 1.859480E+1 4.061380E-1 7.614260E+1
6.813000E+11 1.000E+16 320 3.800E-4 2.287101E-1 1.742610E+1 4.012980E-1 7.594660E+1
1.000000E+12 1.000E+16 320 3.800E-4 2.162377E-1 1.622070E+1 3.960810E-1 7.575580E+1
1.468000E+12 1.000E+16 320 3.800E-4 2.032065E-1 1.497740E+1 3.906490E-1 7.546970E+1
2.154000E+12 1.000E+16 320 3.800E-4 1.896541E-1 1.371550E+1 3.847420E-1 7.518670E+1
3.162000E+12 1.000E+16 320 3.800E-4 1.756374E-1 1.244940E+1 3.785180E-1 7.490390E+1
4.642000E+12 1.000E+16 320 3.800E-4 1.612879E-1 1.117590E+1 3.718450E-1 7.453840E+1
6.813000E+12 1.000E+16 320 3.800E-4 1.468127E-1 9.932600E+0 3.647060E-1 7.420250E+1
1.000000E+13 1.000E+16 320 3.800E-4 1.324603E-1 8.723300E+0 3.571840E-1 7.375040E+1
1.468000E+13 1.000E+16 320 3.800E-4 1.184826E-1 7.576700E+0 3.492750E-1 7.323500E+1
2.154000E+13 1.000E+16 320 3.800E-4 1.051089E-1 6.509600E+0 3.409140E-1 7.266620E+1
3.162000E+13 1.000E+16 320 3.800E-4 9.252856E-2 5.537600E+0 3.321080E-1 7.208150E+1
4.642000E+13 1.000E+16 320 3.800E-4 8.088220E-2 4.657400E+0 3.228790E-1 7.133610E+1
6.813000E+13 1.000E+16 320 3.800E-4 7.025886E-2 3.876500E+0 3.131920E-1 7.046700E+1
1.000000E+14 1.000E+16 320 3.800E-4 6.069874E-2 3.193100E+0 3.029900E-1 6.944960E+1
