X GeG200 GeG300 GeG400 OrG200 OrG300 OrG400 OrG500 OrG600 OrG700 OrG750 OsG200 OsG300 OsG400 OsG500 OsG600 OsG700
4.64000E+2 1.98824E+14 4.35353E+15 8.98175E+15 0.00000E+0 0.00000E+0 2.18809E+15 7.32694E+15 1.29476E+16 1.81132E+16 2.06872E+16 4.09951E+14 1.59002E+15 2.80179E+15 7.55509E+15 1.28191E+16 1.76868E+16
4.65000E+2 4.55397E+14 4.42020E+15 8.82136E+15 0.00000E+0 0.00000E+0 2.57040E+15 7.66203E+15 1.32205E+16 1.86500E+16 2.13553E+16 5.01168E+14 1.86566E+15 3.26636E+15 7.85253E+15 1.29137E+16 1.78529E+16
4.66000E+2 6.41490E+14 4.62911E+15 9.04489E+15 0.00000E+0 0.00000E+0 2.80429E+15 7.88278E+15 1.34206E+16 1.89234E+16 2.16653E+16 3.41960E+14 1.65023E+15 2.99546E+15 7.82620E+15 1.31713E+16 1.88087E+16
4.67000E+2 1.06721E+15 4.95113E+15 9.22624E+15 0.00000E+0 0.00000E+0 2.97847E+15 8.15177E+15 1.37898E+16 1.91786E+16 2.18640E+16 5.09657E+14 1.91100E+15 3.34961E+15 8.16683E+15 1.34855E+16 1.88078E+16
4.68000E+2 1.03969E+15 5.27076E+15 9.93518E+15 0.00000E+0 0.00000E+0 3.19128E+15 8.41865E+15 1.41108E+16 1.93884E+16 2.20186E+16 6.34991E+14 2.15223E+15 3.70846E+15 8.54102E+15 1.38657E+16 1.92627E+16
4.69000E+2 1.25106E+15 5.59008E+15 1.03627E+16 0.00000E+0 0.00000E+0 3.46035E+15 8.68136E+15 1.43594E+16 1.98174E+16 2.25374E+16 7.85299E+14 2.37979E+15 4.01334E+15 8.94738E+15 1.43767E+16 1.97198E+16
4.70000E+2 1.42241E+15 5.98390E+15 1.09950E+16 0.00000E+0 0.00000E+0 3.69120E+15 8.97521E+15 1.47168E+16 2.03102E+16 2.30977E+16 8.81579E+14 2.63182E+15 4.42463E+15 9.33176E+15 1.47179E+16 2.01943E+16
4.71000E+2 1.60999E+15 6.25870E+15 1.13562E+16 0.00000E+0 0.00000E+0 3.94531E+15 9.35141E+15 1.52213E+16 2.07383E+16 2.34881E+16 1.05105E+15 2.88374E+15 4.75891E+15 9.73582E+15 1.51900E+16 2.06387E+16
4.72000E+2 1.83471E+15 6.51762E+15 1.16402E+16 0.00000E+0 0.00000E+0 4.20883E+15 9.62150E+15 1.54917E+16 2.09384E+16 2.36533E+16 1.17346E+15 3.10367E+15 5.07755E+15 1.01235E+16 1.56453E+16 2.11461E+16
4.73000E+2 1.99891E+15 6.79985E+15 1.20447E+16 0.00000E+0 0.00000E+0 4.40044E+15 9.83015E+15 1.57142E+16 2.12294E+16 2.39786E+16 1.34038E+15 3.36066E+15 5.42482E+15 1.05037E+16 1.60517E+16 2.16286E+16
4.74000E+2 2.23911E+15 7.02155E+15 1.22317E+16 0.00000E+0 0.00000E+0 4.59054E+15 1.01103E+16 1.60888E+16 2.16252E+16 2.43851E+16 1.40210E+15 3.51422E+15 5.67221E+15 1.08192E+16 1.64360E+16 2.21665E+16
4.75000E+2 2.55296E+15 7.28143E+15 1.24130E+16 0.00000E+0 0.00000E+0 4.77363E+15 1.03225E+16 1.63285E+16 2.18984E+16 2.46750E+16 1.53992E+15 3.73557E+15 5.97755E+15 1.12116E+16 1.69169E+16 2.26578E+16
4.76000E+2 2.68174E+15 7.61862E+15 1.29754E+16 0.00000E+0 2.26048E+14 5.05961E+15 1.06047E+16 1.65989E+16 2.20565E+16 2.47775E+16 1.69693E+15 3.97074E+15 6.29088E+15 1.17355E+16 1.76680E+16 2.30877E+16
4.77000E+2 2.87014E+15 7.91369E+15 1.33786E+16 0.00000E+0 4.29540E+14 5.26039E+15 1.07921E+16 1.67663E+16 2.23756E+16 2.51721E+16 1.88277E+15 4.20874E+15 6.57972E+15 1.20856E+16 1.80780E+16 2.37361E+16
4.78000E+2 3.06456E+15 8.16372E+15 1.36794E+16 0.00000E+0 3.80956E+14 5.28286E+15 1.08987E+16 1.69652E+16 2.26477E+16 2.54806E+16 2.01505E+15 4.43658E+15 6.90407E+15 1.24290E+16 1.84327E+16 2.42675E+16
4.79000E+2 3.25227E+15 8.46729E+15 1.41014E+16 0.00000E+0 8.14004E+14 5.67405E+15 1.12200E+16 1.71991E+16 2.28302E+16 2.56377E+16 2.12856E+15 4.68781E+15 7.29565E+15 1.28241E+16 1.88194E+16 2.47713E+16
4.80000E+2 3.44831E+15 8.70412E+15 1.43723E+16 0.00000E+0 1.00033E+15 5.85931E+15 1.13947E+16 1.73572E+16 2.30904E+16 2.59486E+16 2.20460E+15 4.84650E+15 7.53844E+15 1.31359E+16 1.92012E+16 2.52629E+16
4.81000E+2 3.62688E+15 8.91291E+15 1.46044E+16 0.00000E+0 1.22949E+15 6.07428E+15 1.15818E+16 1.75080E+16 2.33366E+16 2.62424E+16 2.24252E+15 4.93546E+15 7.67948E+15 1.33410E+16 1.94741E+16 2.56001E+16
4.82000E+2 3.76673E+15 9.15665E+15 1.49560E+16 0.00000E+0 1.39588E+15 6.26032E+15 1.17821E+16 1.77190E+16 2.36539E+16 2.66126E+16 2.31732E+15 5.09906E+15 7.93354E+15 1.36197E+16 1.97724E+16 2.58671E+16
4.83000E+2 3.91265E+15 9.34849E+15 1.51906E+16 0.00000E+0 1.46508E+15 6.40021E+15 1.19998E+16 1.80190E+16 2.39968E+16 2.69770E+16 2.40418E+15 5.26086E+15 8.17132E+15 1.38268E+16 1.99376E+16 2.62293E+16
4.84000E+2 4.03525E+15 9.54630E+15 1.54653E+16 0.00000E+0 1.54264E+15 6.54374E+15 1.22152E+16 1.83102E+16 2.43073E+16 2.72972E+16 2.51215E+15 5.40832E+15 8.35779E+15 1.40575E+16 2.02121E+16 2.64570E+16
4.85000E+2 4.23514E+15 9.76576E+15 1.56949E+16 0.00000E+0 1.57695E+15 6.69745E+15 1.25045E+16 1.87452E+16 2.47836E+16 2.77943E+16 2.57622E+15 5.57037E+15 8.61997E+15 1.43356E+16 2.04999E+16 2.68719E+16
4.86000E+2 4.38009E+15 9.94331E+15 1.59004E+16 0.00000E+0 1.62450E+15 6.85195E+15 1.27795E+16 1.91494E+16 2.52789E+16 2.83351E+16 2.64701E+15 5.70597E+15 8.82133E+15 1.45982E+16 2.08251E+16 2.72775E+16
4.87000E+2 4.50369E+15 1.01648E+16 1.62239E+16 0.00000E+0 1.69472E+15 7.01544E+15 1.30467E+16 1.95268E+16 2.57637E+16 2.88734E+16 2.68966E+15 5.82095E+15 9.01030E+15 1.48607E+16 2.11645E+16 2.78196E+16
4.88000E+2 4.67891E+15 1.04012E+16 1.65185E+16 0.00000E+0 1.78977E+15 7.18715E+15 1.33018E+16 1.98695E+16 2.63719E+16 2.96138E+16 2.83658E+15 6.04767E+15 9.31703E+15 1.51715E+16 2.14702E+16 2.81161E+16
4.89000E+2 4.86527E+15 1.06665E+16 1.68611E+16 0.00000E+0 1.73759E+15 7.30853E+15 1.36253E+16 2.04132E+16 2.70873E+16 3.04148E+16 2.93454E+15 6.23603E+15 9.59713E+15 1.55204E+16 2.18877E+16 2.85693E+16
4.90000E+2 4.99129E+15 1.09238E+16 1.72575E+16 0.00000E+0 1.77001E+15 7.51330E+15 1.40266E+16 2.10262E+16 2.76132E+16 3.08977E+16 3.02429E+15 6.42213E+15 9.88126E+15 1.58866E+16 2.23373E+16 2.91718E+16
