fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
UDT0 8:42 295.7 39.21 2.199E+000 2.130E-005 1.271E-009 3.471 1.205 2.578E+003 
UDT1 8:46 295.9 39.18 2.199E+000 2.145E-005 1.231E-009 3.467 1.199 2.578E+003 
UDT2 8:48 296.1 39.16 2.199E+000 2.232E-005 1.672E-009 3.504 1.221 2.578E+003 
UDT3 8:51 296.1 39.16 2.199E+000 1.990E-005 5.608E-010 3.363 1.144 2.578E+003 
UDT4 8:53 296.2 39.14 2.199E+000 2.335E-005 2.193E-009 3.542 1.239 2.578E+003 
UDT5 8:56 296.3 39.13 2.199E+000 2.436E-005 3.072E-009 3.593 1.264 2.578E+003 
UDT6 8:58 296.4 39.12 2.199E+000 2.256E-005 1.489E-009 3.488 1.207 2.578E+003 
UDT7 9:3 296.5 39.1 2.199E+000 2.311E-005 2.028E-009 3.516 1.23 2.578E+003 
UDT8 9:5 296.5 39.1 2.199E+000 2.321E-005 1.711E-009 3.514 1.216 2.578E+003 
UDT9 9:8 296.5 39.1 2.199E+000 2.419E-005 3.088E-009 3.57 1.263 2.578E+003 
