fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B565FE100_T 1317912115 0 555 5.020934290E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 7.944595817E-04 
B565FE101_T 1317912115 0 555 5.045147210E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.307660446E-04 
B565FE102_T 1317912115 0 555 5.210530841E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 9.359673381E-04 
B565FE103_T 1317912115 0 555 5.564196940E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 5.156993352E-04 
B565FE140_T 1317912115 0 555 5.022181867E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 7.964003146E-04 
B565FE141_T 1317912115 0 555 5.057938928E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.494838863E-04 
B565FE142_T 1317912115 0 555 5.262146542E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.478151273E-04 
B565FE210_T 1317912115 0 555 5.024006160E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 7.992863426E-04 
B565FE211_T 1317912115 0 555 5.075975479E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.821931526E-04 
B565FE212_T 1317912115 0 555 5.325257433E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.692189819E-04 
B565FE310_T 1317912115 0 555 5.026660736E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.036717738E-04 
B565FE311_T 1317912115 0 555 5.097586504E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.772403444E-04 
B565FE312_T 1317912115 0 555 5.376559537E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.105789774E-04 
B565FE460_T 1317912115 0 555 5.030520848E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.102268719E-04 
B565FE461_T 1317912115 0 555 5.126102284E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.715657614E-04 
B565FE462_T 1317912115 0 555 5.439924020E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 7.975836549E-04 
B565FE680_T 1317912115 0 555 5.036196488E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.198156473E-04 
B565FE681_T 1317912115 0 555 5.163276918E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 8.887053781E-04 
B565FE682_T 1317912115 0 555 5.500110662E-07 1.444000000E+00 1.475000000E-05 0.000000000E+00 2.200000000E+00 6.552683517E-04 
