T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 3.184014500E-02 2.674600300E-02 2.194942000E-02 1.753740900E-02 1.363694200E-02 1.034477500E-02 7.689928000E-03 5.633755000E-03 4.093049000E-03 2.967473000E-03 2.159815000E-03 1.586657000E-03 1.181630000E-03 8.945270000E-04 6.887620000E-04 5.385090000E-04 4.261050000E-04 3.398490000E-04 2.721560000E-04
295 2.913099700E-02 2.415795800E-02 1.965959400E-02 1.562783000E-02 1.211713600E-02 9.178365000E-03 6.818748000E-03 4.995337000E-03 3.630740000E-03 2.634658000E-03 1.920512000E-03 1.414256000E-03 1.057022000E-03 8.042550000E-04 6.234020000E-04 4.914290000E-04 3.925480000E-04 3.163250000E-04 2.560580000E-04
300 2.746487300E-02 2.234429600E-02 1.792883700E-02 1.411178200E-02 1.086859700E-02 8.195906000E-03 6.070667000E-03 4.438263000E-03 3.221363000E-03 2.335533000E-03 1.701886000E-03 1.253759000E-03 9.384610000E-04 7.161790000E-04 5.577990000E-04 4.426510000E-04 3.565350000E-04 2.900570000E-04 2.372270000E-04
305 2.696421200E-02 2.141598200E-02 1.685445100E-02 1.307147100E-02 9.958148000E-03 7.449831000E-03 5.485680000E-03 3.992438000E-03 2.887021000E-03 2.086359000E-03 1.515922000E-03 1.114058000E-03 8.325780000E-04 6.352650000E-04 4.956660000E-04 3.949520000E-04 3.201100000E-04 2.625330000E-04 2.167270000E-04
310 2.767386200E-02 2.142426800E-02 1.648743300E-02 1.255368100E-02 9.426105000E-03 6.973232000E-03 5.089964000E-03 3.678059000E-03 2.643105000E-03 1.898826000E-03 1.371560000E-03 1.002065000E-03 7.447970000E-04 5.658200000E-04 4.404300000E-04 3.510320000E-04 2.854050000E-04 2.354000000E-04 1.958190000E-04
315 2.966117500E-02 2.242530200E-02 1.687312300E-02 1.259440400E-02 9.300670000E-03 6.787832000E-03 4.900012000E-03 3.507519000E-03 2.498865000E-03 1.779874000E-03 1.274067000E-03 9.218450000E-04 6.783030000E-04 5.103710000E-04 3.941300000E-04 3.125270000E-04 2.536760000E-04 2.096090000E-04 1.751940000E-04
320 3.291984600E-02 2.442934900E-02 1.802757700E-02 1.321059200E-02 9.597455000E-03 6.907046000E-03 4.926813000E-03 3.489610000E-03 2.461299000E-03 1.735090000E-03 1.227976000E-03 8.771830000E-04 6.363290000E-04 4.717520000E-04 3.592380000E-04 2.816060000E-04 2.268300000E-04 1.867910000E-04 1.562040000E-04
325 3.733537600E-02 2.736785500E-02 1.990880500E-02 1.437594300E-02 1.029975000E-02 7.320208000E-03 5.163639000E-03 3.620112000E-03 2.527846000E-03 1.763036000E-03 1.232611000E-03 8.679110000E-04 6.190970000E-04 4.504150000E-04 3.363930000E-04 2.589720000E-04 2.055720000E-04 1.675940000E-04 1.394420000E-04
330 4.279344500E-02 3.117241100E-02 2.247439400E-02 1.606310100E-02 1.138945400E-02 8.015185000E-03 5.602318000E-03 3.893661000E-03 2.695033000E-03 1.861586000E-03 1.286800000E-03 8.935390000E-04 6.265850000E-04 4.466980000E-04 3.261230000E-04 2.453170000E-04 1.906500000E-04 1.528100000E-04 1.256510000E-04
335 4.900596900E-02 3.565330000E-02 2.559896900E-02 1.818838900E-02 1.281014100E-02 8.953779000E-03 6.217058000E-03 4.292855000E-03 2.951315000E-03 2.023178000E-03 1.385767000E-03 9.512020000E-04 6.572350000E-04 4.598810000E-04 3.282810000E-04 2.408250000E-04 1.824490000E-04 1.429110000E-04 1.153560000E-04
340 5.544781500E-02 4.044311200E-02 2.902852100E-02 2.057690700E-02 1.444175200E-02 1.005377000E-02 6.951811000E-03 4.779837000E-03 3.271306000E-03 2.231100000E-03 1.518665000E-03 1.034103000E-03 7.069270000E-04 4.876360000E-04 3.416580000E-04 2.449360000E-04 1.808330000E-04 1.379800000E-04 1.087680000E-04
