N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 2.467655500E-02 2.325254200E-02 2.293425300E-02 2.378647200E-02 2.584050800E-02 2.908905500E-02 3.346281600E-02 3.880097700E-02 4.486497200E-02 5.114228600E-02 5.693564000E-02
1.016672606E+01 2.014068900E-02 1.861556400E-02 1.792384400E-02 1.812575600E-02 1.925500500E-02 2.131478700E-02 2.426958100E-02 2.802106500E-02 3.241480900E-02 3.709432100E-02 4.155831300E-02
1.033324570E+01 1.612053200E-02 1.468711500E-02 1.386711900E-02 1.371381100E-02 1.425870400E-02 1.550820000E-02 1.744413500E-02 2.000562500E-02 2.309226700E-02 2.645952500E-02 2.975668200E-02
1.049996187E+01 1.262009700E-02 1.137975900E-02 1.058121400E-02 1.026980900E-02 1.047310900E-02 1.119794500E-02 1.243503000E-02 1.414609500E-02 1.626516400E-02 1.862563400E-02 2.098674300E-02
1.066670514E+01 9.670010000E-03 8.656056000E-03 7.954237000E-03 7.601881000E-03 7.622175000E-03 8.021350000E-03 8.794895000E-03 9.918407000E-03 1.134818300E-02 1.297137800E-02 1.462508400E-02
1.083333839E+01 7.278143000E-03 6.481083000E-03 5.900893000E-03 5.567477000E-03 5.499793000E-03 5.703278000E-03 6.176019000E-03 6.902428000E-03 7.853507000E-03 8.953346000E-03 1.009330300E-02
1.100000000E+01 5.410784000E-03 4.799961000E-03 4.337527000E-03 4.046998000E-03 3.943652000E-03 4.032145000E-03 4.312054000E-03 4.773541000E-03 5.397465000E-03 6.133231000E-03 6.909696000E-03
1.116672606E+01 3.999665000E-03 3.538297000E-03 3.176864000E-03 2.933724000E-03 2.821139000E-03 2.843107000E-03 3.000122000E-03 3.286130000E-03 3.688703000E-03 4.174520000E-03 4.698139000E-03
1.133324570E+01 2.960028000E-03 2.613652000E-03 2.333330000E-03 2.133398000E-03 2.023782000E-03 2.007949000E-03 2.086980000E-03 2.257389000E-03 2.511275000E-03 2.827110000E-03 3.176736000E-03
1.149996187E+01 2.207218000E-03 1.947291000E-03 1.729926000E-03 1.566390000E-03 1.464825000E-03 1.428336000E-03 1.458368000E-03 1.553168000E-03 1.707892000E-03 1.908959000E-03 2.139673000E-03
1.166670514E+01 1.666838000E-03 1.471378000E-03 1.302301000E-03 1.168552000E-03 1.076902000E-03 1.030198000E-03 1.030165000E-03 1.076162000E-03 1.165399000E-03 1.289501000E-03 1.439211000E-03
1.183333839E+01 1.278747000E-03 1.131512000E-03 9.996330000E-04 8.902480000E-04 8.090640000E-04 7.587230000E-04 7.411070000E-04 7.563320000E-04 8.029310000E-04 8.758610000E-04 9.704670000E-04
1.200000000E+01 9.971850000E-04 8.863730000E-04 7.835390000E-04 6.943460000E-04 6.236370000E-04 5.738570000E-04 5.469540000E-04 5.435650000E-04 5.630070000E-04 6.023520000E-04 6.596270000E-04
1.216672606E+01 7.889970000E-04 7.060010000E-04 6.261690000E-04 5.539630000E-04 4.934580000E-04 4.468740000E-04 4.161910000E-04 4.023080000E-04 4.050860000E-04 4.228290000E-04 4.550630000E-04
1.233324570E+01 6.312590000E-04 5.696430000E-04 5.081970000E-04 4.503790000E-04 3.995610000E-04 3.577330000E-04 3.267770000E-04 3.077770000E-04 3.008910000E-04 3.052210000E-04 3.210400000E-04
1.249996187E+01 5.087130000E-04 4.635450000E-04 4.168130000E-04 3.711470000E-04 3.292850000E-04 2.929380000E-04 2.638450000E-04 2.431660000E-04 2.312520000E-04 2.276550000E-04 2.330570000E-04
1.266670514E+01 4.114560000E-04 3.788910000E-04 3.438730000E-04 3.083660000E-04 2.745390000E-04 2.438180000E-04 2.177570000E-04 1.974900000E-04 1.834900000E-04 1.756040000E-04 1.746900000E-04
1.283333839E+01 3.330470000E-04 3.100630000E-04 2.842900000E-04 2.571530000E-04 2.303380000E-04 2.050070000E-04 1.824730000E-04 1.638140000E-04 1.495450000E-04 1.396930000E-04 1.351940000E-04
1.300000000E+01 2.691800000E-04 2.534070000E-04 2.348420000E-04 2.144980000E-04 1.936600000E-04 1.732330000E-04 1.543100000E-04 1.378560000E-04 1.243820000E-04 1.140240000E-04 1.077250000E-04
