T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.337783360E+00 1.269101945E+00 6.868141500E-02 1.334545638E+00 1.268536625E+00 6.600901300E-02 3.237722000E-03 5.653200000E-04
295 1.335828452E+00 1.081143651E+00 2.546848010E-01 1.332804612E+00 1.080714168E+00 2.520904440E-01 3.023840000E-03 4.294830000E-04
300 1.334961772E+00 1.270657908E+00 6.430386400E-02 1.332172747E+00 1.270167019E+00 6.200572800E-02 2.789025000E-03 4.908890000E-04
305 1.335284158E+00 1.098488171E+00 2.367959870E-01 1.332758690E+00 1.098006778E+00 2.347519120E-01 2.525468000E-03 4.813930000E-04
310 1.336386651E+00 1.275332523E+00 6.105412800E-02 1.334114167E+00 1.274925791E+00 5.918837600E-02 2.272484000E-03 4.067320000E-04
315 1.338427908E+00 1.117320544E+00 2.211073640E-01 1.336388863E+00 1.116780928E+00 2.196079350E-01 2.039045000E-03 5.396160000E-04
320 1.341345185E+00 1.281472563E+00 5.987262200E-02 1.339507950E+00 1.281080266E+00 5.842768400E-02 1.837235000E-03 3.922970000E-04
325 1.344837528E+00 1.136313058E+00 2.085244700E-01 1.343158523E+00 1.135716082E+00 2.074424410E-01 1.679005000E-03 5.969760000E-04
330 1.348296111E+00 1.287889088E+00 6.040702300E-02 1.346724376E+00 1.287432713E+00 5.929166300E-02 1.571735000E-03 4.563750000E-04
335 1.352526718E+00 1.155066490E+00 1.974602280E-01 1.351005708E+00 1.154396427E+00 1.966092810E-01 1.521010000E-03 6.700630000E-04
340 1.356623475E+00 1.292034754E+00 6.458872100E-02 1.355094771E+00 1.291447374E+00 6.364739700E-02 1.528704000E-03 5.873800000E-04
