fname time Tem kT_1 A Rs Io Rsh dev 
01FR 01fr.dat 340 34.1 2.166E+001 7.788E+002 8.247E-009 1.000E+015 7.588E-003 
02FR 02fr.dat 340 34.1 2.212E+001 9.031E+002 7.652E-009 1.000E+015 5.223E-003 
03FR 03fr.dat 340 34.1 2.274E+001 7.907E+002 6.645E-009 1.000E+015 9.959E-003 
04FR 04fr.dat 340 34.1 2.302E+001 7.524E+002 6.699E-009 1.000E+015 1.059E-002 
05FR 05fr.dat 340 34.1 2.350E+001 8.182E+002 6.870E-009 1.000E+015 9.364E-003 
06FR 06fr.dat 340 34.1 2.225E+001 7.237E+002 8.339E-009 1.000E+015 3.558E-003 
07FR 07fr.dat 340 34.1 2.218E+001 7.130E+002 8.913E-009 1.000E+015 3.573E-003 
08FR 08fr.dat 340 34.1 2.210E+001 7.598E+002 8.809E-009 1.000E+015 4.402E-003 
09FR 09fr.dat 340 34.1 2.216E+001 7.921E+002 8.600E-009 1.000E+015 5.175E-003 
10FR 10fr.dat 340 34.1 2.220E+001 7.774E+002 8.693E-009 1.000E+015 4.986E-003 
11FR 11fr.dat 340 34.1 2.208E+001 7.455E+002 8.810E-009 1.000E+015 6.423E-003 
12FR 12fr.dat 340 34.1 2.245E+001 8.077E+002 8.198E-009 1.000E+015 5.007E-003 
13FR 13fr.dat 340 34.1 2.227E+001 8.049E+002 8.565E-009 1.000E+015 4.687E-003 
14FR 14fr.dat 340 34.1 2.244E+001 6.773E+002 1.026E-008 1.000E+015 6.237E-003 
15FR 15fr.dat 340 34.1 2.291E+001 6.159E+002 9.663E-009 1.000E+015 7.794E-003 
16FR 16fr.dat 340 34.1 2.244E+001 6.643E+002 1.098E-008 1.000E+015 3.818E-003 
17FR 17fr.dat 340 34.1 2.270E+001 6.940E+002 9.628E-009 1.000E+015 5.981E-003 
18FR 18fr.dat 340.1 34.09 2.257E+001 6.944E+002 9.900E-009 1.000E+015 5.860E-003 
19FR 19fr.dat 340 34.1 2.233E+001 6.722E+002 1.092E-008 1.000E+015 5.771E-003 
20FR 20fr.dat 340 34.1 2.232E+001 6.643E+002 1.048E-008 1.000E+015 6.186E-003 
21FR 21fr.dat 340 34.1 2.219E+001 6.553E+002 1.075E-008 1.000E+015 6.085E-003 
22FR 22fr.dat 340 34.1 2.220E+001 6.715E+002 1.081E-008 1.000E+015 4.338E-003 
23FR 23fr.dat 340 34.1 2.234E+001 6.970E+002 1.037E-008 1.000E+015 4.854E-003 
24FR 24fr.dat 340 34.1 2.241E+001 7.425E+002 1.014E-008 1.000E+015 4.436E-003 
25FR 25fr.dat 340.1 34.09 2.228E+001 7.450E+002 1.034E-008 1.000E+015 4.235E-003 
26FR 26fr.dat 340 34.1 2.241E+001 7.627E+002 1.009E-008 1.000E+015 3.894E-003 
27FR 27fr.dat 340 34.1 2.230E+001 7.312E+002 1.002E-008 1.000E+015 4.092E-003 
28FR 28fr.dat 340 34.1 2.245E+001 7.630E+002 9.891E-009 1.000E+015 3.898E-003 
29FR 29fr.dat 340 34.1 2.209E+001 7.167E+002 1.033E-008 1.000E+015 4.209E-003 
30FR 30fr.dat 340 34.1 2.225E+001 7.425E+002 9.859E-009 1.000E+015 4.876E-003 
31FR 31fr.dat 340 34.1 2.214E+001 7.620E+002 1.031E-008 1.000E+015 5.340E-003 
32FR 32fr.dat 340 34.1 2.218E+001 7.685E+002 1.001E-008 1.000E+015 4.741E-003 
33FR 33fr.dat 340.1 34.09 2.195E+001 7.306E+002 1.042E-008 1.000E+015 5.119E-003 
34FR 34fr.dat 339.9 34.11 2.215E+001 7.525E+002 9.985E-009 1.000E+015 3.165E-003 
35FR 35fr.dat 340.1 34.09 2.214E+001 7.591E+002 1.014E-008 1.000E+015 4.621E-003 
36FR 36fr.dat 340.1 34.09 2.210E+001 7.679E+002 9.981E-009 1.000E+015 4.032E-003 
37FR 37fr.dat 339.8 34.12 2.181E+001 7.281E+002 8.491E-009 1.000E+015 4.856E-003 
38FR 38fr.dat 340.1 34.09 2.173E+001 7.659E+002 9.076E-009 1.000E+015 3.592E-003 
39FR 39fr.dat 339.9 34.11 2.152E+001 7.584E+002 9.108E-009 1.000E+015 5.460E-003 
40FR 40fr.dat 340.1 34.09 2.191E+001 7.976E+002 8.813E-009 1.000E+015 3.907E-003 
41FR 41fr.dat 340.1 34.09 2.185E+001 8.090E+002 8.706E-009 1.000E+015 2.995E-003 
42FR 42fr.dat 340 34.1 2.181E+001 8.257E+002 8.791E-009 1.000E+015 3.303E-003 
43FR 43fr.dat 340 34.1 2.180E+001 8.182E+002 8.732E-009 1.000E+015 3.239E-002 
44FR 44fr.dat 340 34.1 2.186E+001 8.159E+002 8.732E-009 1.000E+015 3.020E-003 
45FR 45fr.dat 340 34.1 2.180E+001 8.164E+002 8.826E-009 1.000E+015 3.079E-003 
46FR 46fr.dat 340 34.1 2.175E+001 8.245E+002 8.846E-009 1.000E+015 3.086E-003 
47FR 47fr.dat 340 34.1 2.180E+001 8.149E+002 8.715E-009 1.000E+015 3.018E-003 
48FR 48fr.dat 340.1 34.09 2.176E+001 8.334E+002 8.984E-009 1.000E+015 3.269E-003 
49FR 49fr.dat 340.1 34.09 2.173E+001 8.151E+002 8.919E-009 1.000E+015 3.234E-003 
50FR 50fr.dat 340.1 34.09 2.173E+001 7.997E+002 8.847E-009 1.000E+015 3.495E-003 
51FR 51fr.dat 340 34.1 2.175E+001 8.070E+002 8.760E-009 1.000E+015 2.940E-003 
52FR 52fr.dat 340 34.1 2.163E+001 7.941E+002 8.931E-009 1.000E+015 4.664E-003 
53FR 53fr.dat 340.1 34.09 2.165E+001 8.134E+002 9.018E-009 1.000E+015 3.178E-003 
54FR 54fr.dat 340 34.1 2.151E+001 7.794E+002 8.922E-009 1.000E+015 4.642E-003 
55FR 55fr.dat 339.8 34.12 2.162E+001 8.155E+002 8.767E-009 1.000E+015 3.948E-003 
56FR 56fr.dat 340 34.1 2.171E+001 8.230E+002 8.861E-009 1.000E+015 3.254E-003 
57FR 57fr.dat 340 34.1 2.167E+001 8.247E+002 8.840E-009 1.000E+015 3.393E-003 
