Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.179357561E+00 1.184295252E+0 -4.937691000E-03 1.179357561E+00 1.184295252E+0 -4.937691000E-03
1.468000E+10 1.190213697E+00 1.186385255E+0 3.828442000E-03 1.190213697E+00 1.186385255E+0 3.828442000E-03
2.154000E+10 1.198461693E+00 1.188404368E+0 1.005732500E-02 1.198461693E+00 1.188404368E+0 1.005732500E-02
3.162000E+10 1.204572016E+00 1.190357844E+0 1.421417200E-02 1.204572016E+00 1.190357844E+0 1.421417200E-02
4.642000E+10 1.209041819E+00 1.192244099E+0 1.679772000E-02 1.209041819E+00 1.192244099E+0 1.679772000E-02
6.813000E+10 1.212318861E+00 1.194062333E+0 1.825652800E-02 1.212318861E+00 1.194062333E+0 1.825652800E-02
1.000000E+11 1.214777619E+00 1.195814955E+0 1.896266400E-02 1.214777619E+00 1.195814955E+0 1.896266400E-02
1.468000E+11 1.216717594E+00 1.197503272E+0 1.921432200E-02 1.216717594E+00 1.197503272E+0 1.921432200E-02
2.154000E+11 1.218379605E+00 1.199125726E+0 1.925387900E-02 1.218379605E+00 1.199125726E+0 1.925387900E-02
3.162000E+11 1.219949543E+00 1.200687458E+0 1.926208500E-02 1.219949543E+00 1.200687458E+0 1.926208500E-02
4.642000E+11 1.221570905E+00 1.202188059E+0 1.938284600E-02 1.221570905E+00 1.202188059E+0 1.938284600E-02
6.813000E+11 1.223338439E+00 1.203627721E+0 1.971071800E-02 1.223338439E+00 1.203627721E+0 1.971071800E-02
1.000000E+12 1.225287952E+00 1.205009135E+0 2.027881700E-02 1.225287952E+00 1.205009135E+0 2.027881700E-02
1.468000E+12 1.227331721E+00 1.206334058E+0 2.099766300E-02 1.227331721E+00 1.206334058E+0 2.099766300E-02
2.154000E+12 1.229234952E+00 1.207601960E+0 2.163299200E-02 1.229234952E+00 1.207601960E+0 2.163299200E-02
3.162000E+12 1.231351435E+00 1.208817502E+0 2.253393300E-02 1.231351435E+00 1.208817502E+0 2.253393300E-02
4.642000E+12 1.233181896E+00 1.209980955E+0 2.320094100E-02 1.233181896E+00 1.209980955E+0 2.320094100E-02
6.813000E+12 1.237068659E+00 1.211093031E+0 2.597562800E-02 1.237068659E+00 1.211093031E+0 2.597562800E-02
1.000000E+13 1.241601237E+00 1.212156332E+0 2.944490500E-02 1.241601237E+00 1.212156332E+0 2.944490500E-02
