N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 5.623E+16 340 3.800E-4 3.700104E+1 1.534400E+1 5.242520E-1 7.910130E+1
1.468000E+10 5.623E+16 340 3.800E-4 3.695940E+1 1.532260E+1 5.241380E-1 7.909740E+1
2.154000E+10 5.623E+16 340 3.800E-4 3.689960E+1 1.529200E+1 5.239730E-1 7.909190E+1
3.162000E+10 5.623E+16 340 3.800E-4 3.681454E+1 1.524840E+1 5.237380E-1 7.908410E+1
4.642000E+10 5.623E+16 340 3.800E-4 3.669515E+1 1.518720E+1 5.234070E-1 7.907330E+1
6.813000E+10 5.623E+16 340 3.800E-4 3.653066E+1 1.510300E+1 5.229470E-1 7.905840E+1
1.000000E+11 5.623E+16 340 3.800E-4 3.630957E+1 1.498990E+1 5.223220E-1 7.903860E+1
1.468000E+11 5.623E+16 340 3.800E-4 3.602164E+1 1.484270E+1 5.214980E-1 7.901290E+1
2.154000E+11 5.623E+16 340 3.800E-4 3.566074E+1 1.465830E+1 5.204450E-1 7.898040E+1
3.162000E+11 5.623E+16 340 3.800E-4 3.522729E+1 1.443670E+1 5.191090E-1 7.894590E+1
4.642000E+11 5.623E+16 340 3.800E-4 3.472849E+1 1.418110E+1 5.175080E-1 7.890540E+1
6.813000E+11 5.623E+16 340 3.800E-4 3.417537E+1 1.389080E+1 5.156690E-1 7.882110E+1
1.000000E+12 5.623E+16 340 3.800E-4 3.357801E+1 1.358260E+1 5.135960E-1 7.875990E+1
1.468000E+12 5.623E+16 340 3.800E-4 3.294220E+1 1.325340E+1 5.112750E-1 7.869030E+1
2.154000E+12 5.623E+16 340 3.800E-4 3.226922E+1 1.290370E+1 5.086260E-1 7.861880E+1
3.162000E+12 5.623E+16 340 3.800E-4 3.155790E+1 1.252710E+1 5.056510E-1 7.850390E+1
4.642000E+12 5.623E+16 340 3.800E-4 3.080653E+1 1.213460E+1 5.023990E-1 7.840350E+1
6.813000E+12 5.623E+16 340 3.800E-4 3.001386E+1 1.172200E+1 4.987970E-1 7.829910E+1
1.000000E+13 5.623E+16 340 3.800E-4 2.917933E+1 1.128370E+1 4.948160E-1 7.815060E+1
1.468000E+13 5.623E+16 340 3.800E-4 2.830323E+1 1.083160E+1 4.905690E-1 7.801100E+1
2.154000E+13 5.623E+16 340 3.800E-4 2.738671E+1 1.036290E+1 4.858880E-1 7.787660E+1
3.162000E+13 5.623E+16 340 3.800E-4 2.643193E+1 9.874300E+0 4.809690E-1 7.767150E+1
4.642000E+13 5.623E+16 340 3.800E-4 2.544206E+1 9.379300E+0 4.756460E-1 7.750570E+1
6.813000E+13 5.623E+16 340 3.800E-4 2.442130E+1 8.870500E+0 4.701180E-1 7.726280E+1
1.000000E+14 5.623E+16 340 3.800E-4 2.337488E+1 8.361300E+0 4.641860E-1 7.706090E+1
