T(K) Nd(cm-3) Mu(cm2/Vs)
92 1.87047E+14 5.20831E+3
85 8.23851E+14 3.98886E+3
182 2.14222E+13 1.43112E+3
269 1.18745E+13 5.98836E+2
211 4.16422E+14 9.85608E+2
95 3.76708E+13 5.76631E+3
194 4.92791E+14 1.16868E+3
193 2.57457E+14 1.21557E+3
168 2.47519E+14 1.62587E+3
192 3.68907E+13 1.27527E+3
167 1.08342E+14 1.69020E+3
119 1.09863E+16 1.24512E+3
115 1.44603E+16 1.13685E+3
138 2.50039E+14 2.40424E+3
98 1.19454E+15 3.10757E+3
174 3.73888E+14 1.48868E+3
154 2.21738E+13 2.06504E+3
265 3.92277E+15 5.56832E+2
148 2.58299E+14 2.11506E+3
169 8.35459E+16 5.00330E+2
131 3.74733E+13 2.94023E+3
127 1.23400E+16 1.15365E+3
99 2.91781E+14 4.28160E+3
232 2.16398E+16 5.53910E+2
229 1.77594E+15 7.83062E+2
220 7.77305E+16 4.24898E+2
205 5.07804E+13 1.09752E+3
169 4.61647E+15 1.17172E+3
205 2.49442E+13 1.10325E+3
78 8.93377E+14 4.13930E+3
82 1.28485E+14 6.55067E+3
119 7.74202E+13 3.50990E+3
202 5.55519E+14 1.07310E+3
200 2.19234E+16 6.59053E+2
172 7.33515E+13 1.59712E+3
139 7.76707E+15 1.26463E+3
205 1.15148E+14 1.08691E+3
180 4.32064E+16 5.96934E+2
268 2.20417E+13 6.06640E+2
98 2.98496E+13 5.44585E+3
93 5.51441E+15 1.82317E+3
265 3.67974E+16 4.14389E+2
212 1.98693E+14 1.00356E+3
264 4.44430E+13 6.24713E+2
103 4.38983E+16 7.57481E+2
94 8.25135E+16 6.13155E+2
216 2.16232E+16 6.05839E+2
244 1.36672E+14 7.38120E+2
119 1.47643E+14 3.37486E+3
88 4.73019E+16 7.58894E+2
212 4.14925E+14 9.84913E+2
187 1.44798E+14 1.31771E+3
159 4.08265E+15 1.29708E+3
213 2.68481E+14 9.83182E+2
190 6.80137E+14 1.19934E+3
137 2.91097E+16 8.07977E+2
89 5.33031E+16 7.24337E+2
217 1.03737E+13 9.68707E+2
169 2.48745E+13 1.69638E+3
83 3.79083E+16 8.34363E+2
126 3.81654E+13 3.20464E+3
183 2.63600E+15 1.13934E+3
163 8.26084E+14 1.60293E+3
124 2.25813E+15 2.04134E+3
184 4.29105E+15 1.04597E+3
201 8.41588E+15 8.13949E+2
175 8.11991E+14 1.40392E+3
150 5.33451E+14 1.93013E+3
213 1.15902E+16 7.02490E+2
162 3.19248E+14 1.73754E+3
194 5.63616E+15 9.22506E+2
229 5.61475E+16 4.47355E+2
154 2.36931E+15 1.52080E+3
241 2.99764E+14 7.50857E+2
208 7.84164E+15 7.85431E+2
114 7.19456E+13 3.82666E+3
101 1.63003E+14 4.49963E+3
123 2.53080E+15 1.98184E+3
226 2.13445E+16 5.74827E+2
241 2.48934E+14 7.51130E+2
92 2.88693E+15 2.38542E+3
104 1.71261E+13 4.94837E+3
121 1.96065E+16 9.91242E+2
91 2.48544E+15 2.54726E+3
99 3.75412E+15 2.07652E+3
138 5.08635E+15 1.45200E+3
265 1.69347E+14 6.16108E+2
187 3.89128E+14 1.27357E+3
228 1.46907E+13 8.66392E+2
184 9.92425E+16 4.49583E+2
217 1.00609E+14 9.55222E+2
91 4.95469E+13 6.19922E+3
155 6.98365E+14 1.78022E+3
261 4.12031E+15 5.68095E+2
173 2.28206E+16 7.52752E+2
226 8.47650E+16 4.05366E+2
129 1.95440E+14 2.80062E+3
222 3.59041E+15 7.79020E+2
259 4.27819E+15 5.75675E+2
99 6.08618E+16 6.76229E+2
237 4.05980E+16 4.68349E+2
231 4.93700E+14 8.13244E+2
245 5.11501E+13 7.35151E+2
144 1.14314E+15 1.90508E+3
257 7.91493E+15 5.51933E+2
169 2.73228E+16 7.24122E+2
238 1.74357E+15 7.26275E+2
164 1.31121E+15 1.49595E+3
122 1.25861E+14 3.24562E+3
137 4.16798E+16 7.07474E+2
216 1.26844E+16 6.78884E+2
225 2.68023E+13 8.93445E+2
191 1.18844E+13 1.28611E+3
80 4.53575E+13 7.96707E+3
166 1.26876E+13 1.77288E+3
94 2.11382E+14 4.93384E+3
169 8.80821E+15 1.00330E+3
117 8.62013E+13 3.58113E+3
227 8.84231E+14 8.28858E+2
161 1.09052E+16 9.97634E+2
187 4.73989E+13 1.34701E+3
197 2.94852E+16 6.20492E+2
262 2.78172E+14 6.26353E+2
123 9.17015E+15 1.30922E+3
133 8.21631E+16 5.58289E+2
248 6.23317E+16 4.00664E+2
226 9.45657E+13 8.73979E+2
118 1.53630E+15 2.37029E+3
179 1.18991E+13 1.50321E+3
254 1.31148E+14 6.74558E+2
154 1.57944E+16 9.30628E+2
221 1.82485E+14 9.14866E+2
128 4.73116E+16 6.92423E+2
236 5.19125E+13 8.02282E+2
155 1.02283E+16 1.05448E+3
232 1.68061E+16 5.80616E+2
