N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.046785670E+00 1.045961755E+00 1.045194834E+00 1.044451814E+00
1.600000000E+01 1.215715334E+00 1.204363024E+00 1.192589065E+00 1.184773286E+00
1.700000000E+01 1.309604492E+00 1.305079638E+00 1.300684782E+00 1.297576424E+00
1.549996187E+01 1.011483230E+00 1.010551923E+00 1.009864675E+00 1.009316645E+00
1.649996187E+01 1.284313278E+00 1.280207511E+00 1.275647725E+00 1.271375769E+00
1.674996808E+01 1.299675835E+00 1.294380683E+00 1.290873757E+00 1.287144465E+00
1.624993176E+01 1.262397376E+00 1.255960442E+00 1.249830592E+00 1.243969303E+00
1.574996808E+01 1.099263339E+00 1.074933911E+00 1.057085228E+00 1.041281557E+00
1.524993176E+01 1.020033305E+00 1.019200516E+00 1.018518412E+00 1.017930445E+00
