T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.216575520E+00 1.205712133E+00 1.086338700E-02 1.216568706E+00 1.205699016E+00 1.086969000E-02 6.814000000E-06 1.311700000E-05
290 1.524993176E+01 1.230585295E+00 1.212618885E+00 1.796641000E-02 1.230571483E+00 1.212597474E+00 1.797400900E-02 1.381200000E-05 2.141100000E-05
290 1.549996187E+01 1.243647451E+00 1.220019744E+00 2.362770700E-02 1.243619789E+00 1.219985237E+00 2.363455200E-02 2.766200000E-05 3.450700000E-05
290 1.574996808E+01 1.257372279E+00 1.231348966E+00 2.602331300E-02 1.257317278E+00 1.231295032E+00 2.602224600E-02 5.500100000E-05 5.393400000E-05
290 1.600000000E+01 1.272209097E+00 1.241229719E+00 3.097937800E-02 1.272100586E+00 1.241149898E+00 3.095068800E-02 1.085110000E-04 7.982100000E-05
290 1.624993176E+01 1.290492062E+00 1.247584836E+00 4.290722600E-02 1.290279900E+00 1.247468145E+00 4.281175500E-02 2.121620000E-04 1.166910000E-04
290 1.649996187E+01 1.310311022E+00 1.254371876E+00 5.593914600E-02 1.309899566E+00 1.254200788E+00 5.569877800E-02 4.114560000E-04 1.710880000E-04
290 1.674996808E+01 1.332246848E+00 1.267198498E+00 6.504835000E-02 1.331462191E+00 1.266952650E+00 6.450954100E-02 7.846570000E-04 2.458480000E-04
290 1.700000000E+01 1.356587729E+00 1.286968241E+00 6.961948800E-02 1.355128867E+00 1.286624385E+00 6.850448200E-02 1.458862000E-03 3.438560000E-04
295 1.500000000E+01 1.211897695E+00 1.204193795E+00 7.703900000E-03 1.211891841E+00 1.204182191E+00 7.709650000E-03 5.854000000E-06 1.160400000E-05
295 1.524993176E+01 1.229489854E+00 1.211829163E+00 1.766069100E-02 1.229477902E+00 1.211810239E+00 1.766766300E-02 1.195200000E-05 1.892400000E-05
295 1.549996187E+01 1.243021508E+00 1.219579714E+00 2.344179400E-02 1.242997469E+00 1.219548736E+00 2.344873300E-02 2.403900000E-05 3.097800000E-05
295 1.574996808E+01 1.256634004E+00 1.230267351E+00 2.636665300E-02 1.256585810E+00 1.230219147E+00 2.636666300E-02 4.819400000E-05 4.820400000E-05
295 1.600000000E+01 1.271200538E+00 1.240709998E+00 3.049054000E-02 1.271104239E+00 1.240636860E+00 3.046737900E-02 9.629900000E-05 7.313800000E-05
295 1.624993176E+01 1.289096437E+00 1.247425406E+00 4.167103100E-02 1.288904702E+00 1.247317965E+00 4.158673700E-02 1.917350000E-04 1.074410000E-04
295 1.649996187E+01 1.308274607E+00 1.253960772E+00 5.431383500E-02 1.307895716E+00 1.253802732E+00 5.409298400E-02 3.788910000E-04 1.580400000E-04
295 1.674996808E+01 1.329908676E+00 1.266358606E+00 6.355007000E-02 1.329169935E+00 1.266130492E+00 6.303944300E-02 7.387410000E-04 2.281140000E-04
295 1.700000000E+01 1.354122159E+00 1.286346713E+00 6.777544600E-02 1.352702630E+00 1.286026049E+00 6.667658100E-02 1.419529000E-03 3.206640000E-04
300 1.500000000E+01 1.205244361E+00 1.203156150E+00 2.088211000E-03 1.205239279E+00 1.203145728E+00 2.093551000E-03 5.082000000E-06 1.042200000E-05
300 1.524993176E+01 1.227919013E+00 1.211739608E+00 1.617940500E-02 1.227908563E+00 1.211722647E+00 1.618591600E-02 1.045000000E-05 1.696100000E-05
300 1.549996187E+01 1.242891392E+00 1.219365403E+00 2.352598900E-02 1.242870427E+00 1.219337761E+00 2.353266600E-02 2.096500000E-05 2.764200000E-05
300 1.574996808E+01 1.256813883E+00 1.230349963E+00 2.646392000E-02 1.256771807E+00 1.230306265E+00 2.646554200E-02 4.207600000E-05 4.369800000E-05
300 1.600000000E+01 1.271078933E+00 1.241020245E+00 3.005868800E-02 1.270994107E+00 1.240953461E+00 3.004064600E-02 8.482600000E-05 6.678400000E-05
300 1.624993176E+01 1.288531040E+00 1.247976259E+00 4.055478100E-02 1.288360048E+00 1.247877830E+00 4.048221800E-02 1.709920000E-04 9.842900000E-05
300 1.649996187E+01 1.307161857E+00 1.254046697E+00 5.311516000E-02 1.306817984E+00 1.253904967E+00 5.291301700E-02 3.438730000E-04 1.417300000E-04
300 1.674996808E+01 1.328410100E+00 1.266169476E+00 6.224062400E-02 1.327726410E+00 1.265964388E+00 6.176202200E-02 6.836900000E-04 2.050880000E-04
300 1.700000000E+01 1.352250955E+00 1.285667441E+00 6.658351400E-02 1.350911497E+00 1.285382027E+00 6.552947000E-02 1.339458000E-03 2.854140000E-04
305 1.500000000E+01 1.191514128E+00 1.201310054E+00 -9.795926000E-03 1.191509678E+00 1.201300458E+00 -9.790780000E-03 4.450000000E-06 9.596000000E-06
305 1.524993176E+01 1.224670068E+00 1.212008933E+00 1.266113500E-02 1.224660729E+00 1.211993408E+00 1.266732100E-02 9.339000000E-06 1.552500000E-05
