T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.204647706E+00 1.208337674E+00 1.211403097E+00 1.214111311E+00 1.216662129E+00 1.219250398E+00 1.222008435E+00 1.225037229E+00 1.228379178E+00 1.232054451E+00 1.236074212E+00 1.240419816E+00 1.245098602E+00 1.250090016E+00 1.255414155E+00 1.261062046E+00 1.267020453E+00 1.273267768E+00 1.279747880E+00
295 1.205850393E+00 1.210043153E+00 1.213557070E+00 1.216558201E+00 1.219289922E+00 1.221957287E+00 1.224716719E+00 1.227678327E+00 1.230870268E+00 1.234316859E+00 1.238021884E+00 1.241981273E+00 1.246224569E+00 1.250774438E+00 1.255609731E+00 1.260780156E+00 1.266266925E+00 1.272065184E+00 1.278152378E+00
300 1.205583918E+00 1.210669574E+00 1.214709087E+00 1.218099481E+00 1.220968840E+00 1.223895702E+00 1.226835302E+00 1.229914387E+00 1.233129016E+00 1.236507486E+00 1.240057021E+00 1.243773924E+00 1.247688843E+00 1.251827517E+00 1.256233376E+00 1.260923954E+00 1.265917905E+00 1.271235118E+00 1.276872601E+00
305 1.204630749E+00 1.210729665E+00 1.215520303E+00 1.219445941E+00 1.222867342E+00 1.226027523E+00 1.229227987E+00 1.232493320E+00 1.235865113E+00 1.239326981E+00 1.242871033E+00 1.246496420E+00 1.250222568E+00 1.254104329E+00 1.258174537E+00 1.262476750E+00 1.267046252E+00 1.271931482E+00 1.277096528E+00
310 1.202326429E+00 1.209615325E+00 1.215315406E+00 1.219934698E+00 1.223902532E+00 1.227552599E+00 1.231113248E+00 1.234706873E+00 1.238365413E+00 1.242065208E+00 1.245769768E+00 1.249462385E+00 1.253158589E+00 1.256900714E+00 1.260744782E+00 1.264747891E+00 1.268961037E+00 1.273439649E+00 1.278212867E+00
315 1.197941272E+00 1.206528846E+00 1.213268060E+00 1.218719656E+00 1.223376685E+00 1.227629836E+00 1.231747784E+00 1.235870565E+00 1.240024316E+00 1.244162026E+00 1.248218316E+00 1.252154030E+00 1.255974537E+00 1.259723531E+00 1.263465780E+00 1.267271072E+00 1.271203750E+00 1.275354306E+00 1.279749089E+00
320 1.192854743E+00 1.202863398E+00 1.210760206E+00 1.217138259E+00 1.222550107E+00 1.227450485E+00 1.232162690E+00 1.236861856E+00 1.241583273E+00 1.246263598E+00 1.250805615E+00 1.255137919E+00 1.259244447E+00 1.263161315E+00 1.266956356E+00 1.270708487E+00 1.274494523E+00 1.278330900E+00 1.282553363E+00
325 1.186380573E+00 1.197831553E+00 1.206947142E+00 1.214323129E+00 1.220558456E+00 1.226170631E+00 1.231543241E+00 1.236896074E+00 1.242282676E+00 1.247627985E+00 1.252800572E+00 1.257688500E+00 1.262244445E+00 1.266489093E+00 1.270488572E+00 1.274328258E+00 1.278095325E+00 1.281902886E+00 1.285804248E+00
330 1.177867897E+00 1.190616861E+00 1.200906678E+00 1.209303015E+00 1.216431673E+00 1.222862272E+00 1.229033938E+00 1.235207541E+00 1.241450837E+00 1.247670999E+00 1.253693980E+00 1.259357995E+00 1.264576135E+00 1.269347835E+00 1.273734344E+00 1.277826076E+00 1.281719817E+00 1.285553503E+00 1.289362812E+00
335 1.169153958E+00 1.183137131E+00 1.194579832E+00 1.203981004E+00 1.211969770E+00 1.219160688E+00 1.226054111E+00 1.232969188E+00 1.240011017E+00 1.247089426E+00 1.253997037E+00 1.260517442E+00 1.266510519E+00 1.271939829E+00 1.276851122E+00 1.281333867E+00 1.285491262E+00 1.289434214E+00 1.293328272E+00
340 1.159689610E+00 1.174708094E+00 1.187191275E+00 1.197537897E+00 1.206354023E+00 1.214282686E+00 1.221880022E+00 1.229526919E+00 1.237375803E+00 1.245351095E+00 1.253219047E+00 1.260706494E+00 1.267610033E+00 1.273844925E+00 1.279431442E+00 1.284451957E+00 1.289012941E+00 1.293233979E+00 1.297236387E+00
