fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 292 39.71 1.498E-002 2.058E-003 1.870E+000 0.000E+000 1.737E-002 
02RV 2rv.dat 292 39.71 1.920E-002 2.082E-003 1.779E+000 0.000E+000 2.730E-002 
03RV 3rv.dat 292 39.71 1.892E-002 2.074E-003 1.729E+000 0.000E+000 2.509E-002 
04RV 4rv.dat 295 39.3 1.785E-001 2.504E-003 2.907E+000 0.000E+000 3.318E-002 
05RV 5rv.dat 295 39.3 5.360E-001 2.700E-003 3.532E+000 0.000E+000 3.583E-002 
06RV 6rv.dat 295 39.3 5.526E-004 1.342E-003 1.172E-001 0.000E+000 1.049E-002 
07RV 7rv.dat 295 39.3 7.033E-004 1.386E-003 1.913E-001 0.000E+000 1.749E-002 
08RV 8rv.dat 297.1 39.02 1.137E-003 1.499E-003 3.154E-001 0.000E+000 1.421E-002 
09RV 9rv.dat 297 39.04 1.707E-003 1.577E-003 4.537E-001 0.000E+000 1.090E-002 
10RV 10rv.dat 300.1 38.63 5.600E-004 1.360E-003 3.951E-002 0.000E+000 8.042E-003 
11RV 11rv.dat 300 38.65 2.770E-003 1.679E-003 6.519E-001 0.000E+000 1.217E-002 
12RV 12rv.dat 300 38.65 1.068E-003 1.469E-003 2.611E-001 0.000E+000 1.268E-002 
13RV 13rv.dat 302.1 38.38 1.032E-003 1.461E-003 2.735E-001 0.000E+000 1.303E-002 
14RV 14rv.dat 302 38.39 7.844E-004 1.406E-003 1.610E-001 0.000E+000 1.367E-002 
15RV 15rv.dat 302 38.39 1.208E-003 1.489E-003 3.264E-001 0.000E+000 1.545E-002 
16RV 16rv.dat 305 38.01 5.062E-004 1.306E-003 2.263E-015 0.000E+000 8.940E-003 
17RV 17rv.dat 305 38.01 1.043E-003 1.452E-003 2.929E-001 0.000E+000 1.271E-002 
18RV 18rv.dat 305 38.01 5.245E-004 1.312E-003 4.661E-015 0.000E+000 1.291E-002 
19A11RV 19A11rv.dat 307 37.77 9.485E-004 1.434E-003 2.972E-001 0.000E+000 1.114E-002 
19A1RV 19A1rv.dat 307 37.77 3.269E-003 1.682E-003 7.885E-001 0.000E+000 2.052E-002 
19RV 19rv.dat 307 37.77 9.906E-004 1.435E-003 2.727E-001 0.000E+000 9.341E-003 
20RV 20rv.dat 310 37.4 2.037E-003 1.573E-003 6.086E-001 0.000E+000 1.810E-002 
21RV 21rv.dat 310 37.4 1.582E-003 1.519E-003 4.806E-001 0.000E+000 2.028E-002 
22RV 22rv.dat 310 37.4 5.299E-004 1.299E-003 4.882E-002 0.000E+000 1.606E-002 
23RV 23rv.dat 312 37.16 9.396E-004 1.409E-003 2.581E-001 0.000E+000 1.347E-002 
24RV 24rv.dat 312 37.16 1.343E-003 1.490E-003 4.456E-001 0.000E+000 7.824E-003 
25RV 25rv.dat 312 37.16 4.129E-003 1.707E-003 8.290E-001 0.000E+000 1.442E-002 
26RV 26rv.dat 312 37.16 7.926E-004 1.389E-003 1.900E-001 0.000E+000 1.047E-002 
27RV 27rv.dat 315 36.81 1.103E-003 1.443E-003 2.206E-001 0.000E+000 1.029E-002 
28RV 28rv.dat 315 36.81 6.189E-004 1.326E-003 2.302E-015 0.000E+000 6.986E-003 
29RV 29rv.dat 317 36.57 6.493E-003 1.800E-003 9.912E-001 0.000E+000 1.201E-002 
30RV 30rv.dat 317 36.57 2.807E-003 1.623E-003 5.871E-001 0.000E+000 9.660E-003 
31RV 31rv.dat 317 36.57 4.489E-003 1.717E-003 7.787E-001 0.000E+000 1.191E-002 
32RV 32rv.dat 317 36.57 4.341E-003 1.713E-003 7.665E-001 0.000E+000 7.290E-003 
33RV 33rv.dat 320 36.23 3.685E-003 1.681E-003 7.847E-001 0.000E+000 1.113E-002 
34RV 34rv.dat 320 36.23 6.518E-003 1.785E-003 9.526E-001 0.000E+000 1.207E-002 
35RV 35rv.dat 320 36.23 2.301E-003 1.579E-003 5.384E-001 0.000E+000 1.312E-002 
36RV 36rv.dat 322 36.01 5.293E-003 1.743E-003 9.007E-001 0.000E+000 1.180E-002 
37RV 37rv.dat 322 36.01 3.334E-003 1.654E-003 7.503E-001 0.000E+000 1.324E-002 
38RV 38rv.dat 322 36.01 1.748E-003 1.515E-003 4.176E-001 0.000E+000 8.958E-003 
39RV 39rv.dat 325 35.67 9.188E-003 1.838E-003 1.125E+000 0.000E+000 1.183E-002 
40RV 40rv.dat 325 35.67 3.852E-003 1.665E-003 7.629E-001 0.000E+000 8.262E-003 
41A1111RV 41A1111rv.dat 330.1 35.12 3.832E-003 1.629E-003 9.711E-001 0.000E+000 1.487E-002 
41A111RV 41A111rv.dat 327 35.46 1.327E-002 1.900E-003 1.517E+000 0.000E+000 1.603E-002 
41A11RV 41A11rv.dat 327 35.46 8.940E-003 1.807E-003 1.259E+000 0.000E+000 1.544E-002 
41A1RV 41A1rv.dat 327 35.46 1.087E-002 1.873E-003 1.208E+000 0.000E+000 1.488E-002 
41RV 41rv.dat 325 35.67 6.605E-003 1.779E-003 1.002E+000 0.000E+000 1.217E-002 
42RV 42rv.dat 330 35.13 8.565E-003 1.794E-003 1.292E+000 0.000E+000 1.434E-002 
43RV 43rv.dat 330 35.13 1.369E-002 1.897E-003 1.533E+000 0.000E+000 1.449E-002 
44RV 44rv.dat 330 35.13 9.450E-003 1.825E-003 1.402E+000 0.000E+000 1.765E-002 
45RV 45rv.dat 332 34.92 1.067E-002 1.852E-003 1.535E+000 0.000E+000 1.540E-002 
46RV 46rv.dat 335 34.61 1.969E-002 1.947E-003 1.678E+000 0.000E+000 1.613E-002 
47RV 47rv.dat 335 34.61 1.316E-002 1.879E-003 1.617E+000 0.000E+000 1.306E-002 
48RV 48rv.dat 337 34.4 1.141E-002 1.831E-003 1.471E+000 0.000E+000 1.566E-002 
49RV 49rv.dat 337 34.4 1.160E-002 1.834E-003 1.467E+000 0.000E+000 1.868E-002 
50RV 50rv.dat 340 34.1 1.190E-002 1.835E-003 1.557E+000 0.000E+000 1.243E-002 
51RV 51rv.dat 340 34.1 8.843E-003 1.777E-003 1.439E+000 0.000E+000 1.018E-002 
52RV 52rv.dat 340 34.1 6.249E-003 1.734E-003 1.370E+000 0.000E+000 1.270E-002 
