T d154 d184 d214 d244
d 150 180 210 240
290 3.327884300E-02 3.267428200E-02 3.211865200E-02 3.093142000E-02
295 3.227311500E-02 3.184023300E-02 3.140731400E-02 3.038994400E-02
300 3.152908700E-02 3.128777200E-02 3.097673900E-02 3.004014100E-02
305 3.124915400E-02 3.109155600E-02 3.046271100E-02 3.004611400E-02
310 3.049785600E-02 3.039628700E-02 2.986576200E-02 2.954583100E-02
315 2.913932400E-02 2.910372400E-02 2.863175200E-02 2.837700000E-02
320 2.687676100E-02 2.686563500E-02 2.651852100E-02 2.628919300E-02
325 2.181789200E-02 2.171910400E-02 2.139673900E-02 2.122265600E-02
330 1.229684300E-02 1.192721300E-02 1.041178300E-02 1.161923000E-02
335 -4.484811000E-03 -5.352468000E-03 -6.785581000E-03 -5.261588000E-03
340 -3.451399200E-02 -3.609757000E-02 -3.733716100E-02 -3.515950100E-02
