T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.880876E-1 5.361800E+0 3.795290E-1 7.511180E+1 2.351456E-1 7.052200E+0 3.947560E-1 7.597260E+1 2.0012282E+01 2.3969825E+01 3.8573195E+00 1.1330401E+00
295 1.926312E-1 5.217300E+0 3.647940E-1 7.424600E+1 2.427875E-1 6.947900E+0 3.808300E-1 7.514440E+1 2.0658518E+01 2.4908246E+01 4.2108027E+00 1.1955648E+00
300 1.971670E-1 5.061200E+0 3.501780E-1 7.330510E+1 2.493187E-1 6.787300E+0 3.664800E-1 7.428380E+1 2.0917685E+01 2.5431320E+01 4.4482646E+00 1.3175147E+00
305 2.017469E-1 4.895200E+0 3.354090E-1 7.234170E+1 2.564573E-1 6.629700E+0 3.523470E-1 7.336810E+1 2.1333142E+01 2.6162571E+01 4.8071929E+00 1.3989731E+00
310 2.063336E-1 4.719000E+0 3.207670E-1 7.130020E+1 2.631703E-1 6.441900E+0 3.380630E-1 7.240740E+1 2.1596928E+01 2.6745215E+01 5.1162062E+00 1.5291255E+00
315 2.108978E-1 4.531800E+0 3.060050E-1 7.022130E+1 2.686619E-1 6.202700E+0 3.234500E-1 7.137810E+1 2.1500667E+01 2.6938269E+01 5.3934147E+00 1.6206652E+00
320 2.155503E-1 4.336900E+0 2.913460E-1 6.905850E+1 2.743860E-1 5.957600E+0 3.089160E-1 7.028590E+1 2.1442676E+01 2.7203908E+01 5.6876303E+00 1.7462962E+00
325 2.202093E-1 4.132100E+0 2.766110E-1 6.783780E+1 2.793791E-1 5.680400E+0 2.941220E-1 6.912890E+1 2.1179036E+01 2.7256883E+01 5.9536519E+00 1.8676704E+00
330 2.248589E-1 3.918200E+0 2.619440E-1 6.652210E+1 2.830096E-1 5.358800E+0 2.790360E-1 6.785910E+1 2.0547254E+01 2.6882884E+01 6.1253745E+00 1.9702590E+00
335 2.296463E-1 3.698000E+0 2.472500E-1 6.512880E+1 2.864981E-1 5.027000E+0 2.638080E-1 6.651250E+1 1.9843692E+01 2.6437239E+01 6.2765344E+00 2.0803608E+00
340 2.344788E-1 3.470500E+0 2.326140E-1 6.362810E+1 2.891216E-1 4.671200E+0 2.483970E-1 6.504260E+1 1.8899591E+01 2.5704316E+01 6.3539415E+00 2.1747286E+00
