T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.636403E-1 4.499000E+0 3.699420E-1 7.431820E+1 2.063406E-1 5.996600E+0 3.860700E-1 7.527530E+1 2.0694085E+01 2.4974152E+01 4.1774808E+00 1.2714662E+00
295 1.677602E-1 4.373600E+0 3.550480E-1 7.342890E+1 2.134032E-1 5.908600E+0 3.720020E-1 7.442860E+1 2.1388152E+01 2.5979081E+01 4.5575024E+00 1.3431665E+00
300 1.718804E-1 4.238100E+0 3.402890E-1 7.245900E+1 2.194647E-1 5.770500E+0 3.575690E-1 7.353480E+1 2.1681983E+01 2.6555758E+01 4.8326337E+00 1.4629808E+00
305 1.760510E-1 4.093700E+0 3.253840E-1 7.146370E+1 2.261097E-1 5.635200E+0 3.432940E-1 7.259760E+1 2.2139121E+01 2.7354841E+01 5.2171025E+00 1.5618974E+00
310 1.802350E-1 3.940600E+0 3.106120E-1 7.038860E+1 2.323826E-1 5.472900E+0 3.289260E-1 7.160100E+1 2.2440406E+01 2.7997954E+01 5.5678177E+00 1.6932724E+00
315 1.844070E-1 3.777700E+0 2.957170E-1 6.927390E+1 2.375310E-1 5.264500E+0 3.141690E-1 7.054660E+1 2.2365081E+01 2.8241998E+01 5.8732720E+00 1.8040558E+00
320 1.886690E-1 3.608000E+0 2.809430E-1 6.806950E+1 2.429131E-1 5.050900E+0 2.995360E-1 6.941730E+1 2.2330661E+01 2.8567186E+01 6.2072672E+00 1.9415909E+00
325 1.929460E-1 3.429700E+0 2.660780E-1 6.680620E+1 2.476241E-1 4.808100E+0 2.845990E-1 6.822560E+1 2.2081090E+01 2.8668289E+01 6.5077530E+00 2.0804507E+00
330 1.972234E-1 3.243300E+0 2.513110E-1 6.543620E+1 2.510666E-1 4.525500E+0 2.693950E-1 6.690940E+1 2.1445784E+01 2.8332781E+01 6.7128195E+00 2.2017833E+00
335 2.016378E-1 3.051400E+0 2.364930E-1 6.398910E+1 2.543810E-1 4.233500E+0 2.540220E-1 6.551490E+1 2.0733938E+01 2.7922523E+01 6.9005834E+00 2.3289359E+00
340 2.061080E-1 2.853200E+0 2.217790E-1 6.241840E+1 2.568879E-1 3.920000E+0 2.384800E-1 6.398680E+1 1.9767338E+01 2.7214286E+01 7.0031030E+00 2.4511305E+00
