T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 7.085430E-1 2.869050E+1 5.097710E-1 7.943240E+1 7.269427E-1 2.995220E+1 5.090190E-1 8.094580E+1 2.5311073E+00 4.2123784E+00 -1.4773515E-01 1.8696461E+00
295 7.099167E-1 2.779000E+1 4.966300E-1 7.882220E+1 7.288191E-1 2.909040E+1 4.966130E-1 8.037340E+1 2.5935654E+00 4.4702032E+00 -3.4231887E-03 1.9299918E+00
300 7.112344E-1 2.688660E+1 4.834850E-1 7.818820E+1 7.302543E-1 2.819650E+1 4.840660E-1 7.976570E+1 2.6045584E+00 4.6456120E+00 1.2002496E-01 1.9776671E+00
305 7.125177E-1 2.598070E+1 4.703270E-1 7.752750E+1 7.317664E-1 2.731130E+1 4.716590E-1 7.913020E+1 2.6304433E+00 4.8719761E+00 2.8240742E-01 2.0253961E+00
310 7.137633E-1 2.507320E+1 4.571020E-1 7.684990E+1 7.330799E-1 2.641360E+1 4.591740E-1 7.846930E+1 2.6349924E+00 5.0746585E+00 4.5124506E-01 2.0637370E+00
315 7.149697E-1 2.416530E+1 4.438750E-1 7.614560E+1 7.340231E-1 2.548920E+1 4.464550E-1 7.778040E+1 2.5957494E+00 5.1939645E+00 5.7788579E-01 2.1018149E+00
320 7.161610E-1 2.325710E+1 4.306490E-1 7.540870E+1 7.349791E-1 2.456890E+1 4.338590E-1 7.704820E+1 2.5603585E+00 5.3392704E+00 7.3987171E-01 2.1278888E+00
325 7.173269E-1 2.234940E+1 4.173730E-1 7.464900E+1 7.357354E-1 2.363590E+1 4.212240E-1 7.626710E+1 2.5020544E+00 5.4429914E+00 9.1424040E-01 2.1216226E+00
330 7.184644E-1 2.144290E+1 4.041060E-1 7.385530E+1 7.361620E-1 2.267900E+1 4.083410E-1 7.544450E+1 2.4040361E+00 5.4504167E+00 1.0371234E+00 2.1064491E+00
335 7.196081E-1 2.053940E+1 3.908450E-1 7.302750E+1 7.365445E-1 2.172150E+1 3.954730E-1 7.457160E+1 2.2994402E+00 5.4420735E+00 1.1702442E+00 2.0706274E+00
340 7.207324E-1 1.963790E+1 3.775530E-1 7.216770E+1 7.367275E-1 2.075100E+1 3.825290E-1 7.363240E+1 2.1711013E+00 5.3640788E+00 1.3008164E+00 1.9892058E+00
