d Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.000000000E+01 1.322839445E+00 1.242775909E+00 8.006353600E-02 1.265282751E+00 1.212996271E+00 5.228648000E-02 5.755669400E-02 2.977963800E-02
150 1.016672606E+01 1.322906555E+00 1.243397653E+00 7.950890200E-02 1.276605860E+00 1.222047439E+00 5.455842100E-02 4.630069500E-02 2.135021400E-02
150 1.033324570E+01 1.323004617E+00 1.244236988E+00 7.876762900E-02 1.285500265E+00 1.228670327E+00 5.682993800E-02 3.750435200E-02 1.556666100E-02
150 1.049996187E+01 1.323147680E+00 1.245394522E+00 7.775315800E-02 1.292663193E+00 1.234477146E+00 5.818604700E-02 3.048448700E-02 1.091737600E-02
150 1.066670514E+01 1.323355857E+00 1.246911733E+00 7.644412400E-02 1.298640957E+00 1.239379006E+00 5.926195100E-02 2.471490000E-02 7.532727000E-03
150 1.083333839E+01 1.323657627E+00 1.248849661E+00 7.480796600E-02 1.303803641E+00 1.243695027E+00 6.010861400E-02 1.985398600E-02 5.154634000E-03
150 1.100000000E+01 1.324092662E+00 1.251248329E+00 7.284433300E-02 1.308370662E+00 1.247710236E+00 6.066042600E-02 1.572200000E-02 3.538093000E-03
150 1.116672606E+01 1.324714933E+00 1.254050481E+00 7.066445200E-02 1.312469861E+00 1.251630564E+00 6.083929700E-02 1.224507200E-02 2.419917000E-03
150 1.133324570E+01 1.325595354E+00 1.257190226E+00 6.840512800E-02 1.316204785E+00 1.255521304E+00 6.068348100E-02 9.390569000E-03 1.668922000E-03
150 1.149996187E+01 1.326822594E+00 1.260588637E+00 6.623395700E-02 1.319703061E+00 1.259410833E+00 6.029222800E-02 7.119533000E-03 1.177804000E-03
150 1.166670514E+01 1.328499717E+00 1.264131671E+00 6.436804600E-02 1.323131684E+00 1.263277055E+00 5.985462900E-02 5.368033000E-03 8.546160000E-04
150 1.183333839E+01 1.330734037E+00 1.267753450E+00 6.298058700E-02 1.326682368E+00 1.267117864E+00 5.956450400E-02 4.051669000E-03 6.355860000E-04
150 1.200000000E+01 1.333618831E+00 1.271486248E+00 6.213258300E-02 1.330539351E+00 1.270986908E+00 5.955244300E-02 3.079480000E-03 4.993400000E-04
150 1.216672606E+01 1.337209334E+00 1.275283599E+00 6.192573500E-02 1.334842617E+00 1.274880275E+00 5.996234200E-02 2.366717000E-03 4.033240000E-04
150 1.233324570E+01 1.341501649E+00 1.279253515E+00 6.224813400E-02 1.339659288E+00 1.278919007E+00 6.074028100E-02 1.842361000E-03 3.345080000E-04
150 1.249996187E+01 1.346426851E+00 1.283408931E+00 6.301792000E-02 1.344975278E+00 1.283126655E+00 6.184862300E-02 1.451573000E-03 2.822760000E-04
150 1.266670514E+01 1.351867853E+00 1.287784802E+00 6.408305100E-02 1.350713100E+00 1.287545695E+00 6.316740500E-02 1.154753000E-03 2.391070000E-04
150 1.283333839E+01 1.357692148E+00 1.292448660E+00 6.524348800E-02 1.356767480E+00 1.292241619E+00 6.452586100E-02 9.246680000E-04 2.070410000E-04
150 1.300000000E+01 1.363781323E+00 1.297402606E+00 6.637871700E-02 1.363038228E+00 1.297224422E+00 6.581380600E-02 7.430950000E-04 1.781840000E-04
180 1.000000000E+01 1.319289906E+00 1.238547499E+00 8.074240700E-02 1.261898546E+00 1.208150833E+00 5.374771300E-02 5.739136000E-02 3.039666600E-02
180 1.016672606E+01 1.319378672E+00 1.239416024E+00 7.996264800E-02 1.273820635E+00 1.217854512E+00 5.596612300E-02 4.555803700E-02 2.156151200E-02
180 1.033324570E+01 1.319508171E+00 1.240605321E+00 7.890285000E-02 1.283135634E+00 1.225537719E+00 5.759791500E-02 3.637253700E-02 1.506760200E-02
180 1.049996187E+01 1.319696649E+00 1.242190628E+00 7.750602100E-02 1.290554070E+00 1.231789834E+00 5.876423600E-02 2.914257900E-02 1.040079400E-02
180 1.066670514E+01 1.319969960E+00 1.244232139E+00 7.573782100E-02 1.296651871E+00 1.237121044E+00 5.953082700E-02 2.331808900E-02 7.111095000E-03
180 1.083333839E+01 1.320364180E+00 1.246752973E+00 7.361120700E-02 1.301838696E+00 1.241919556E+00 5.991914000E-02 1.852548400E-02 4.833417000E-03
180 1.100000000E+01 1.320928521E+00 1.249720940E+00 7.120758100E-02 1.306380544E+00 1.246437078E+00 5.994346600E-02 1.454797700E-02 3.283862000E-03
180 1.116672606E+01 1.321727917E+00 1.253046919E+00 6.868099800E-02 1.310454960E+00 1.250799692E+00 5.965526800E-02 1.127295700E-02 2.247227000E-03
180 1.133324570E+01 1.322844093E+00 1.256624749E+00 6.621934400E-02 1.314211563E+00 1.255052112E+00 5.915945100E-02 8.632530000E-03 1.572637000E-03
180 1.149996187E+01 1.324373102E+00 1.260297729E+00 6.407537300E-02 1.317812116E+00 1.259130235E+00 5.868188100E-02 6.560986000E-03 1.167494000E-03
180 1.166670514E+01 1.326416984E+00 1.264006581E+00 6.241040300E-02 1.321438491E+00 1.263157900E+00 5.828059100E-02 4.978493000E-03 8.486810000E-04
180 1.183333839E+01 1.329068088E+00 1.267739734E+00 6.132835400E-02 1.325273513E+00 1.267094177E+00 5.817933600E-02 3.794575000E-03 6.455570000E-04
180 1.200000000E+01 1.332387827E+00 1.271490061E+00 6.089776600E-02 1.329468645E+00 1.270987984E+00 5.848066100E-02 2.919182000E-03 5.020770000E-04
180 1.216672606E+01 1.336386651E+00 1.275332523E+00 6.105412800E-02 1.334114167E+00 1.274925791E+00 5.918837600E-02 2.272484000E-03 4.067320000E-04
180 1.233324570E+01 1.341015924E+00 1.279285507E+00 6.173041700E-02 1.339225759E+00 1.278951207E+00 6.027455200E-02 1.790165000E-03 3.343000000E-04
180 1.249996187E+01 1.346179584E+00 1.283432037E+00 6.274754700E-02 1.344755262E+00 1.283151896E+00 6.160336600E-02 1.424322000E-03 2.801410000E-04
180 1.266670514E+01 1.351761724E+00 1.287835844E+00 6.392588000E-02 1.350620374E+00 1.287595358E+00 6.302501600E-02 1.141350000E-03 2.404860000E-04
180 1.283333839E+01 1.357654174E+00 1.292519185E+00 6.513498900E-02 1.356735674E+00 1.292312948E+00 6.442272600E-02 9.185000000E-04 2.062370000E-04
180 1.300000000E+01 1.363769280E+00 1.297450846E+00 6.631843400E-02 1.363028828E+00 1.297272976E+00 6.575585200E-02 7.404520000E-04 1.778700000E-04
210 1.000000000E+01 1.315125664E+00 1.234763162E+00 8.036250200E-02 1.257464154E+00 1.203774110E+00 5.369004400E-02 5.766151000E-02 3.098905200E-02
210 1.016672606E+01 1.315237695E+00 1.235931509E+00 7.930618600E-02 1.269915582E+00 1.214011728E+00 5.590385400E-02 4.532211300E-02 2.191978100E-02
210 1.033324570E+01 1.315400835E+00 1.237501046E+00 7.789978900E-02 1.279619024E+00 1.222248653E+00 5.737037100E-02 3.578181100E-02 1.525239300E-02
210 1.049996187E+01 1.315637618E+00 1.239541480E+00 7.609613800E-02 1.287292077E+00 1.229069735E+00 5.822234200E-02 2.834554100E-02 1.047174500E-02
210 1.066670514E+01 1.315979623E+00 1.242088411E+00 7.389121200E-02 1.293535469E+00 1.234970820E+00 5.856464900E-02 2.244415400E-02 7.117591000E-03
210 1.083333839E+01 1.316470168E+00 1.245120116E+00 7.135005200E-02 1.298793572E+00 1.240308821E+00 5.848475100E-02 1.767659600E-02 4.811295000E-03
210 1.100000000E+01 1.317166944E+00 1.248549147E+00 6.861779700E-02 1.303372449E+00 1.245293414E+00 5.807903500E-02 1.379449500E-02 3.255733000E-03
210 1.116672606E+01 1.318143511E+00 1.252240479E+00 6.590303200E-02 1.307490107E+00 1.250016015E+00 5.747409200E-02 1.065340400E-02 2.224464000E-03
210 1.133324570E+01 1.319488089E+00 1.256052318E+00 6.343577100E-02 1.311330567E+00 1.254503002E+00 5.682756500E-02 8.157522000E-03 1.549316000E-03
210 1.149996187E+01 1.321297437E+00 1.259878458E+00 6.141897900E-02 1.315076743E+00 1.258769075E+00 5.630766800E-02 6.220694000E-03 1.109383000E-03
210 1.166670514E+01 1.323664230E+00 1.263670090E+00 5.999414000E-02 1.318913069E+00 1.262849039E+00 5.606403000E-02 4.751161000E-03 8.210510000E-04
210 1.183333839E+01 1.326658665E+00 1.267432425E+00 5.922624000E-02 1.323004717E+00 1.266803500E+00 5.620121700E-02 3.653948000E-03 6.289250000E-04
210 1.200000000E+01 1.330309138E+00 1.271206374E+00 5.910276400E-02 1.327469332E+00 1.270708866E+00 5.676046600E-02 2.839806000E-03 4.975080000E-04
210 1.216672606E+01 1.334590915E+00 1.275040826E+00 5.955008900E-02 1.332358047E+00 1.274636472E+00 5.772157500E-02 2.232868000E-03 4.043540000E-04
210 1.233324570E+01 1.339431134E+00 1.279011259E+00 6.041987500E-02 1.337656981E+00 1.278675169E+00 5.898181200E-02 1.774153000E-03 3.360900000E-04
210 1.249996187E+01 1.344730301E+00 1.283176618E+00 6.155368300E-02 1.343309265E+00 1.282873900E+00 6.043536500E-02 1.421036000E-03 3.027180000E-04
210 1.266670514E+01 1.350388433E+00 1.287605454E+00 6.278297900E-02 1.349244261E+00 1.287374389E+00 6.186987200E-02 1.144172000E-03 2.310650000E-04
210 1.283333839E+01 1.356320838E+00 1.292258124E+00 6.406271400E-02 1.355397127E+00 1.292058165E+00 6.333896200E-02 9.237110000E-04 1.999590000E-04
210 1.300000000E+01 1.362458970E+00 1.297189090E+00 6.526988000E-02 1.361712846E+00 1.297011634E+00 6.470121200E-02 7.461240000E-04 1.774560000E-04
240 1.000000000E+01 1.313489146E+00 1.231839106E+00 8.165004000E-02 1.255209330E+00 1.200380306E+00 5.482902400E-02 5.827981600E-02 3.145880000E-02
240 1.016672606E+01 1.313625656E+00 1.233322455E+00 8.030320100E-02 1.268187780E+00 1.211123446E+00 5.706433400E-02 4.543787600E-02 2.219900900E-02
240 1.033324570E+01 1.313824022E+00 1.235277477E+00 7.854654500E-02 1.278287321E+00 1.219886910E+00 5.840041100E-02 3.553670100E-02 1.539056700E-02
240 1.049996187E+01 1.314111042E+00 1.237758324E+00 7.635271800E-02 1.286233368E+00 1.227239047E+00 5.899432100E-02 2.787767400E-02 1.051927700E-02
