T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.314711595E+00 1.235403319E+00 7.930827600E-02 1.282502767E+00 1.231216695E+00 5.128607200E-02 3.220882800E-02 4.186624000E-03
295 1.314319557E+00 1.040534333E+00 2.737852240E-01 1.285279980E+00 1.035147853E+00 2.501321270E-01 2.903957700E-02 5.386480000E-03
300 1.315181180E+00 1.240708469E+00 7.447271100E-02 1.288781210E+00 1.235574871E+00 5.320633900E-02 2.639997000E-02 5.133598000E-03
305 1.317240296E+00 1.052287366E+00 2.649529300E-01 1.292817444E+00 1.045230825E+00 2.475866190E-01 2.442285200E-02 7.056541000E-03
310 1.319969960E+00 1.244232139E+00 7.573782100E-02 1.296651871E+00 1.237121044E+00 5.953082700E-02 2.331808900E-02 7.111095000E-03
315 1.323397115E+00 1.066782483E+00 2.566146320E-01 1.300202247E+00 1.057457944E+00 2.427443030E-01 2.319486800E-02 9.324539000E-03
320 1.327348033E+00 1.244135166E+00 8.321286700E-02 1.303222797E+00 1.233360417E+00 6.986238000E-02 2.412523600E-02 1.077474900E-02
325 1.331430246E+00 1.082130200E+00 2.493000460E-01 1.305271424E+00 1.070373130E+00 2.348982940E-01 2.615882200E-02 1.175707000E-02
330 1.334959929E+00 1.240459870E+00 9.450005900E-02 1.305650126E+00 1.225077677E+00 8.057244900E-02 2.930980300E-02 1.538219300E-02
335 1.338660822E+00 1.098421061E+00 2.402397610E-01 1.305081216E+00 1.083719333E+00 2.213618830E-01 3.357960600E-02 1.470172800E-02
340 1.341556975E+00 1.230519431E+00 1.110375440E-01 1.302694027E+00 1.211064711E+00 9.162931600E-02 3.886294800E-02 1.945472000E-02
