N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.194334773E+00 1.195462954E+00 1.196297257E+00 1.196909161E+00 1.197361947E+00 1.197708833E+00 1.197994315E+00 1.198257107E+00 1.198533820E+00 1.198862936E+00 1.199297288E+00 1.199894735E+00 1.200690563E+00 1.201786491E+00 1.203282104E+00 1.205277804E+00 1.207866472E+00 1.211097836E+00 1.214965221E+00
1.600000000E+01 1.207373945E+00 1.209679257E+00 1.211522167E+00 1.212980049E+00 1.214144584E+00 1.215114515E+00 1.215990284E+00 1.216872920E+00 1.217866072E+00 1.219078571E+00 1.220624536E+00 1.222618004E+00 1.225160380E+00 1.228322006E+00 1.232124060E+00 1.236531021E+00 1.241461766E+00 1.246814711E+00 1.252498418E+00
1.700000000E+01 1.218432617E+00 1.222965452E+00 1.226698804E+00 1.229923321E+00 1.232886566E+00 1.235799273E+00 1.238831739E+00 1.242107624E+00 1.245702188E+00 1.249648086E+00 1.253948458E+00 1.258593279E+00 1.263572036E+00 1.268877503E+00 1.274501950E+00 1.280429500E+00 1.286641955E+00 1.293117629E+00 1.299794232E+00
1.549996187E+01 1.198534586E+00 1.200343607E+00 1.201742655E+00 1.202806585E+00 1.203616665E+00 1.204251363E+00 1.204782769E+00 1.205277579E+00 1.205814047E+00 1.206435425E+00 1.207229014E+00 1.208284747E+00 1.209704800E+00 1.211599091E+00 1.214071741E+00 1.217199518E+00 1.221016278E+00 1.225475707E+00 1.230481359E+00
1.649996187E+01 1.205030727E+00 1.207925829E+00 1.210276084E+00 1.212217895E+00 1.213889186E+00 1.215432884E+00 1.216994478E+00 1.218717286E+00 1.220735653E+00 1.223165154E+00 1.226090424E+00 1.229554155E+00 1.233553188E+00 1.238046624E+00 1.242975072E+00 1.248280922E+00 1.253918100E+00 1.259849104E+00 1.266037136E+00
1.674996808E+01 1.208567411E+00 1.212072699E+00 1.214941158E+00 1.217373178E+00 1.219555213E+00 1.221666280E+00 1.223874204E+00 1.226326159E+00 1.229137609E+00 1.232383081E+00 1.236092798E+00 1.240258220E+00 1.244849621E+00 1.249820965E+00 1.255144194E+00 1.260798523E+00 1.266753121E+00 1.272985619E+00 1.279461591E+00
1.624993176E+01 1.206612494E+00 1.209139752E+00 1.211175357E+00 1.212817650E+00 1.214174599E+00 1.215361884E+00 1.216499338E+00 1.217709182E+00 1.219115223E+00 1.220840208E+00 1.222998637E+00 1.225684070E+00 1.228953527E+00 1.232815546E+00 1.237230259E+00 1.242128446E+00 1.247423208E+00 1.253049206E+00 1.258953717E+00
1.574996808E+01 1.203785647E+00 1.205894227E+00 1.207559072E+00 1.208851540E+00 1.209856758E+00 1.210663274E+00 1.211357326E+00 1.212022319E+00 1.212753430E+00 1.213643960E+00 1.214752437E+00 1.216203277E+00 1.218111348E+00 1.220583728E+00 1.223696666E+00 1.227481020E+00 1.231911009E+00 1.236893845E+00 1.242313856E+00
1.524993176E+01 1.196810289E+00 1.198274783E+00 1.199381394E+00 1.200206458E+00 1.200824098E+00 1.201300630E+00 1.201693784E+00 1.202055009E+00 1.202433400E+00 1.202880390E+00 1.203454602E+00 1.204226361E+00 1.205280630E+00 1.206716513E+00 1.208640513E+00 1.211151205E+00 1.214316215E+00 1.218148594E+00 1.222595284E+00
