fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
DARK1 34994 293.85 39.456 1.000000000E+00 1.491221192E+00 8.320412602E-13 1.000000000E+20 3.856262094E+00 1.731011266E-05 1.869094830E-01 
DARK1 34994 293.85 39.456 1.000000000E+00 1.491221179E+00 8.320412498E-13 1.000000000E+20 3.856262094E+00 1.731011266E-05 1.869094830E-01 
DARK1 34994 293.85 39.456 1.000000000E+00 1.491221183E+00 8.320412546E-13 1.000000000E+20 3.856262093E+00 1.731011266E-05 1.869094830E-01 
DARK10 36082 300.05 38.641 1.000000000E+00 1.057424319E+00 2.236127279E-12 1.000000000E+20 3.612297489E+00 1.610614519E-05 2.261456671E-01 
DARK10 36082 300.05 38.641 1.000000000E+00 1.057424314E+00 2.236127278E-12 1.000000000E+20 3.612297494E+00 1.610614527E-05 2.261456671E-01 
DARK10 36082 300.05 38.641 1.000000000E+00 1.057424299E+00 2.236127231E-12 1.000000000E+20 3.612297495E+00 1.610614528E-05 2.261456671E-01 
DARK100 46882 300 38.647 1.000000000E+00 1.298002494E+00 3.024358501E-12 1.000000000E+20 3.932903914E+00 2.319767344E-05 1.450502858E-01 
DARK100 46882 300 38.647 1.000000000E+00 1.298002501E+00 3.024358516E-12 1.000000000E+20 3.932903917E+00 2.319767347E-05 1.450502858E-01 
DARK100 46882 300 38.647 1.000000000E+00 1.298002497E+00 3.024358518E-12 1.000000000E+20 3.932903918E+00 2.319767352E-05 1.450502858E-01 
DARK101 47002 300 38.647 1.000000000E+00 1.280757955E+00 3.164312463E-12 1.000000000E+20 4.098755178E+00 2.772165533E-05 1.237084682E-01 
DARK101 47002 300 38.647 1.000000000E+00 1.280757948E+00 3.164312435E-12 1.000000000E+20 4.098755179E+00 2.772165531E-05 1.237084682E-01 
DARK101 47002 300 38.647 1.000000000E+00 1.280757961E+00 3.164312484E-12 1.000000000E+20 4.098755181E+00 2.772165536E-05 1.237084682E-01 
DARK102 47122 300 38.647 1.000000000E+00 1.091534561E+00 2.237053851E-12 1.000000000E+20 3.667216723E+00 1.778011324E-05 2.190822855E-01 
DARK102 47122 300 38.647 1.000000000E+00 1.091534555E+00 2.237053849E-12 1.000000000E+20 3.667216729E+00 1.778011334E-05 2.190822855E-01 
DARK102 47122 300 38.647 1.000000000E+00 1.091534562E+00 2.237053863E-12 1.000000000E+20 3.667216727E+00 1.778011326E-05 2.190822855E-01 
DARK103 47242 300 38.647 1.000000000E+00 1.206585658E+00 2.943831966E-12 1.000000000E+20 4.007951885E+00 2.509400113E-05 1.790621575E-01 
DARK103 47242 300 38.647 1.000000000E+00 1.206585661E+00 2.943831986E-12 1.000000000E+20 4.007951887E+00 2.509400112E-05 1.790621575E-01 
DARK103 47242 300 38.647 1.000000000E+00 1.206585666E+00 2.943832009E-12 1.000000000E+20 4.007951894E+00 2.509400123E-05 1.790621575E-01 
