fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 38702 338.94 34.207 1.000000000E+00 3.110387678E+00 2.249383379E-08 4.371738818E+04 1.804688022E+00 3.723852343E-07 8.882143791E-03 
00D2 38830 339.27 34.174 1.000000000E+00 3.146548703E+00 2.386107440E-08 4.538859518E+04 1.850244013E+00 4.122344225E-07 1.704864045E-02 
00D3 38932 339.51 34.15 1.000000000E+00 3.125770603E+00 2.399451231E-08 4.214030219E+04 1.748727981E+00 3.445574130E-07 2.303290689E-02 
00D4 39038 339.66 34.135 1.000000000E+00 3.202488712E+00 2.594491678E-08 1.098047456E+19 2.534234810E+00 1.455112170E-06 1.291660055E-01 
00D5 39126 339.74 34.127 1.000000000E+00 3.183907352E+00 2.506509261E-08 4.475606384E+04 1.835500777E+00 4.086879851E-07 8.678849481E-03 
00D6 39226 339.78 34.123 1.000000000E+00 3.183794308E+00 2.489226697E-08 4.432397912E+04 1.834148766E+00 4.074759610E-07 5.374303667E-03 
00D7 39328 339.79 34.122 1.000000000E+00 3.191541448E+00 2.477649612E-08 4.462971734E+04 1.827953355E+00 4.035900494E-07 6.408535515E-03 
00D8 39422 339.84 34.117 1.000000000E+00 3.336473102E+00 2.715612343E-08 6.285181674E+04 2.281269776E+00 8.116826020E-07 2.087207781E-02 
00D9 39524 339.9 34.111 1.000000000E+00 3.216573734E+00 2.486757160E-08 4.440464555E+04 1.799379452E+00 3.894657458E-07 6.141506756E-03 
0D10 39620 339.9 34.111 1.000000000E+00 3.243728866E+00 2.511739385E-08 4.422266241E+04 1.810202403E+00 3.893505414E-07 2.220201363E-02 
0D11 39718 339.92 34.109 1.000000000E+00 3.222512399E+00 2.456785386E-08 4.321925463E+04 1.759165360E+00 3.579362663E-07 1.838922805E-02 
0D12 39800 340.03 34.098 1.000000000E+00 4.519281107E+00 3.206962054E-08 4.078140632E+04 1.617191290E+00 2.836130994E-07 9.546454850E-03 
0D13 39928 339.77 34.124 1.000000000E+00 3.503459174E+00 3.041993164E-08 4.410729656E+04 1.746886466E+00 3.614592445E-07 9.846506037E-03 
0D14 40024 339.85 34.116 1.000000000E+00 3.438938536E+00 2.990706867E-08 4.452109927E+04 1.780804847E+00 3.840179958E-07 6.459741011E-03 
0D15 40130 339.92 34.109 1.000000000E+00 4.012696959E+00 2.922427080E-08 4.297103275E+04 1.729325672E+00 3.439988043E-07 1.052252360E-02 
0D16 40230 340 34.101 1.000000000E+00 3.901228914E+00 2.835934519E-08 4.222615768E+04 1.709889138E+00 3.329070617E-07 9.422957412E-03 
0D17 40334 340.01 34.1 1.000000000E+00 6.167234944E+00 3.096077231E-08 5.751619078E+04 2.177750060E+00 7.001453056E-07 1.046173669E-02 
0D18 40426 340.04 34.097 1.000000000E+00 5.628583286E+00 2.865723493E-08 4.759548467E+04 1.907712427E+00 4.681717890E-07 2.942187674E-02 
0D19 40532 340.03 34.098 1.000000000E+00 5.918850434E+00 2.906220084E-08 4.942737530E+04 1.987304571E+00 5.222993859E-07 1.266923973E-02 
0D20 40640 340.03 34.098 1.000000000E+00 5.686259064E+00 2.773077844E-08 4.687474129E+04 1.859182995E+00 4.270990828E-07 9.224658740E-03 
0D21 40722 340.06 34.095 1.000000000E+00 3.546414886E+00 2.723329020E-08 4.587716415E+04 1.823729750E+00 4.042376599E-07 1.583887412E-02 
0D22 40832 340.04 34.097 1.000000000E+00 7.623641208E+00 2.778832276E-08 5.242309214E+04 2.072459887E+00 6.017614665E-07 1.022919963E-01 
0D23 40934 340.02 34.099 1.000000000E+00 7.103712834E+00 1.329613262E-08 3.370151967E+04 1.253077946E+00 1.210305149E-07 2.785398856E-02 
