fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 286.9 40.41 4.772E-008 0.000E+000 3.772E+000 0.000E+000 1.153E-002 
03RV 3rv.dat 291.8 39.73 6.286E-008 0.000E+000 3.791E+000 0.000E+000 3.037E-003 
05RV 5rv.dat 297.6 38.96 8.987E-008 0.000E+000 3.678E+000 0.000E+000 2.418E-003 
07RV 7rv.dat 301.7 38.43 1.109E-007 0.000E+000 3.584E+000 0.000E+000 1.189E-002 
09RV 9rv.dat 307.2 37.74 8.873E-008 0.000E+000 3.734E+000 0.000E+000 1.857E-002 
11RV 11rv.dat 312.5 37.1 1.060E-007 0.000E+000 3.826E+000 0.000E+000 3.986E-003 
13RV 13rv.dat 319.6 36.28 1.728E-007 0.000E+000 3.635E+000 0.000E+000 5.511E-003 
15RV 15rv.dat 323.3 35.86 1.859E-007 0.000E+000 3.677E+000 0.000E+000 2.605E-003 
17RV 17rv.dat 329.9 35.14 2.081E-007 0.000E+000 3.757E+000 0.000E+000 1.544E-002 
19RV 19rv.dat 335.2 34.59 3.397E-007 0.000E+000 3.563E+000 0.000E+000 2.444E-003 
21RV 21rv.dat 339.4 34.16 3.605E-007 0.000E+000 3.601E+000 0.000E+000 4.655E-003 
