T nFsrh nFBsrh dnsrh nF nFB dn
290 1.144978653E+00 1.133219865E+0 1.175878800E-02 1.144978653E+00 1.133219865E+0 1.175878800E-02
295 1.136849526E+00 1.130827702E+0 6.021824000E-03 1.136849526E+00 1.130827702E+0 6.021824000E-03
300 1.118069959E+00 1.123008508E+0 -4.938549000E-03 1.118069959E+00 1.123008508E+0 -4.938549000E-03
305 1.100312508E+00 1.106620993E+0 -6.308485000E-03 1.100312508E+00 1.106620993E+0 -6.308485000E-03
310 1.073583288E+00 1.081542480E+0 -7.959192000E-03 1.073583288E+00 1.081542480E+0 -7.959192000E-03
315 1.038834224E+00 1.053859239E+0 -1.502501500E-02 1.038834224E+00 1.053859239E+0 -1.502501500E-02
320 1.007993220E+00 1.031393764E+0 -2.340054400E-02 1.007993220E+00 1.031393764E+0 -2.340054400E-02
325 1.007220315E+00 1.016925200E+0 -9.704885000E-03 1.007220315E+00 1.016925200E+0 -9.704885000E-03
330 1.008092171E+00 1.008806332E+0 -7.141610000E-04 1.008092171E+00 1.008806332E+0 -7.141610000E-04
335 1.010187263E+00 1.004542418E+0 5.644845000E-03 1.010187263E+00 1.004542418E+0 5.644845000E-03
340 1.017368131E+00 1.002355747E+0 1.501238400E-02 1.017368131E+00 1.002355747E+0 1.501238400E-02
