T nFsrh nFBsrh dnsrh nF nFB dn
290 1.146643026E+00 1.144190876E+0 2.452150000E-03 1.146643026E+00 1.144190876E+0 2.452150000E-03
295 1.141950101E+00 1.141601711E+0 3.483900000E-04 1.141950101E+00 1.141601711E+0 3.483900000E-04
300 1.120542665E+00 1.133138586E+0 -1.259592100E-02 1.120542665E+00 1.133138586E+0 -1.259592100E-02
305 1.105290730E+00 1.115401516E+0 -1.011078600E-02 1.105290730E+00 1.115401516E+0 -1.011078600E-02
310 1.084547849E+00 1.088257720E+0 -3.709871000E-03 1.084547849E+00 1.088257720E+0 -3.709871000E-03
315 1.056713615E+00 1.058294690E+0 -1.581075000E-03 1.056713615E+00 1.058294690E+0 -1.581075000E-03
320 1.009179361E+00 1.033979124E+0 -2.479976300E-02 1.009179361E+00 1.033979124E+0 -2.479976300E-02
325 1.007600540E+00 1.018319035E+0 -1.071849500E-02 1.007600540E+00 1.018319035E+0 -1.071849500E-02
330 1.007962381E+00 1.009531557E+0 -1.569176000E-03 1.007962381E+00 1.009531557E+0 -1.569176000E-03
335 1.009694701E+00 1.004916498E+0 4.778203000E-03 1.009694701E+00 1.004916498E+0 4.778203000E-03
340 1.015939040E+00 1.002549749E+0 1.338929100E-02 1.015939040E+00 1.002549749E+0 1.338929100E-02
