T nFsrh nFBsrh dnsrh nF nFB dn
290 1.145376734E+00 1.135942672E+0 9.434062000E-03 1.145376734E+00 1.135942672E+0 9.434062000E-03
295 1.137651868E+00 1.133501617E+0 4.150251000E-03 1.137651868E+00 1.133501617E+0 4.150251000E-03
300 1.118225443E+00 1.125522611E+0 -7.297168000E-03 1.118225443E+00 1.125522611E+0 -7.297168000E-03
305 1.101335901E+00 1.108800161E+0 -7.464260000E-03 1.101335901E+00 1.108800161E+0 -7.464260000E-03
310 1.074840380E+00 1.083209081E+0 -8.368701000E-03 1.074840380E+00 1.083209081E+0 -8.368701000E-03
315 1.041446585E+00 1.054960038E+0 -1.351345300E-02 1.041446585E+00 1.054960038E+0 -1.351345300E-02
320 1.008175815E+00 1.032035404E+0 -2.385958900E-02 1.008175815E+00 1.032035404E+0 -2.385958900E-02
325 1.007232045E+00 1.017271124E+0 -1.003907900E-02 1.007232045E+00 1.017271124E+0 -1.003907900E-02
330 1.008064179E+00 1.008986320E+0 -9.221410000E-04 1.008064179E+00 1.008986320E+0 -9.221410000E-04
335 1.010104172E+00 1.004635258E+0 5.468914000E-03 1.010104172E+00 1.004635258E+0 5.468914000E-03
340 1.017142405E+00 1.002403895E+0 1.473851000E-02 1.017142405E+00 1.002403895E+0 1.473851000E-02
