T nFsrh nFBsrh dnsrh nF nFB dn
290 1.150535618E+00 1.169629957E+0 -1.909433900E-02 1.150535618E+00 1.169629957E+0 -1.909433900E-02
295 1.155072075E+00 1.166583996E+0 -1.151192100E-02 1.155072075E+00 1.166583996E+0 -1.151192100E-02
300 1.158073752E+00 1.156627751E+0 1.446001000E-03 1.158073752E+00 1.156627751E+0 1.446001000E-03
305 1.143009556E+00 1.135761394E+0 7.248162000E-03 1.143009556E+00 1.135761394E+0 7.248162000E-03
310 1.124317125E+00 1.103828715E+0 2.048841000E-02 1.124317125E+00 1.103828715E+0 2.048841000E-02
315 1.103184737E+00 1.068579414E+0 3.460532300E-02 1.103184737E+00 1.068579414E+0 3.460532300E-02
320 1.084522753E+00 1.039973940E+0 4.454881300E-02 1.084522753E+00 1.039973940E+0 4.454881300E-02
325 1.018462628E+00 1.021550997E+0 -3.088369000E-03 1.018462628E+00 1.021550997E+0 -3.088369000E-03
330 1.016891881E+00 1.011213176E+0 5.678705000E-03 1.016891881E+00 1.011213176E+0 5.678705000E-03
335 1.015722484E+00 1.005783899E+0 9.938585000E-03 1.015722484E+00 1.005783899E+0 9.938585000E-03
340 1.017873104E+00 1.002999593E+0 1.487351100E-02 1.017873104E+00 1.002999593E+0 1.487351100E-02
