N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 6.1003258E-04 -6.1324965E-03 -5.1606221E-03 -1.7473024E-03 6.0643573E-04 -6.0912402E-03 -5.1436404E-03 -1.7160796E-03 -2.4080509E-03 8.7234894E-03 -2.4417306E-02 6.5233306E-03
1.000000E+10 1.000E+15 2.300E-4 3.1420575E-04 -6.4102825E-03 -5.1827395E-03 -1.7667150E-03 3.0723362E-04 -6.3608901E-03 -5.1607745E-03 -1.7284317E-03 -3.3620815E-03 8.2272968E-03 -2.5357421E-02 6.4781048E-03
1.000000E+10 1.000E+15 2.800E-4 1.7558050E-04 -6.5566465E-03 -5.2017822E-03 -1.7846263E-03 1.6496461E-04 -6.4999299E-03 -5.1744449E-03 -1.7403484E-03 -3.9953937E-03 7.8154704E-03 -2.7292930E-02 6.3702079E-03
1.000000E+10 1.000E+15 3.300E-4 1.1487567E-04 -6.6361149E-03 -5.2185917E-03 -1.8007462E-03 1.0055675E-04 -6.5728318E-03 -5.1856168E-03 -1.7516743E-03 -4.4296506E-03 7.4581422E-03 -2.9695859E-02 6.1971034E-03
1.000000E+10 1.000E+15 3.800E-4 9.0977517E-05 -6.6828780E-03 -5.2339158E-03 -1.8154618E-03 7.3006671E-05 -6.6137398E-03 -5.1954432E-03 -1.7623618E-03 -4.7350990E-03 7.1516029E-03 -3.2265830E-02 6.0207786E-03
1.000000E+10 1.778E+15 1.800E-4 6.1966756E-04 -6.0836338E-03 -5.1560865E-03 -1.7045137E-03 6.2480437E-04 -6.0412846E-03 -5.1338866E-03 -1.6854355E-03 4.2573506E-03 1.4896022E-02 1.0489910E-01 1.0010324E-02
1.000000E+10 1.778E+15 2.300E-4 3.2599267E-04 -6.3495684E-03 -5.1763466E-03 -1.7137687E-03 3.3054017E-04 -6.2980407E-03 -5.1478703E-03 -1.6902030E-03 2.6828162E-03 1.3989817E-02 1.0328040E-01 9.9782935E-03
1.000000E+10 1.778E+15 2.800E-4 1.8884269E-04 -6.4848728E-03 -5.1931791E-03 -1.7222148E-03 1.9207171E-04 -6.4262317E-03 -5.1589167E-03 -1.6955409E-03 1.4812506E-03 1.3018228E-02 9.6872673E-02 9.6032400E-03
1.000000E+10 1.778E+15 3.300E-4 1.2909233E-04 -6.5542293E-03 -5.2076309E-03 -1.7298267E-03 1.3109217E-04 -6.4883750E-03 -5.1674817E-03 -1.7000688E-03 7.5437334E-04 1.2419832E-02 9.0041462E-02 9.4263404E-03
1.000000E+10 1.778E+15 3.800E-4 1.0578800E-04 -6.5916180E-03 -5.2201840E-03 -1.7370298E-03 1.0656201E-04 -6.5190746E-03 -5.1747410E-03 -1.7042593E-03 2.5091824E-04 1.1948207E-02 8.3693223E-02 9.3450558E-03
1.000000E+10 3.162E+15 1.800E-4 6.3754880E-04 -6.0378679E-03 -5.1418137E-03 -1.6840619E-03 6.5436680E-04 -5.9974742E-03 -5.1224046E-03 -1.6749091E-03 2.2584713E-02 3.1070129E-02 8.7736319E-02 1.6490819E-02
1.000000E+10 3.162E+15 2.300E-4 3.4737324E-04 -6.2931227E-03 -5.1577638E-03 -1.6886324E-03 3.6662558E-04 -6.2443820E-03 -5.1333881E-03 -1.6774077E-03 1.8145599E-02 2.8081837E-02 8.4029142E-02 1.6205950E-02
1.000000E+10 3.162E+15 2.800E-4 2.1245708E-04 -6.4191372E-03 -5.1702420E-03 -1.6929268E-03 2.3371994E-04 -6.3626214E-03 -5.1411596E-03 -1.6797334E-03 1.5464060E-02 2.6161761E-02 8.0191660E-02 1.6120019E-02
1.000000E+10 3.162E+15 3.300E-4 1.5397546E-04 -6.4801521E-03 -5.1802412E-03 -1.6968408E-03 1.7702368E-04 -6.4164200E-03 -5.1467459E-03 -1.6817986E-03 1.3716287E-02 2.4711972E-02 7.6625623E-02 1.6132151E-02
1.000000E+10 3.162E+15 3.800E-4 1.3132302E-04 -6.5101250E-03 -5.1888426E-03 -1.7003069E-03 1.5603291E-04 -6.4395685E-03 -5.1510802E-03 -1.6836366E-03 1.2512531E-02 2.3726398E-02 7.4076336E-02 1.6096902E-02
1.000000E+10 5.623E+15 1.800E-4 6.7034438E-04 -5.9902843E-03 -5.1277046E-03 -1.6754442E-03 7.0547436E-04 -5.9445188E-03 -5.1139587E-03 -1.6711939E-03 -4.1486364E-01 -4.0609426E-01 -1.0871246E-01 4.7176706E-02
1.000000E+10 5.623E+15 2.300E-4 3.8570640E-04 -6.2354270E-03 -5.1395343E-03 -1.6778365E-03 4.2807084E-04 -6.1797226E-03 -5.1224123E-03 -1.6726369E-03 -6.1982236E-01 -5.6764312E-01 -1.1781705E-01 4.5229186E-02
1.000000E+10 5.623E+15 2.800E-4 2.5396391E-04 -6.3533517E-03 -5.1480619E-03 -1.6800565E-03 3.0288670E-04 -6.2884682E-03 -5.1277855E-03 -1.6739249E-03 -1.0081437E+00 -8.4102320E-01 -1.2736440E-01 4.4592164E-02
1.000000E+10 5.623E+15 3.300E-4 1.9697569E-04 -6.4079354E-03 -5.1542902E-03 -1.6819801E-03 2.5192644E-04 -6.3344984E-03 -5.1310633E-03 -1.6749795E-03 -2.0443768E+00 -1.3573232E+00 -1.3422524E-01 4.4410185E-02
1.000000E+10 5.623E+15 3.800E-4 1.7475398E-04 -6.4325646E-03 -5.1591623E-03 -1.6836633E-03 2.3530712E-04 -6.3512024E-03 -5.1332416E-03 -1.6758249E-03 -1.3958252E+01 -2.5994764E+00 -1.4258675E-01 4.4996547E-02
1.000000E+10 1.000E+16 1.800E-4 7.2961054E-04 -5.9282456E-03 -5.1169125E-03 -1.6713629E-03 7.9558618E-04 -5.8629279E-03 -5.1075393E-03 -1.6693244E-03 -4.2442783E-02 -3.6052687E-02 -1.9670421E-02 -2.8045392E-02
1.000000E+10 1.000E+16 2.300E-4 4.5307527E-04 -6.1626462E-03 -5.1253795E-03 -1.6725472E-03 5.3384235E-04 -6.0825460E-03 -5.1138603E-03 -1.6700907E-03 -3.9582359E-02 -3.4370494E-02 -1.9707317E-02 -2.8606399E-02
1.000000E+10 1.000E+16 2.800E-4 3.2517382E-04 -6.2734221E-03 -5.1307360E-03 -1.6735564E-03 4.1935205E-04 -6.1799690E-03 -5.1172743E-03 -1.6707545E-03 -3.7749452E-02 -3.3149350E-02 -1.9673913E-02 -2.8296917E-02
1.000000E+10 1.000E+16 3.300E-4 2.6911622E-04 -6.3235101E-03 -5.1339942E-03 -1.6743368E-03 3.7545460E-04 -6.2178502E-03 -5.1187924E-03 -1.6711827E-03 -3.6486279E-02 -3.2364493E-02 -1.9647747E-02 -2.8118436E-02
