N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Vmp_Fe Jmp_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Vmp_FeB Jmp_FeB Jsc_e Eta_e Voc_e FF_e Vmp_e Jmp_e
1.000000E+10 1.000E+15 290 1.800E-4 3.607181E-1 2.968800E+1 5.102230E-1 8.065350E+1 4.354790E-1 3.408663E-1 3.612207E-1 2.983330E+1 5.097120E-1 8.101630E+1 4.366500E-1 3.416143E-1 1.3913931E-01 4.8703965E-01 -1.0025269E-01 4.4781112E-01 2.6817817E-01 2.1896039E-01
1.468000E+10 1.000E+15 290 1.800E-4 3.602467E-1 2.954800E+1 5.095550E-1 8.048330E+1 4.341500E-1 3.402956E-1 3.609877E-1 2.975530E+1 5.088440E-1 8.099470E+1 4.358500E-1 3.413477E-1 2.0527015E-01 6.9668261E-01 -1.3972848E-01 6.3139934E-01 3.9004245E-01 3.0821945E-01
2.154000E+10 1.000E+15 290 1.800E-4 3.595587E-1 2.935170E+1 5.085530E-1 8.025960E+1 4.323140E-1 3.394712E-1 3.606466E-1 2.964470E+1 5.076330E-1 8.096250E+1 4.346970E-1 3.409798E-1 3.0165264E-01 9.8837229E-01 -1.8123329E-01 8.6817971E-01 5.4819794E-01 4.4243090E-01
3.162000E+10 1.000E+15 290 1.800E-4 3.585572E-1 2.908220E+1 5.070840E-1 7.997560E+1 4.297950E-1 3.383253E-1 3.601482E-1 2.948960E+1 5.059730E-1 8.091490E+1 4.331350E-1 3.404196E-1 4.4176259E-01 1.3815040E+00 -2.1957693E-01 1.1608492E+00 7.7112217E-01 6.1521135E-01
4.642000E+10 1.000E+15 290 1.800E-4 3.571050E-1 2.872010E+1 5.049320E-1 7.963900E+1 4.264550E-1 3.367296E-1 3.594212E-1 2.927580E+1 5.037520E-1 8.084570E+1 4.309860E-1 3.396362E-1 6.4442498E-01 1.8981548E+00 -2.3424225E-01 1.4925964E+00 1.0513103E+00 8.5579806E-01
6.813000E+10 1.000E+15 290 1.800E-4 3.550109E-1 2.824680E+1 5.017900E-1 7.928190E+1 4.221970E-1 3.345202E-1 3.583640E-1 2.898680E+1 5.008560E-1 8.074810E+1 4.281740E-1 3.384933E-1 9.3566876E-01 2.5528861E+00 -1.8648074E-01 1.8157703E+00 1.3959278E+00 1.1737603E+00
1.000000E+11 1.000E+15 290 1.800E-4 3.520151E-1 2.764220E+1 4.971450E-1 7.897650E+1 4.169630E-1 3.314706E-1 3.568333E-1 2.860520E+1 4.970250E-1 8.064380E+1 4.245610E-1 3.368798E-1 1.3502664E+00 3.3665208E+00 -2.4143655E-02 2.0674869E+00 1.7896133E+00 1.6056766E+00
1.468000E+11 1.000E+15 290 1.800E-4 3.477779E-1 2.689090E+1 4.907300E-1 7.878230E+1 4.109080E-1 3.272118E-1 3.546304E-1 2.811310E+1 4.923800E-1 8.050100E+1 4.201270E-1 3.345779E-1 1.9322935E+00 4.3474394E+00 3.3510703E-01 2.1350045E+00 2.1943365E+00 2.2016098E+00
2.154000E+11 1.000E+15 290 1.800E-4 3.418805E-1 2.597540E+1 4.824940E-1 7.873450E+1 4.041110E-1 3.213886E-1 3.514880E-1 2.749310E+1 4.868100E-1 8.033830E+1 4.148730E-1 3.313428E-1 2.7333792E+00 5.5202942E+00 8.8658820E-01 1.9963081E+00 2.5940469E+00 3.0041999E+00
3.162000E+11 1.000E+15 290 1.800E-4 3.338526E-1 2.488080E+1 4.731090E-1 7.876220E+1 3.968070E-1 3.135127E-1 3.470612E-1 2.672830E+1 4.805250E-1 8.013420E+1 4.088770E-1 3.268492E-1 3.8058417E+00 6.9121493E+00 1.5433120E+00 1.7121279E+00 2.9519880E+00 4.0803221E+00
4.642000E+11 1.000E+15 290 1.800E-4 3.232465E-1 2.359840E+1 4.633610E-1 7.877680E+1 3.891700E-1 3.031879E-1 3.409329E-1 2.580220E+1 4.734530E-1 7.992460E+1 4.022560E-1 3.207181E-1 5.1876484E+00 8.5411322E+00 2.1315738E+00 1.4361035E+00 3.2531522E+00 5.4659216E+00
6.813000E+11 1.000E+15 290 1.800E-4 3.097670E-1 2.213080E+1 4.537710E-1 7.872150E+1 3.813570E-1 2.901571E-1 3.326486E-1 2.470040E+1 4.659290E-1 7.968340E+1 3.951660E-1 3.125314E-1 6.8786100E+00 1.0403070E+01 2.6094104E+00 1.2071523E+00 3.4944808E+00 7.1590567E+00
1.000000E+12 1.000E+15 290 1.800E-4 2.934347E-1 2.050310E+1 4.445650E-1 7.858540E+1 3.735640E-1 2.744247E-1 3.217979E-1 2.341500E+1 4.581270E-1 7.941340E+1 3.877830E-1 3.019075E-1 8.8139792E+00 1.2436045E+01 2.9603145E+00 1.0426452E+00 3.6667415E+00 9.1030531E+00
1.468000E+12 1.000E+15 290 1.800E-4 2.747008E-1 1.876670E+1 4.358110E-1 7.837870E+1 3.658690E-1 2.564663E-1 3.081444E-1 2.195190E+1 4.502000E-1 7.911920E+1 3.802640E-1 2.886404E-1 1.0853223E+01 1.4509906E+01 3.1961351E+00 9.3592958E-01 3.7855279E+00 1.1146776E+01
2.154000E+12 1.000E+15 290 1.800E-4 2.544064E-1 1.699180E+1 4.275020E-1 7.811640E+1 3.583690E-1 2.370709E-1 2.917735E-1 2.033900E+1 4.421700E-1 7.882500E+1 3.727250E-1 2.728420E-1 1.2806886E+01 1.6457053E+01 3.3172762E+00 8.9895338E-01 3.8516332E+00 1.3110555E+01
3.162000E+12 1.000E+15 290 1.800E-4 2.335470E-1 1.524940E+1 4.195850E-1 7.780870E+1 3.510450E-1 2.171996E-1 2.731753E-1 1.862780E+1 4.342570E-1 7.851320E+1 3.652830E-1 2.549771E-1 1.4506546E+01 1.8136334E+01 3.3786444E+00 8.9730135E-01 3.8977998E+00 1.4816036E+01
4.642000E+12 1.000E+15 290 1.800E-4 2.129608E-1 1.359110E+1 4.118280E-1 7.748320E+1 3.438570E-1 1.976261E-1 2.531742E-1 1.688520E+1 4.265340E-1 7.818120E+1 3.579790E-1 2.358404E-1 1.5883688E+01 1.9508801E+01 3.4477908E+00 8.9279776E-01 3.9449241E+00 1.6203458E+01
6.813000E+12 1.000E+15 290 1.800E-4 1.931373E-1 1.204080E+1 4.041520E-1 7.712860E+1 3.367090E-1 1.788017E-1 2.326953E-1 1.517600E+1 4.190170E-1 7.782310E+1 3.507910E-1 2.163112E-1 1.6999914E+01 2.0658935E+01 3.5475888E+00 8.9240855E-01 4.0143561E+00 1.7340526E+01
1.000000E+13 1.000E+15 290 1.800E-4 1.742451E-1 1.060110E+1 3.964560E-1 7.673000E+1 3.294630E-1 1.608844E-1 2.124877E-1 1.354610E+1 4.115490E-1 7.745100E+1 3.437010E-1 1.970612E-1 1.7997559E+01 2.1740575E+01 3.6673640E+00 9.3091116E-01 4.1425541E+00 1.8358155E+01
1.468000E+13 1.000E+15 290 1.800E-4 1.562987E-1 9.266300E+0 3.886240E-1 7.627650E+1 3.220210E-1 1.438769E-1 1.929758E-1 1.201580E+1 4.040430E-1 7.705360E+1 3.365920E-1 1.784922E-1 1.9006062E+01 2.2882372E+01 3.8161780E+00 1.0085187E+00 4.3289799E+00 1.9393172E+01
2.154000E+13 1.000E+15 290 1.800E-4 1.393153E-1 8.033000E+0 3.805240E-1 7.576430E+1 3.142870E-1 1.277966E-1 1.743032E-1 1.058720E+1 3.964610E-1 7.660270E+1 3.293260E-1 1.607399E-1 2.0073011E+01 2.4125359E+01 4.0198153E+00 1.0944784E+00 4.5665997E+00 2.0494787E+01
3.162000E+13 1.000E+15 290 1.800E-4 1.233729E-1 6.902400E+0 3.720260E-1 7.519280E+1 3.062010E-1 1.127102E-1 1.564919E-1 9.256200E+0 3.887080E-1 7.608260E+1 3.218070E-1 1.438154E-1 2.1163396E+01 2.5429442E+01 4.2916534E+00 1.1695184E+00 4.8494905E+00 2.1628560E+01
4.642000E+13 1.000E+15 290 1.800E-4 1.085869E-1 5.877400E+0 3.631360E-1 7.452550E+1 2.976660E-1 9.872399E-2 1.395798E-1 8.021400E+0 3.806510E-1 7.548660E+1 3.139550E-1 1.277475E-1 2.2204431E+01 2.6728501E+01 4.6013277E+00 1.2732061E+00 5.1883232E+00 2.2719435E+01
6.813000E+13 1.000E+15 290 1.800E-4 9.506244E-2 4.959900E+0 3.537600E-1 7.374320E+1 2.885640E-1 8.594023E-2 1.236650E-1 6.886100E+0 3.721860E-1 7.480540E+1 3.056930E-1 1.126301E-1 2.3129066E+01 2.7972292E+01 4.9507504E+00 1.4199510E+00 5.6033341E+00 2.3696925E+01
1.000000E+14 1.000E+15 290 1.800E-4 8.286610E-2 4.148600E+0 3.437550E-1 7.281960E+1 2.787790E-1 7.440698E-2 1.088758E-1 5.854600E+0 3.633320E-1 7.400000E+1 2.969040E-1 9.859387E-2 2.3889331E+01 2.9139480E+01 5.3881849E+00 1.5951351E+00 6.1046668E+00 2.4531840E+01
1.000000E+10 1.000E+15 295 1.800E-4 3.623192E-1 2.888410E+1 4.978010E-1 8.007200E+1 4.229200E-1 3.414830E-1 3.628368E-1 2.903620E+1 4.973380E-1 8.045370E+1 4.241700E-1 3.422702E-1 1.4265367E-01 5.2382888E-01 -9.3095641E-02 4.7443436E-01 2.9469317E-01 2.2999373E-01
1.468000E+10 1.000E+15 295 1.800E-4 3.618520E-1 2.874110E+1 4.970960E-1 7.989180E+1 4.215530E-1 3.408954E-1 3.626120E-1 2.895820E+1 4.964760E-1 8.042670E+1 4.233500E-1 3.420126E-1 2.0959042E-01 7.4970129E-01 -1.2488016E-01 6.6507764E-01 4.2447148E-01 3.2665463E-01
2.154000E+10 1.000E+15 295 1.800E-4 3.611703E-1 2.854160E+1 4.960590E-1 7.965300E+1 4.196580E-1 3.400570E-1 3.622831E-1 2.884760E+1 4.952710E-1 8.038750E+1 4.221970E-1 3.416360E-1 3.0716310E-01 1.0607468E+00 -1.5910481E-01 9.1369927E-01 6.0137803E-01 4.6218783E-01
3.162000E+10 1.000E+15 295 1.800E-4 3.601779E-1 2.826820E+1 4.945360E-1 7.935110E+1 4.170410E-1 3.389137E-1 3.618022E-1 2.869270E+1 4.936140E-1 8.033080E+1 4.205960E-1 3.410956E-1 4.4894697E-01 1.4794704E+00 -1.8678563E-01 1.2195820E+00 8.4522915E-01 6.3967404E-01
