fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 300 38.65 9.913E-004 1.473E-003 3.649E-015 0.000E+000 1.192E-002 
02RV 2rv.dat 300 38.65 9.994E-004 1.476E-003 1.271E-015 0.000E+000 1.432E-002 
03RV 3rv.dat 300 38.65 9.247E-004 1.467E-003 5.214E-017 0.000E+000 8.557E-003 
04RV 4rv.dat 300 38.65 1.812E-003 1.605E-003 2.629E-001 0.000E+000 8.502E-003 
05RV 5rv.dat 300 38.65 9.550E-004 1.476E-003 7.093E-015 0.000E+000 1.105E-002 
06RV 6rv.dat 300 38.65 1.407E-003 1.548E-003 1.333E-001 0.000E+000 1.184E-002 
07RV 7rv.dat 300 38.65 1.830E-003 1.607E-003 2.938E-001 0.000E+000 1.024E-002 
08RV 8rv.dat 300 38.65 1.568E-003 1.583E-003 2.746E-001 0.000E+000 9.563E-003 
09RV 9rv.dat 300 38.65 1.098E-003 1.504E-003 8.123E-002 0.000E+000 5.035E-003 
100RV 100rv.dat 300 38.65 8.360E-004 1.457E-003 2.070E-001 0.000E+000 8.040E-003 
10RV 10rv.dat 300 38.65 1.288E-003 1.538E-003 1.616E-001 0.000E+000 9.984E-003 
11RV 11rv.dat 300 38.65 1.034E-003 1.482E-003 1.338E-016 0.000E+000 9.717E-003 
12RV 12rv.dat 300 38.65 2.168E-003 1.636E-003 3.138E-001 0.000E+000 6.799E-003 
13RV 13rv.dat 300 38.65 1.386E-003 1.557E-003 2.140E-001 0.000E+000 1.087E-002 
14RV 14rv.dat 300 38.65 1.134E-003 1.520E-003 1.430E-001 0.000E+000 9.455E-003 
15RV 15rv.dat 300 38.65 4.758E-003 1.799E-003 6.622E-001 0.000E+000 1.560E-002 
16RV 16rv.dat 300 38.65 8.895E-004 1.460E-003 1.525E-015 0.000E+000 1.307E-002 
17RV 17rv.dat 300 38.65 1.084E-003 1.505E-003 7.247E-002 0.000E+000 9.185E-003 
18RV 18rv.dat 300 38.65 8.250E-004 1.456E-003 6.829E-015 0.000E+000 1.269E-002 
19RV 19rv.dat 300 38.65 1.615E-003 1.581E-003 2.100E-001 0.000E+000 1.321E-002 
20RV 20rv.dat 300 38.65 2.765E-003 1.681E-003 3.992E-001 0.000E+000 1.248E-002 
21RV 21rv.dat 300 38.65 2.063E-003 1.635E-003 3.593E-001 0.000E+000 1.290E-002 
22RV 22rv.dat 300 38.65 1.021E-003 1.482E-003 4.150E-016 0.000E+000 1.295E-002 
23RV 23rv.dat 300 38.65 2.205E-003 1.640E-003 3.362E-001 0.000E+000 9.554E-003 
24RV 24rv.dat 300 38.65 2.733E-003 1.679E-003 4.016E-001 0.000E+000 1.074E-002 
25RV 25rv.dat 300.1 38.63 3.059E-003 1.721E-003 5.824E-001 0.000E+000 1.156E-002 
26RV 26rv.dat 300 38.65 4.925E-003 1.803E-003 6.808E-001 0.000E+000 1.247E-002 
27RV 27rv.dat 300 38.65 9.253E-004 1.467E-003 1.417E-015 0.000E+000 9.283E-003 
28RV 28rv.dat 300 38.65 2.240E-003 1.649E-003 3.682E-001 0.000E+000 1.180E-002 
29RV 29rv.dat 300 38.65 1.533E-003 1.575E-003 2.354E-001 0.000E+000 8.317E-003 
30RV 30rv.dat 300 38.65 3.029E-003 1.701E-003 4.499E-001 0.000E+000 9.759E-003 
31RV 31rv.dat 300 38.65 6.304E-003 1.746E-003 2.835E-001 0.000E+000 2.750E-002 
32RV 32rv.dat 300 38.65 2.482E-003 1.672E-003 6.982E-001 0.000E+000 1.004E-002 
33RV 33rv.dat 300 38.65 7.371E-004 1.423E-003 1.725E-001 0.000E+000 1.216E-002 
34RV 34rv.dat 300 38.65 3.635E-003 1.738E-003 8.036E-001 0.000E+000 9.019E-003 
35RV 35rv.dat 300 38.65 9.720E-004 1.461E-003 2.460E-001 0.000E+000 1.110E-002 
36RV 36rv.dat 300 38.65 1.947E-003 1.606E-003 5.703E-001 0.000E+000 9.103E-003 
37RV 37rv.dat 300 38.65 4.520E-004 1.315E-003 3.861E-002 0.000E+000 1.363E-002 
38RV 38rv.dat 300 38.65 1.735E-003 1.590E-003 5.245E-001 0.000E+000 1.218E-002 
39RV 39rv.dat 300 38.65 2.126E-003 1.621E-003 5.583E-001 0.000E+000 8.941E-003 
40RV 40rv.dat 300 38.65 1.030E-003 1.468E-003 2.250E-001 0.000E+000 1.007E-002 
41RV 41rv.dat 300 38.65 1.063E-003 1.482E-003 3.122E-001 0.000E+000 1.639E-002 
42RV 42rv.dat 300 38.65 1.144E-003 1.507E-003 3.736E-001 0.000E+000 1.578E-002 
43RV 43rv.dat 300 38.65 8.618E-004 1.435E-003 1.881E-001 0.000E+000 1.072E-002 
44RV 44rv.dat 300 38.65 1.055E-003 1.480E-003 2.935E-001 0.000E+000 1.822E-002 
45RV 45rv.dat 300 38.65 1.952E-003 1.621E-003 6.396E-001 0.000E+000 1.006E-002 
46RV 46rv.dat 300 38.65 1.745E-003 1.574E-003 4.896E-001 0.000E+000 1.575E-002 
47RV 47rv.dat 300.1 38.63 1.033E-003 1.473E-003 3.310E-001 0.000E+000 9.736E-003 
48RV 48rv.dat 300 38.65 1.000E-002 1.944E-003 1.337E+000 0.000E+000 4.529E-002 
49RV 49rv.dat 300 38.65 1.115E-003 1.500E-003 3.835E-001 0.000E+000 1.034E-002 
50RV 50rv.dat 300 38.65 2.018E-003 1.620E-003 6.373E-001 0.000E+000 1.036E-002 
51RV 51rv.dat 300 38.65 1.649E-003 1.588E-003 6.304E-001 0.000E+000 1.431E-002 
52RV 52rv.dat 300 38.65 1.965E-003 1.617E-003 5.905E-001 0.000E+000 1.462E-002 
53RV 53rv.dat 300 38.65 1.296E-003 1.535E-003 4.549E-001 0.000E+000 1.545E-002 
54RV 54rv.dat 300 38.65 6.757E-004 1.398E-003 9.942E-002 0.000E+000 1.183E-002 
55RV 55rv.dat 300 38.65 1.178E-003 1.518E-003 3.940E-001 0.000E+000 8.332E-003 
56RV 56rv.dat 300 38.65 6.198E-004 1.389E-003 1.506E-001 0.000E+000 1.027E-002 
57RV 57rv.dat 300 38.65 8.656E-004 1.440E-003 1.530E-001 0.000E+000 9.928E-003 
58RV 58rv.dat 300 38.65 6.199E-004 1.367E-003 3.021E-015 0.000E+000 1.123E-002 
59RV 59rv.dat 300 38.65 2.659E-003 1.673E-003 6.651E-001 0.000E+000 1.299E-002 
60RV 60rv.dat 300 38.65 8.454E-004 1.435E-003 1.545E-001 0.000E+000 1.074E-002 
61RV 61rv.dat 299.8 38.67 2.826E-003 1.694E-003 6.853E-001 0.000E+000 1.151E-002 
62RV 62rv.dat 300 38.65 1.784E-003 1.609E-003 5.808E-001 0.000E+000 9.672E-003 
63RV 63rv.dat 300 38.65 1.844E-003 1.616E-003 5.947E-001 0.000E+000 9.334E-003 
