Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 3.771345E-1 2.112520E+1 3.830340E-1 7.312020E+1 3.782029E-1 2.142420E+1 3.831880E-1 7.391590E+1 2.8249387E-01 1.3956180E+00 4.0189150E-02 1.0764937E+00
1.468000E+10 3.761390E-1 2.082690E+1 3.808270E-1 7.269720E+1 3.776682E-1 2.123200E+1 3.812490E-1 7.372940E+1 4.0490568E-01 1.9079691E+00 1.1068881E-01 1.3999843E+00
2.154000E+10 3.747114E-1 2.043770E+1 3.775310E-1 7.223550E+1 3.768933E-1 2.097290E+1 3.785300E-1 7.350360E+1 5.7891716E-01 2.5518645E+00 2.6391567E-01 1.7252216E+00
3.162000E+10 3.726848E-1 1.994800E+1 3.728530E-1 7.177760E+1 3.757765E-1 2.063330E+1 3.748690E-1 7.323650E+1 8.2274969E-01 3.3213301E+00 5.3778787E-01 1.9920395E+00
4.642000E+10 3.698489E-1 1.935520E+1 3.664170E-1 7.141110E+1 3.741802E-1 2.020170E+1 3.701950E-1 7.291980E+1 1.1575439E+00 4.1902414E+00 1.0205432E+00 2.0689854E+00
6.813000E+10 3.659579E-1 1.866220E+1 3.582510E-1 7.117280E+1 3.719247E-1 1.967240E+1 3.642490E-1 7.260610E+1 1.6043032E+00 5.1351132E+00 1.6466758E+00 1.9740766E+00
1.000000E+11 3.607578E-1 1.787870E+1 3.488680E-1 7.102770E+1 3.687885E-1 1.904430E+1 3.572410E-1 7.227640E+1 2.1775896E+00 6.1204665E+00 2.3437959E+00 1.7276732E+00
1.468000E+11 3.540377E-1 1.701920E+1 3.390800E-1 7.088550E+1 3.645221E-1 1.832340E+1 3.493630E-1 7.194060E+1 2.8762042E+00 7.1176747E+00 2.9433569E+00 1.4666266E+00
2.154000E+11 3.456980E-1 1.610360E+1 3.295230E-1 7.068190E+1 3.588821E-1 1.751950E+1 3.408990E-1 7.160010E+1 3.6736577E+00 8.0818517E+00 3.3370588E+00 1.2824004E+00
3.162000E+11 3.358022E-1 1.515390E+1 3.205100E-1 7.039920E+1 3.516892E-1 1.664780E+1 3.322270E-1 7.124120E+1 4.5173409E+00 8.9735581E+00 3.5268055E+00 1.1819004E+00
4.642000E+11 3.245675E-1 1.419220E+1 3.120920E-1 7.005350E+1 3.428932E-1 1.572740E+1 3.236750E-1 7.085310E+1 5.3444338E+00 9.7613083E+00 3.5785896E+00 1.1285321E+00
6.813000E+11 3.122715E-1 1.323500E+1 3.042140E-1 6.966000E+1 3.326088E-1 1.478040E+1 3.154430E-1 7.043690E+1 6.1144804E+00 1.0455739E+01 3.5597556E+00 1.1029730E+00
1.000000E+12 2.991227E-1 1.228880E+1 2.967270E-1 6.922650E+1 3.210792E-1 1.382670E+1 3.076190E-1 6.999410E+1 6.8383439E+00 1.1122683E+01 3.5407436E+00 1.0966639E+00
1.468000E+12 2.851858E-1 1.135050E+1 2.894520E-1 6.875110E+1 3.085669E-1 1.287940E+1 3.001750E-1 6.952530E+1 7.5773195E+00 1.1870895E+01 3.5722495E+00 1.1135515E+00
2.154000E+12 2.704116E-1 1.041350E+1 2.821060E-1 6.825420E+1 2.952355E-1 1.194190E+1 2.928660E-1 6.905640E+1 8.4081691E+00 1.2798633E+01 3.6740352E+00 1.1616592E+00
3.162000E+12 2.547510E-1 9.474000E+0 2.746010E-1 6.771460E+1 2.811059E-1 1.100950E+1 2.856410E-1 6.855590E+1 9.3754347E+00 1.3947046E+01 3.8649914E+00 1.2271737E+00
4.642000E+12 2.382192E-1 8.534500E+0 2.668850E-1 6.711930E+1 2.661231E-1 1.007610E+1 2.783650E-1 6.800880E+1 1.0485336E+01 1.5299570E+01 4.1240817E+00 1.3079190E+00
6.813000E+12 2.209763E-1 7.604600E+0 2.589080E-1 6.645880E+1 2.502346E-1 9.139700E+0 2.708840E-1 6.741700E+1 1.1692348E+01 1.6795956E+01 4.4210806E+00 1.4213032E+00
1.000000E+13 2.032756E-1 6.697100E+0 2.505980E-1 6.573390E+1 2.335132E-1 8.205200E+0 2.630770E-1 6.678280E+1 1.2948990E+01 1.8379808E+01 4.7434781E+00 1.5706140E+00
1.468000E+13 1.854270E-1 5.826100E+0 2.419050E-1 6.494220E+1 2.161440E-1 7.283400E+0 2.549760E-1 6.607860E+1 1.4211359E+01 2.0008513E+01 5.1263648E+00 1.7197701E+00
2.154000E+13 1.677593E-1 5.004600E+0 2.328420E-1 6.406050E+1 1.983999E-1 6.387800E+0 2.465470E-1 6.529490E+1 1.5443859E+01 2.1653778E+01 5.5587778E+00 1.8904999E+00
3.162000E+13 1.505901E-1 4.243300E+0 2.233690E-1 6.307510E+1 1.805988E-1 5.532400E+0 2.377590E-1 6.442090E+1 1.6616223E+01 2.3300918E+01 6.0523471E+00 2.0890736E+00
4.642000E+13 1.342037E-1 3.550000E+0 2.134280E-1 6.196990E+1 1.630687E-1 4.729700E+0 2.285730E-1 6.344580E+1 1.7701128E+01 2.4942385E+01 6.6258919E+00 2.3262375E+00
6.813000E+13 1.188342E-1 2.928900E+0 2.029420E-1 6.072460E+1 1.461202E-1 3.989900E+0 2.189440E-1 6.235700E+1 1.8673667E+01 2.6592145E+01 7.3087182E+00 2.6178296E+00
1.000000E+14 1.046574E-1 2.381200E+0 1.917990E-1 5.931320E+1 1.300256E-1 3.320200E+0 2.088230E-1 6.114020E+1 1.9510158E+01 2.8281429E+01 8.1523587E+00 2.9882140E+00
