N_B;T;d;Jsc_e;Eta_e;Voc_e;FF_e;N_Fe;All_var_AM(4);All_var_AM(3);All_var_AM(2);All_var_AM(1)
1.57E+01;293;2.00E-04;-3.18E-02;-1.56E-01;-1.92E-01;6.71E-02;1.01E+01;10.17450237;10.1787529;10.3313694;10.24949551
1.57E+01;293;2.00E-04;-4.02E-02;-2.00E-01;-2.50E-01;9.06E-02;1.02E+01;10.25176716;10.25276661;10.18810272;10.20891476
1.57E+01;293;2.00E-04;-5.11E-02;-2.55E-01;-3.25E-01;1.21E-01;1.03E+01;10.33427048;10.36426163;10.32769012;10.22422028
1.57E+01;293;2.00E-04;-6.49E-02;-3.23E-01;-4.18E-01;1.60E-01;1.05E+01;10.57772732;10.73321915;10.47020721;10.3874712
1.57E+01;293;2.00E-04;-8.25E-02;-4.07E-01;-5.35E-01;2.09E-01;1.06E+01;10.69672966;10.83947659;10.61371803;10.38553429
1.57E+01;293;2.00E-04;-1.05E-01;-5.10E-01;-6.80E-01;2.73E-01;1.07E+01;10.80599308;11.16449547;10.73738575;10.47493935
1.57E+01;293;2.00E-04;-1.32E-01;-6.34E-01;-8.57E-01;3.53E-01;1.08E+01;10.85177803;11.23627186;10.77267838;10.56785679
1.57E+01;293;2.00E-04;-1.66E-01;-8.20E-01;-1.07E+00;4.12E-01;1.09E+01;10.94903088;11.05177593;11.01499844;10.66612339
1.57E+01;293;2.00E-04;-2.07E-01;-9.79E-01;-1.32E+00;5.43E-01;1.10E+01;11.04077625;11.17600346;11.18634796;10.78016472
1.57E+01;293;2.00E-04;-2.55E-01;-1.14E+00;-1.61E+00;7.11E-01;1.11E+01;11.20723629;11.2697382;11.24207783;10.88021374
1.57E+01;293;2.00E-04;-3.09E-01;-1.27E+00;-1.95E+00;9.71E-01;1.13E+01;11.32349586;11.29008389;11.35646534;10.92094326
1.57E+01;293;2.00E-04;-3.69E-01;-1.43E+00;-2.32E+00;1.23E+00;1.14E+01;11.43576717;11.38326263;11.35217285;11.17177391
1.57E+01;293;2.00E-04;-4.29E-01;-1.61E+00;-2.70E+00;1.49E+00;1.15E+01;11.5227747;11.47426891;11.35350037;11.25098038
1.57E+01;293;2.00E-04;-4.86E-01;-1.68E+00;-3.10E+00;1.85E+00;1.16E+01;11.69802189;11.62518406;11.36954403;11.26379108
1.57E+01;293;2.00E-04;-5.30E-01;-1.67E+00;-3.48E+00;2.26E+00;1.17E+01;11.82919312;11.69551945;11.4179163;11.53079605
1.57E+01;293;2.00E-04;-5.53E-01;-1.67E+00;-3.79E+00;2.58E+00;1.18E+01;11.87225437;11.73451805;11.49120235;13.44543934
1.57E+01;293;2.00E-04;-5.49E-01;-1.55E+00;-4.02E+00;2.90E+00;1.20E+01;11.89650249;11.75601006;11.48350906;12.11762142
1.57E+01;293;2.00E-04;-5.14E-01;-1.34E+00;-4.07E+00;3.12E+00;1.21E+01;11.96101761;11.71582222;11.27190304;11.32403278
1.57E+01;293;2.00E-04;-4.51E-01;-1.19E+00;-3.89E+00;3.03E+00;1.22E+01;11.92376041;11.71992207;11.2227354;11.25017166
1.57E+01;293;2.00E-04;-3.68E-01;-9.28E-01;-3.44E+00;2.78E+00;1.23E+01;12.09900951;11.93692017;11.25444221;11.17177391
1.57E+01;293;2.00E-04;-2.75E-01;-7.23E-01;-2.78E+00;2.27E+00;1.24E+01;12.028512;12.00775433;10.96717358;10.89122295
1.57E+01;293;2.00E-04;-1.85E-01;-5.43E-01;-2.15E+00;1.75E+00;1.25E+01;12.26525593;12.2005024;10.73913765;10.7336092
1.57E+01;293;2.00E-04;-1.02E-01;-3.78E-01;-1.73E+00;1.43E+00;1.26E+01;12.43525887;12.38174915;10.53371239;10.47633553
1.57E+01;293;2.00E-04;-2.99E-02;-2.45E-01;-1.45E+00;1.22E+00;1.28E+01;12.45475006;12.4787426;10.51161957;10.30352211
1.57E+01;293;2.00E-04;3.39E-02;-1.30E-01;-1.25E+00;1.08E+00;1.29E+01;12.62798977;12.57273674;10.88166523;12.58369541
1.57E+01;293;2.00E-04;9.15E-02;-2.19E-02;-1.11E+00;9.87E-01;1.30E+01;12.69772816;12.70621586;12.57138062;12.77756786
1.57E+01;293;2.00E-04;1.46E-01;2.92E-02;-9.66E-01;8.41E-01;1.31E+01;12.82246017;12.8032093;13.13764;12.83264637
1.57E+01;293;2.00E-04;1.98E-01;1.72E-01;-8.37E-01;8.04E-01;1.32E+01;12.99800968;12.99301338;13.23396015;12.98498058
1.57E+01;293;2.00E-04;2.50E-01;2.68E-01;-7.21E-01;7.34E-01;1.33E+01;13.11925507;13.13574886;13.29654217;13.11072254
1.57E+01;293;2.00E-04;3.02E-01;3.63E-01;-5.95E-01;6.53E-01;1.34E+01;13.2162323;13.24722481;13.37956238;13.18584251
1.57E+01;293;2.00E-04;3.55E-01;4.61E-01;-4.98E-01;6.02E-01;1.36E+01;13.26446247;13.39946079;13.47695637;13.18886375
1.57E+01;293;2.00E-04;4.07E-01;5.63E-01;-3.87E-01;5.41E-01;1.37E+01;13.48721313;13.60422802;13.60577679;13.35006714
1.57E+01;293;2.00E-04;4.59E-01;6.66E-01;-2.85E-01;4.91E-01;1.38E+01;13.57146931;13.71651745;13.72672176;13.53147221
1.57E+01;293;2.00E-04;5.11E-01;7.73E-01;-1.94E-01;4.57E-01;1.39E+01;13.71101284;13.80651855;13.80373096;13.61383724
1.57E+01;298;2.00E-04;-2.08E-02;-1.39E-01;-1.96E-01;7.71E-02;1.01E+01;10.16975117;10.17950058;10.55240345;11.35086632
1.57E+01;298;2.00E-04;-2.67E-02;-1.79E-01;-2.54E-01;1.02E-01;1.02E+01;10.25802135;10.25776672;10.31794453;12.01620293
1.57E+01;298;2.00E-04;-3.41E-02;-2.27E-01;-3.29E-01;1.35E-01;1.03E+01;10.34027004;10.36451149;10.35972786;11.00762653
1.57E+01;298;2.00E-04;-4.37E-02;-2.89E-01;-4.23E-01;1.76E-01;1.05E+01;10.59972668;10.85471821;10.86791992;10.69631386
1.57E+01;298;2.00E-04;-5.57E-02;-3.65E-01;-5.40E-01;2.30E-01;1.06E+01;10.67647648;10.94472313;11.01066494;10.72595692
1.57E+01;298;2.00E-04;-7.08E-02;-4.57E-01;-6.85E-01;2.97E-01;1.07E+01;10.9864912;11.35049438;11.10297966;11.87805843
1.57E+01;298;2.00E-04;-8.95E-02;-6.09E-01;-8.63E-01;3.42E-01;1.08E+01;10.87827682;11.27277088;11.00314045;11.32053089
1.57E+01;298;2.00E-04;-1.12E-01;-7.34E-01;-1.08E+00;4.51E-01;1.09E+01;10.98178005;11.1665287;11.26161194;11.74803638
1.57E+01;298;2.00E-04;-1.39E-01;-8.68E-01;-1.33E+00;5.92E-01;1.10E+01;11.05802631;11.31300354;11.20788288;12.21373081
1.57E+01;298;2.00E-04;-1.71E-01;-9.72E-01;-1.62E+00;8.10E-01;1.11E+01;11.25447941;11.45876789;11.30937481;11.88150406
1.57E+01;298;2.00E-04;-2.05E-01;-1.11E+00;-1.97E+00;1.05E+00;1.13E+01;11.35599709;11.43277168;11.27388382;12.01184177
1.57E+01;298;2.00E-04;-2.42E-01;-1.27E+00;-2.34E+00;1.28E+00;1.14E+01;11.42701435;11.50517464;11.35625267;11.92074013
1.57E+01;298;2.00E-04;-2.76E-01;-1.36E+00;-2.73E+00;1.60E+00;1.15E+01;11.55627441;11.58927536;11.37022209;11.98580456
1.57E+01;298;2.00E-04;-3.04E-01;-1.40E+00;-3.13E+00;1.98E+00;1.16E+01;11.74377155;11.74877071;11.42772102;11.94139099
1.57E+01;298;2.00E-04;-3.18E-01;-1.38E+00;-3.51E+00;2.36E+00;1.17E+01;11.84068871;11.75626755;11.47620296;11.90336132
1.57E+01;298;2.00E-04;-3.13E-01;-1.30E+00;-3.81E+00;2.72E+00;1.18E+01;11.89125633;11.77501678;11.46379566;11.94141865
1.57E+01;298;2.00E-04;-2.82E-01;-1.11E+00;-4.03E+00;3.08E+00;1.20E+01;11.91475773;11.85042572;11.30000019;11.983284
1.57E+01;298;2.00E-04;-2.26E-01;-9.67E-01;-4.05E+00;3.18E+00;1.21E+01;11.9442625;11.91117477;11.28684139;11.96592712
1.57E+01;298;2.00E-04;-1.45E-01;-7.08E-01;-3.84E+00;3.15E+00;1.22E+01;12.05475807;12.15676022;11.21589088;12.16344261
1.57E+01;298;2.00E-04;-5.02E-02;-4.75E-01;-3.33E+00;2.81E+00;1.23E+01;12.15451145;12.40750599;11.23551178;10.70685959
1.57E+01;298;2.00E-04;5.02E-02;-3.12E-01;-2.63E+00;2.21E+00;1.24E+01;12.21876049;12.42526245;12.00294113;13.88533783
1.57E+01;298;2.00E-04;1.47E-01;-7.52E-02;-2.02E+00;1.76E+00;1.25E+01;12.32826328;12.47175694;12.59578228;13.12067127
1.57E+01;298;2.00E-04;2.37E-01;9.15E-02;-1.61E+00;1.44E+00;1.26E+01;12.48175335;12.53375149;13.14255619;13.3145647
1.57E+01;298;2.00E-04;3.17E-01;2.30E-01;-1.33E+00;1.23E+00;1.28E+01;12.51874733;12.59399605;13.34421539;13.33154297
1.57E+01;298;2.00E-04;3.91E-01;3.64E-01;-1.14E+00;1.10E+00;1.29E+01;12.65698338;12.7422266;13.41372108;13.50390339
1.57E+01;298;2.00E-04;4.62E-01;4.86E-01;-9.93E-01;1.01E+00;1.30E+01;12.72972965;12.80146885;13.56344509;13.69561863
1.57E+01;298;2.00E-04;5.30E-01;6.00E-01;-8.38E-01;9.01E-01;1.31E+01;12.87796879;12.9439888;13.65648651;13.79729557
1.57E+01;298;2.00E-04;5.99E-01;7.18E-01;-7.20E-01;8.33E-01;1.32E+01;13.06398678;13.10548973;13.86304379;13.99050045
1.57E+01;298;2.00E-04;6.69E-01;8.37E-01;-5.88E-01;7.52E-01;1.33E+01;13.18124485;13.22349072;13.70630741;13.950037
1.57E+01;298;2.00E-04;7.40E-01;9.53E-01;-4.67E-01;6.79E-01;1.34E+01;13.28922939;13.31622028;13.73165035;13.94445324
1.57E+01;298;2.00E-04;8.12E-01;1.07E+00;-3.61E-01;6.24E-01;1.36E+01;13.39770985;13.41445923;13.762784;13.92118931
1.57E+01;298;2.00E-04;8.84E-01;1.25E+00;-2.49E-01;6.17E-01;1.37E+01;13.48470974;13.56595707;13.82743454;13.87075424
1.57E+01;298;2.00E-04;9.57E-01;1.33E+00;-1.52E-01;5.25E-01;1.38E+01;13.61548233;13.74276161;13.8228054;13.87193394
1.57E+01;298;2.00E-04;1.03E+00;1.46E+00;-5.12E-02;4.91E-01;1.39E+01;13.70225048;13.82151604;13.88350582;13.84681606
1.57E+01;303;2.00E-04;-1.08E-02;-1.23E-01;-2.00E-01;8.69E-02;1.01E+01;10.17400551;10.17550278;10.17392159;10.48655701
1.57E+01;303;2.00E-04;-1.44E-02;-1.58E-01;-2.58E-01;1.14E-01;1.02E+01;10.25926781;10.26977348;10.38146305;10.49010277
1.57E+01;303;2.00E-04;-1.88E-02;-2.03E-01;-3.33E-01;1.48E-01;1.03E+01;10.34701824;10.3695116;10.54031181;10.49420929
1.57E+01;303;2.00E-04;-2.45E-02;-2.58E-01;-4.27E-01;1.93E-01;1.05E+01;10.59622478;10.66047096;10.96078014;10.80711269
1.57E+01;303;2.00E-04;-3.16E-02;-3.26E-01;-5.45E-01;2.49E-01;1.06E+01;10.71997452;10.87972927;11.32308483;10.69674873
1.57E+01;303;2.00E-04;-4.04E-02;-4.48E-01;-6.90E-01;2.80E-01;1.07E+01;10.77774429;10.85626411;11.63090611;10.63759041
1.57E+01;303;2.00E-04;-5.11E-02;-5.45E-01;-8.67E-01;3.70E-01;1.08E+01;10.86027431;11.19651985;11.43830872;10.69791126
1.57E+01;303;2.00E-04;-6.39E-02;-6.51E-01;-1.08E+00;4.89E-01;1.09E+01;11.02152824;11.23052502;11.31502342;10.82692909
1.57E+01;303;2.00E-04;-7.86E-02;-7.28E-01;-1.33E+00;6.76E-01;1.10E+01;11.26826572;11.46850014;11.28935528;10.96855736
1.57E+01;303;2.00E-04;-9.48E-02;-8.40E-01;-1.63E+00;8.76E-01;1.11E+01;11.4622345;11.4853878;11.30816078;11.07735443
