name time T kT_1 I
00 8:03:34 293.3 39.53 6.557E-004
00 8:23:06 294.9 39.32 6.864E-004
00 8:41:46 297.1 39.02 7.257E-004
00 8:47:58 297.6 38.96 7.576E-004
00 8:52:00 297.8 38.93 7.537E-004
00 9:13:54 300.4 38.6 8.124E-004
00 9:28:12 301.1 38.51 8.322E-004
00 9:48:40 304.1 38.13 8.626E-004
00 10:07:44 307.2 37.74 9.118E-004
001 10:25:38 308.8 37.55 9.592E-004
001 11:35:04 314.2 36.9 1.012E-003
001 13:22:02 320.9 36.13 1.141E-003
001 14:11:26 329.6 35.18 1.353E-003
001 15:24:02 335.9 34.52 1.552E-003
001 16:00:14 338.1 34.29 1.648E-003
