fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0124OSW60S05 1455846297 0 555 1.131072606E+19 6.573175474E-06 5.150000000E-04 6.460405006E-01 5.266007996E+02 1.367767353E-03 
L0124OSW60S10 1455846297 0 555 1.302948306E+19 1.623469822E-05 5.150000000E-04 6.485301502E-01 5.732611095E+02 1.941880607E-03 
L0124OSW60S15 1455846297 0 555 1.356693172E+19 2.649383207E-05 5.150000000E-04 6.495166195E-01 5.928731678E+02 1.836730360E-03 
L0125OSW60S03 1455846297 0 555 9.146349200E+18 3.505206952E-06 5.150000000E-04 6.444525029E-01 4.988428394E+02 1.166211407E-03 
L0125OSW60S20 1455846297 0 555 1.392042581E+19 5.541648686E-05 5.150000000E-04 6.492530048E-01 5.875674657E+02 1.879394456E-03 
L0125OSW60S25 1455846297 0 555 1.408403055E+19 1.578731909E-04 5.150000000E-04 6.497172523E-01 5.969433347E+02 1.976602817E-03 
L0125OSW60S30 1455846297 0 555 1.422916075E+19 1.257844701E-04 5.150000000E-04 6.498839105E-01 6.003455076E+02 1.991785044E-03 
L0126OSW60S40 1455846297 0 555 1.433729443E+19 9.999999903E+01 5.150000000E-04 6.496380400E-01 5.953330543E+02 2.204683085E-03 
L0126OSW60S50 1455846297 0 555 1.452342604E+19 9.999999948E+01 5.150000000E-04 6.500562383E-01 6.038838134E+02 2.138724754E-03 
L0127OSW60S30 1455846297 0 555 1.415058273E+19 4.021612357E-04 5.150000000E-04 6.500346853E-01 6.034401398E+02 2.017717553E-03 
