N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 3.485558100E-02 3.532608500E-02 3.537605400E-02 3.500258100E-02
1.016672606E+01 3.551566000E-02 3.607006100E-02 3.619397500E-02 3.588299500E-02
1.033324570E+01 3.601979100E-02 3.662202500E-02 3.679103200E-02 3.652015800E-02
1.049996187E+01 3.640935400E-02 3.703124400E-02 3.722270500E-02 3.697387800E-02
1.066670514E+01 3.670693100E-02 3.732883400E-02 3.752651600E-02 3.728621800E-02
1.083333839E+01 3.692609500E-02 3.753512200E-02 3.772734800E-02 3.748496400E-02
1.100000000E+01 3.707650100E-02 3.766377000E-02 3.784102600E-02 3.758643500E-02
1.116672606E+01 3.716546800E-02 3.772294800E-02 3.787519800E-02 3.759678100E-02
1.133324570E+01 3.719712000E-02 3.771527500E-02 3.783054300E-02 3.751457000E-02
1.149996187E+01 3.717195500E-02 3.763885500E-02 3.770384600E-02 3.733748300E-02
1.166670514E+01 3.708735000E-02 3.749068200E-02 3.749568400E-02 3.707411700E-02
1.183333839E+01 3.694120000E-02 3.727466200E-02 3.722183700E-02 3.675627400E-02
1.200000000E+01 3.673929300E-02 3.701173100E-02 3.692167300E-02 3.643956400E-02
1.216672606E+01 3.650433200E-02 3.674483300E-02 3.665232900E-02 3.618516200E-02
1.233324570E+01 3.627913700E-02 3.652924700E-02 3.646710300E-02 3.603416000E-02
1.249996187E+01 3.611589900E-02 3.641051800E-02 3.639377600E-02 3.599583800E-02
1.266670514E+01 3.605514400E-02 3.640651600E-02 3.642999900E-02 3.605625600E-02
1.283333839E+01 3.610932500E-02 3.650712700E-02 3.655574800E-02 3.619444800E-02
1.300000000E+01 3.626356000E-02 3.668798400E-02 3.674815700E-02 3.639233000E-02
