d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.363677179E+00 1.293406342E+00 7.027083700E-02 1.362535807E+00 1.293117629E+00 6.941817800E-02 1.141372000E-03 2.887130000E-04
150 295 1.361293792E+00 1.291856379E+00 6.943741300E-02 1.360184481E+00 1.291585509E+00 6.859897200E-02 1.109311000E-03 2.708700000E-04
150 300 1.359356656E+00 1.291229887E+00 6.812676900E-02 1.358296028E+00 1.290978733E+00 6.731729500E-02 1.060628000E-03 2.511540000E-04
150 305 1.358105393E+00 1.291107234E+00 6.699815900E-02 1.357107877E+00 1.290881327E+00 6.622655000E-02 9.975160000E-04 2.259070000E-04
150 310 1.357692148E+00 1.292448660E+00 6.524348800E-02 1.356767480E+00 1.292241619E+00 6.452586100E-02 9.246680000E-04 2.070410000E-04
150 315 1.358117453E+00 1.294646100E+00 6.347135300E-02 1.357271129E+00 1.294454091E+00 6.281703800E-02 8.463240000E-04 1.920090000E-04
150 320 1.359437183E+00 1.297124719E+00 6.231246400E-02 1.358670190E+00 1.296947750E+00 6.172244000E-02 7.669930000E-04 1.769690000E-04
150 325 1.361442461E+00 1.300467822E+00 6.097463900E-02 1.360751686E+00 1.300297408E+00 6.045427800E-02 6.907750000E-04 1.704140000E-04
150 330 1.364120796E+00 1.304039258E+00 6.008153800E-02 1.363499252E+00 1.303864611E+00 5.963464100E-02 6.215440000E-04 1.746470000E-04
150 335 1.367628321E+00 1.307516742E+00 6.011157900E-02 1.367066800E+00 1.307357040E+00 5.970976000E-02 5.615210000E-04 1.597020000E-04
150 340 1.371553796E+00 1.311362641E+00 6.019115500E-02 1.371039706E+00 1.311225121E+00 5.981458500E-02 5.140900000E-04 1.375200000E-04
180 290 1.363328721E+00 1.293083878E+00 7.024484300E-02 1.362191837E+00 1.292794677E+00 6.939716000E-02 1.136884000E-03 2.892010000E-04
180 295 1.360814255E+00 1.291433087E+00 6.938116800E-02 1.359710406E+00 1.291161986E+00 6.854842000E-02 1.103849000E-03 2.711010000E-04
180 300 1.358978028E+00 1.290894173E+00 6.808385500E-02 1.357919350E+00 1.290644658E+00 6.727469200E-02 1.058678000E-03 2.495150000E-04
180 305 1.358031027E+00 1.291148693E+00 6.688233400E-02 1.357040633E+00 1.290923605E+00 6.611702800E-02 9.903940000E-04 2.250880000E-04
180 310 1.357654174E+00 1.292519185E+00 6.513498900E-02 1.356735674E+00 1.292312948E+00 6.442272600E-02 9.185000000E-04 2.062370000E-04
180 315 1.358131114E+00 1.294740530E+00 6.339058400E-02 1.357290612E+00 1.294549902E+00 6.274071000E-02 8.405020000E-04 1.906280000E-04
