N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 295 2.400E-4 1.242779460E+00 1.261042953E+00
1.468000E+10 1.000E+17 295 2.400E-4 1.253150175E+00 1.262190259E+00
2.154000E+10 1.000E+17 295 2.400E-4 1.258460565E+00 1.263635338E+00
3.162000E+10 1.000E+17 295 2.400E-4 1.262129186E+00 1.265511841E+00
4.642000E+10 1.000E+17 295 2.400E-4 1.266297918E+00 1.267840539E+00
6.813000E+10 1.000E+17 295 2.400E-4 1.269867962E+00 1.270572062E+00
1.000000E+11 1.000E+17 295 2.400E-4 1.271670077E+00 1.273857590E+00
1.468000E+11 1.000E+17 295 2.400E-4 1.276407672E+00 1.277135537E+00
2.154000E+11 1.000E+17 295 2.400E-4 1.279882539E+00 1.280602742E+00
3.162000E+11 1.000E+17 295 2.400E-4 1.283564777E+00 1.284307221E+00
4.642000E+11 1.000E+17 295 2.400E-4 1.287454052E+00 1.288197049E+00
6.813000E+11 1.000E+17 295 2.400E-4 1.291558961E+00 1.292305794E+00
1.000000E+12 1.000E+17 295 2.400E-4 1.296062448E+00 1.296725785E+00
1.468000E+12 1.000E+17 295 2.400E-4 1.300896673E+00 1.301405691E+00
2.154000E+12 1.000E+17 295 2.400E-4 1.298950603E+00 1.299295464E+00
3.162000E+12 1.000E+17 295 2.400E-4 1.305182281E+00 1.305509246E+00
4.642000E+12 1.000E+17 295 2.400E-4 1.318818767E+00 1.319200466E+00
6.813000E+12 1.000E+17 295 2.400E-4 1.325892361E+00 1.326207905E+00
1.000000E+13 1.000E+17 295 2.400E-4 1.333286905E+00 1.333557286E+00
