T d154 d184 d214 d244
d 150 180 210 240
290 1.222517537E+00 1.220913573E+00 1.220267053E+00 1.219893178E+00
295 1.221049376E+00 1.220045061E+00 1.219591017E+00 1.219273608E+00
300 1.218533082E+00 1.217760860E+00 1.217617395E+00 1.217268917E+00
305 1.212264757E+00 1.211907365E+00 1.212074422E+00 1.211984371E+00
310 1.198113009E+00 1.198591012E+00 1.199441742E+00 1.199810964E+00
315 1.167794345E+00 1.171279809E+00 1.173353489E+00 1.174765100E+00
320 1.113787733E+00 1.120190617E+00 1.124819286E+00 1.127268276E+00
325 1.024584049E+00 1.035212682E+00 1.043534371E+00 1.048691300E+00
330 1.015194864E+00 1.014013961E+00 1.013258098E+00 1.012784239E+00
335 1.016728852E+00 1.015225624E+00 1.014236623E+00 1.013613880E+00
340 1.020229418E+00 1.018148308E+00 1.016732906E+00 1.015824940E+00
