T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 4.435640000E-04 6.225440000E-04 8.381500000E-04 1.060476000E-03 1.222436000E-03 1.381274000E-03 1.613128000E-03 1.937038000E-03 2.423227000E-03
295 3.988770000E-04 5.610950000E-04 7.807430000E-04 9.780190000E-04 1.186254000E-03 1.367678000E-03 1.619502000E-03 1.963778000E-03 2.459754000E-03
300 3.620580000E-04 5.243950000E-04 7.263960000E-04 9.504830000E-04 1.180425000E-03 1.398079000E-03 1.644890000E-03 2.030011000E-03 2.625010000E-03
305 3.276130000E-04 5.022450000E-04 7.104570000E-04 9.500180000E-04 1.198555000E-03 1.444859000E-03 1.792478000E-03 2.250794000E-03 3.032942000E-03
310 2.914410000E-04 4.932390000E-04 7.170430000E-04 9.809050000E-04 1.347141000E-03 1.589165000E-03 2.020581000E-03 2.581926000E-03 3.538093000E-03
315 2.236580000E-04 4.860600000E-04 7.381560000E-04 1.031280000E-03 1.514072000E-03 1.798697000E-03 2.300682000E-03 3.049230000E-03 4.187109000E-03
320 6.956700000E-05 4.703190000E-04 7.857730000E-04 1.131686000E-03 1.672392000E-03 2.049082000E-03 2.711879000E-03 3.704488000E-03 4.949897000E-03
325 1.036570000E-04 4.170670000E-04 8.365500000E-04 1.264279000E-03 1.765297000E-03 2.398627000E-03 3.217649000E-03 4.335139000E-03 5.728548000E-03
330 2.936610000E-04 1.803600000E-04 8.515910000E-04 1.406843000E-03 2.040678000E-03 2.821323000E-03 3.778870000E-03 5.049717000E-03 6.797629000E-03
335 3.521330000E-04 -2.751120000E-04 7.564030000E-04 1.554764000E-03 2.333869000E-03 3.274049000E-03 4.473109000E-03 5.999626000E-03 7.957706000E-03
340 4.773960000E-04 3.238650000E-04 3.996930000E-04 1.669010000E-03 2.659849000E-03 3.812741000E-03 5.249658000E-03 7.049487000E-03 9.324334000E-03
