name time T kT_1 I
00 14:27:46 285.9 40.55 5.550E+002
00 14:41:52 288 40.26 5.550E+002
00 14:49:16 289.9 39.99 5.550E+002
00 14:57:44 294.1 39.42 5.550E+002
001 15:05:22 299.1 38.76 5.550E+002
001 15:13:48 304.4 38.09 5.550E+002
001 15:20:58 309.3 37.49 5.550E+002
001 15:28:14 314.3 36.89 5.550E+002
001 15:36:14 319.4 36.3 5.550E+002
002 15:44:04 323.7 35.82 5.550E+002
002 15:52:18 330.5 35.08 5.550E+002
002 16:01:08 335.3 34.58 5.550E+002
002 16:08:16 341.3 33.97 5.550E+002
002 16:15:46 345.3 33.58 5.550E+002
003 16:23:38 348.8 33.24 5.550E+002
