name time T kT_1 I
00 14:27:46 285.9 40.55 7.459E-007
00 14:41:52 288 40.26 7.356E-007
00 14:49:16 289.9 39.99 7.906E-007
00 14:57:44 294.1 39.42 9.189E-007
001 15:05:22 299.1 38.76 1.134E-006
001 15:13:48 304.4 38.09 1.348E-006
001 15:20:58 309.3 37.49 1.727E-006
001 15:28:14 314.3 36.89 2.038E-006
001 15:36:14 319.4 36.3 2.514E-006
002 15:44:04 323.7 35.82 2.978E-006
002 15:52:18 330.5 35.08 3.892E-006
002 16:01:08 335.3 34.58 4.634E-006
002 16:08:16 341.3 33.97 5.862E-006
002 16:15:46 345.3 33.58 6.660E-006
003 16:23:38 348.8 33.24 7.296E-006
