name time T kT_1 I
00 14:27:46 285.9 40.55 6.773E-008
00 14:41:52 288 40.26 6.728E-008
00 14:49:16 289.9 39.99 6.839E-008
00 14:57:44 294.1 39.42 7.280E-008
001 15:05:22 299.1 38.76 7.926E-008
001 15:13:48 304.4 38.09 8.629E-008
001 15:20:58 309.3 37.49 9.912E-008
001 15:28:14 314.3 36.89 1.104E-007
001 15:36:14 319.4 36.3 1.232E-007
002 15:44:04 323.7 35.82 1.397E-007
002 15:52:18 330.5 35.08 1.696E-007
002 16:01:08 335.3 34.58 1.971E-007
002 16:08:16 341.3 33.97 2.306E-007
002 16:15:46 345.3 33.58 2.544E-007
003 16:23:38 348.8 33.24 2.706E-007
