X Y Yfit
1.0000000E-2 6.7737507E-12 6.8569294E-12
2.0000000E-2 1.6097212E-11 1.6252229E-11
3.0000000E-2 2.8951972E-11 2.9144380E-11
4.0000000E-2 4.6693117E-11 4.6859859E-11
5.0000000E-2 7.1193788E-11 7.1236352E-11
6.0000000E-2 1.0504655E-10 1.0482229E-10
7.0000000E-2 1.5184019E-10 1.5115509E-10
8.0000000E-2 2.1654543E-10 2.1514929E-10
9.0000000E-2 3.0605337E-10 3.0363840E-10
1.0000000E-1 4.2992219E-10 4.2613175E-10
1.1000000E-1 6.0143737E-10 5.9587199E-10
1.2000000E-1 8.3906536E-10 8.3131376E-10
1.3000000E-1 1.1685216E-9 1.1581917E-9
1.4000000E-1 1.6256527E-9 1.6124143E-9
1.5000000E-1 2.2604858E-9 2.2441144E-9
1.6000000E-1 3.1429093E-9 3.1233217E-9
1.7000000E-1 4.3705881E-9 4.3479078E-9
1.8000000E-1 6.0803593E-9 6.0547189E-9
1.9000000E-1 8.4635667E-9 8.4351793E-9
2.0000000E-1 1.1788594E-8 1.1757166E-8
2.1000000E-1 1.6429418E-8 1.6395684E-8
2.2000000E-1 2.2800686E-8 2.2875889E-8
2.3000000E-1 3.1585305E-8 3.1933446E-8
2.4000000E-1 4.3331855E-8 4.4599221E-8
2.5000000E-1 6.1139699E-8 6.2318133E-8
2.6000000E-1 8.6194002E-8 8.7115984E-8
2.7000000E-1 1.2074757E-7 1.2183366E-7
2.8000000E-1 1.6907604E-7 1.7045597E-7
2.9000000E-1 2.3686282E-7 2.3857335E-7
3.0000000E-1 3.3197158E-7 3.3403039E-7
3.1000000E-1 4.6545017E-7 4.6783661E-7
3.2000000E-1 6.5282127E-7 6.5544585E-7
3.3000000E-1 9.1589629E-7 9.1855357E-7
3.4000000E-1 1.2853248E-6 1.2876220E-6
3.5000000E-1 1.8041777E-6 1.8054280E-6
3.6000000E-1 2.5329829E-6 2.5320485E-6
3.7000000E-1 3.5565467E-6 3.5518661E-6
3.8000000E-1 4.9951824E-6 4.9834144E-6
3.9000000E-1 7.0161130E-6 6.9932148E-6
4.0000000E-1 9.8556795E-6 9.8152239E-6
4.1000000E-1 1.3892502E-5 1.3778168E-5
4.2000000E-1 1.9517978E-5 1.9343967E-5
4.3000000E-1 2.7422538E-5 2.7161741E-5
4.4000000E-1 3.8526158E-5 3.8143734E-5
4.5000000E-1 5.4133781E-5 5.3572049E-5
