X Y Yfit
1.0000000E-2 6.7737507E-12 4.6325226E-12
2.0000000E-2 1.6097212E-11 1.1147525E-11
3.0000000E-2 2.8951972E-11 2.0309974E-11
4.0000000E-2 4.6693117E-11 3.3195690E-11
5.0000000E-2 7.1193788E-11 5.1317668E-11
6.0000000E-2 1.0504655E-10 7.6803722E-11
7.0000000E-2 1.5184019E-10 1.1264633E-10
8.0000000E-2 2.1654543E-10 1.6305400E-10
9.0000000E-2 3.0605337E-10 2.3394541E-10
1.0000000E-1 4.2992219E-10 3.3364437E-10
1.1000000E-1 6.0143737E-10 4.7385717E-10
1.2000000E-1 8.3906536E-10 6.7104707E-10
1.3000000E-1 1.1685216E-9 9.4836737E-10
1.4000000E-1 1.6256527E-9 1.3383800E-9
1.5000000E-1 2.2604858E-9 1.8868788E-9
1.6000000E-1 3.1429093E-9 2.6582665E-9
1.7000000E-1 4.3705881E-9 3.7431165E-9
1.8000000E-1 6.0803593E-9 5.2688080E-9
1.9000000E-1 8.4635667E-9 7.4144820E-9
2.0000000E-1 1.1788594E-8 1.0432075E-8
2.1000000E-1 1.6429418E-8 1.4675903E-8
2.2000000E-1 2.2800686E-8 2.0644260E-8
2.3000000E-1 3.1585305E-8 2.9037927E-8
2.4000000E-1 4.3331855E-8 4.0842460E-8
2.5000000E-1 6.1139699E-8 5.7443901E-8
2.6000000E-1 8.6194002E-8 8.0791531E-8
2.7000000E-1 1.2074757E-7 1.1362674E-7
2.8000000E-1 1.6907604E-7 1.5980492E-7
2.9000000E-1 2.3686282E-7 2.2474814E-7
3.0000000E-1 3.3197158E-7 3.1608180E-7
3.1000000E-1 4.6545017E-7 4.4452995E-7
3.2000000E-1 6.5282127E-7 6.2517450E-7
3.3000000E-1 9.1589629E-7 8.7922606E-7
3.4000000E-1 1.2853248E-6 1.2365144E-6
3.5000000E-1 1.8041777E-6 1.7389911E-6
3.6000000E-1 2.5329829E-6 2.4456550E-6
3.7000000E-1 3.5565467E-6 3.4394800E-6
3.8000000E-1 4.9951824E-6 4.8371573E-6
3.9000000E-1 7.0161130E-6 6.8027970E-6
4.0000000E-1 9.8556795E-6 9.5671974E-6
4.1000000E-1 1.3892502E-5 1.3454944E-5
4.2000000E-1 1.9517978E-5 1.8922522E-5
4.3000000E-1 2.7422538E-5 2.6611913E-5
4.4000000E-1 3.8526158E-5 3.7425978E-5
4.5000000E-1 5.4133781E-5 5.2634464E-5
