fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00L1 7:36 299.2 38.75 4.64E+00 5.18E-11 3.81E-06 1 2.71 6.80E+02 1.756E-004 0.1095 1.743E-004 4.890E-006 0.2561 
00L2 8:0 302.8 38.29 4.77E+00 9.67E-11 4.97E-06 1 2.731 7.06E+02 1.720E-004 0.1089 1.708E-004 4.795E-006 0.2579 
00L3 8:20 305.7 37.93 4.58E+00 1.44E-10 3.85E-06 1 2.527 6.74E+02 1.764E-004 0.1083 1.752E-004 4.871E-006 0.2567 
00L4 8:38 308.3 37.61 4.70E+00 2.56E-10 8.38E-06 1 2.837 7.76E+02 1.704E-004 0.1105 1.693E-004 4.935E-006 0.2638 
00L5 8:57 310.9 37.29 4.53E+00 3.71E-10 6.75E-06 1 2.643 7.35E+02 1.777E-004 0.1116 1.766E-004 5.188E-006 0.2633 
00L6 9:17 313.8 36.95 4.58E+00 6.16E-10 1.17E-05 1 2.86 8.17E+02 1.757E-004 0.1124 1.746E-004 5.278E-006 0.2691 
00L7 9:35 316.8 36.6 4.85E+00 9.17E-10 1.07E-05 1 2.713 7.84E+02 1.767E-004 0.1099 1.755E-004 5.167E-006 0.268 
00L8 10:3 319.3 36.31 6.01E+00 1.47E-09 1.52E-05 1 2.857 8.34E+02 1.791E-004 0.1104 1.776E-004 5.335E-006 0.272 
00L9 10:22 322.6 35.94 7.25E+00 2.33E-09 1.76E-05 1 2.836 8.70E+02 1.738E-004 0.1071 1.721E-004 5.031E-006 0.273 
0L10 10:41 325.5 35.62 5.99E+00 3.31E-09 1.60E-05 1 2.678 8.29E+02 1.797E-004 0.107 1.782E-004 5.213E-006 0.2733 
0L11 11:12 328.5 35.29 7.59E+00 5.30E-09 1.84E-05 1 2.679 8.42E+02 1.803E-004 0.1051 1.784E-004 5.140E-006 0.2741 
0L12 11:32 331.5 34.97 6.52E+00 7.35E-09 1.60E-05 1 2.503 7.71E+02 1.810E-004 0.1011 1.792E-004 4.954E-006 0.2735 
0L13 11:49 333.4 34.78 6.57E+00 1.06E-08 2.44E-05 1 2.716 8.66E+02 1.796E-004 0.1001 1.779E-004 4.949E-006 0.2779 
