fname time Tem kT_1 Io Et Ud Iph dev 
01RV 01rv.dat 340 34.1 1.385E-002 1.864E-003 1.526E+000 0.000E+000 9.672E-003 
02RV 02rv.dat 340 34.1 1.037E-002 1.818E-003 1.483E+000 0.000E+000 9.217E-003 
03RV 03rv.dat 340 34.1 8.299E-003 1.771E-003 1.356E+000 0.000E+000 8.686E-003 
04RV 04rv.dat 340 34.1 2.183E-002 1.973E-003 1.791E+000 0.000E+000 1.041E-002 
05RV 05rv.dat 340 34.1 1.335E-002 1.865E-003 1.539E+000 0.000E+000 1.239E-002 
06RV 06rv.dat 340 34.1 8.472E-003 1.770E-003 1.333E+000 0.000E+000 1.300E-002 
07RV 07rv.dat 340 34.1 1.050E-002 1.811E-003 1.389E+000 0.000E+000 1.225E-002 
08RV 08rv.dat 340 34.1 1.715E-002 1.902E-003 1.543E+000 0.000E+000 1.417E-002 
09RV 09rv.dat 340 34.1 1.561E-002 1.890E-003 1.545E+000 0.000E+000 1.395E-002 
10RV 10rv.dat 340 34.1 1.216E-002 1.845E-003 1.481E+000 0.000E+000 1.196E-002 
11RV 11rv.dat 340 34.1 8.247E-003 1.759E-003 1.309E+000 0.000E+000 1.204E-002 
12RV 12rv.dat 340 34.1 1.816E-002 1.920E-003 1.669E+000 0.000E+000 1.086E-002 
13RV 13rv.dat 340 34.1 2.322E-002 1.966E-003 1.727E+000 0.000E+000 1.148E-002 
14RV 14rv.dat 340 34.1 1.947E-002 1.934E-003 1.692E+000 0.000E+000 1.179E-002 
15RV 15rv.dat 340 34.1 4.752E-002 2.091E-003 1.960E+000 0.000E+000 2.293E-002 
16RV 16rv.dat 340 34.1 2.695E-002 1.979E-003 1.746E+000 0.000E+000 1.666E-002 
17RV 17rv.dat 340 34.1 1.710E-002 1.905E-003 1.621E+000 0.000E+000 1.055E-002 
18RV 18rv.dat 340 34.1 2.133E-002 1.943E-003 1.653E+000 0.000E+000 1.341E-002 
19RV 19rv.dat 340 34.1 2.114E-002 1.947E-003 1.682E+000 0.000E+000 1.506E-002 
20RV 20rv.dat 340 34.1 1.785E-002 1.913E-003 1.607E+000 0.000E+000 1.203E-002 
21RV 21rv.dat 340 34.1 1.461E-002 1.872E-003 1.523E+000 0.000E+000 1.218E-002 
22RV 22rv.dat 340 34.1 1.083E-002 1.811E-003 1.429E+000 0.000E+000 1.076E-002 
23RV 23rv.dat 340 34.1 1.292E-002 1.828E-003 1.434E+000 0.000E+000 1.227E-002 
24RV 24rv.dat 340 34.1 1.000E-002 1.802E-003 1.416E+000 0.000E+000 1.019E-002 
25RV 25rv.dat 340 34.1 1.490E-002 1.881E-003 1.546E+000 0.000E+000 1.081E-002 
26RV 26rv.dat 340 34.1 6.874E-003 1.725E-003 1.222E+000 0.000E+000 1.587E-002 
27RV 27rv.dat 340 34.1 2.199E-002 1.955E-003 1.676E+000 0.000E+000 1.264E-002 
28RV 28rv.dat 340 34.1 2.109E-002 1.950E-003 1.676E+000 0.000E+000 9.671E-003 
29RV 29rv.dat 340 34.1 1.762E-002 1.915E-003 1.596E+000 0.000E+000 8.154E-003 
30RV 30rv.dat 340 34.1 1.240E-002 1.849E-003 1.484E+000 0.000E+000 1.059E-002 
31RV 31rv.dat 340 34.1 2.196E-002 1.961E-003 1.701E+000 0.000E+000 9.625E-003 
32RV 32rv.dat 340 34.1 2.275E-002 1.957E-003 1.658E+000 0.000E+000 1.094E-002 
33RV 33rv.dat 340 34.1 1.147E-002 1.820E-003 1.395E+000 0.000E+000 1.266E-002 
34RV 34rv.dat 340 34.1 1.923E-002 1.912E-003 1.572E+000 0.000E+000 1.282E-002 
35RV 35rv.dat 340 34.1 1.872E-002 1.908E-003 1.585E+000 0.000E+000 1.437E-002 
36RV 36rv.dat 340 34.1 1.478E-002 1.864E-003 1.552E+000 0.000E+000 1.303E-002 
37RV 37rv.dat 340 34.1 1.109E-002 1.804E-003 1.376E+000 0.000E+000 1.174E-002 
38RV 38rv.dat 340 34.1 1.145E-002 1.828E-003 1.460E+000 0.000E+000 1.316E-002 
39RV 39rv.dat 340 34.1 7.564E-003 1.745E-003 1.258E+000 0.000E+000 9.959E-003 
40RV 40rv.dat 340 34.1 1.787E-002 1.917E-003 1.589E+000 0.000E+000 1.029E-002 
41RV 41rv.dat 340 34.1 1.046E-002 1.806E-003 1.346E+000 0.000E+000 8.979E-003 
42RV 42rv.dat 340 34.1 1.862E-002 1.924E-003 1.592E+000 0.000E+000 1.103E-002 
43RV 43rv.dat 340 34.1 1.158E-002 1.826E-003 1.381E+000 0.000E+000 1.095E-002 
44RV 44rv.dat 339.8 34.12 1.670E-002 1.899E-003 1.554E+000 0.000E+000 1.173E-002 
45RV 45rv.dat 340 34.1 1.884E-002 1.925E-003 1.590E+000 0.000E+000 9.415E-003 
46RV 46rv.dat 340.2 34.08 2.129E-002 1.945E-003 1.606E+000 0.000E+000 2.202E-002 
47RV 47rv.dat 340 34.1 1.529E-002 1.886E-003 1.515E+000 0.000E+000 8.164E-003 
48RV 48rv.dat 340 34.1 9.756E-003 1.800E-003 1.380E+000 0.000E+000 7.940E-003 
49RV 49rv.dat 340 34.1 1.690E-002 1.904E-003 1.566E+000 0.000E+000 8.514E-003 
50RV 50rv.dat 340.1 34.09 1.266E-002 1.859E-003 1.533E+000 0.000E+000 1.146E-002 
