name time T kT_1 I
01RV 01rv.dat 340 34.1 7.066E-006
02RV 02rv.dat 340 34.1 7.267E-006
03RV 03rv.dat 340 34.1 7.423E-006
04RV 04rv.dat 340 34.1 7.784E-006
05RV 05rv.dat 340 34.1 7.838E-006
06RV 06rv.dat 340 34.1 8.034E-006
07RV 07rv.dat 340 34.1 8.344E-006
08RV 08rv.dat 340 34.1 8.262E-006
09RV 09rv.dat 340 34.1 8.292E-006
10RV 10rv.dat 340 34.1 8.080E-006
11RV 11rv.dat 340 34.1 8.115E-006
12RV 12rv.dat 340 34.1 8.346E-006
13RV 13rv.dat 340 34.1 8.893E-006
14RV 14rv.dat 340 34.1 9.922E-006
15RV 15rv.dat 340 34.1 1.051E-005
16RV 16rv.dat 340 34.1 1.142E-005
17RV 17rv.dat 340 34.1 1.127E-005
18RV 18rv.dat 340.1 34.09 1.130E-005
19RV 19rv.dat 340 34.1 1.120E-005
20RV 20rv.dat 340 34.1 9.922E-006
21RV 21rv.dat 340 34.1 9.754E-006
22RV 22rv.dat 340 34.1 9.611E-006
23RV 23rv.dat 340 34.1 1.042E-005
24RV 24rv.dat 340 34.1 9.691E-006
25RV 25rv.dat 340.1 34.09 1.009E-005
26RV 26rv.dat 340 34.1 1.107E-005
27RV 27rv.dat 340 34.1 1.062E-005
28RV 28rv.dat 340 34.1 1.013E-005
29RV 29rv.dat 340 34.1 1.007E-005
30RV 30rv.dat 340 34.1 1.094E-005
31RV 31rv.dat 340 34.1 1.053E-005
32RV 32rv.dat 340 34.1 1.032E-005
33RV 33rv.dat 340.1 34.09 1.046E-005
34RV 34rv.dat 339.9 34.11 1.068E-005
35RV 35rv.dat 340.1 34.09 1.008E-005
36RV 36rv.dat 340.1 34.09 9.901E-006
37RV 37rv.dat 339.8 34.12 8.806E-006
38RV 38rv.dat 340.1 34.09 8.634E-006
39RV 39rv.dat 339.9 34.11 8.477E-006
40RV 40rv.dat 340.1 34.09 8.242E-006
41RV 41rv.dat 340.1 34.09 7.999E-006
42RV 42rv.dat 340 34.1 8.096E-006
43RV 43rv.dat 340 34.1 7.997E-006
44RV 44rv.dat 340 34.1 8.052E-006
45RV 45rv.dat 340 34.1 7.809E-006
46RV 46rv.dat 340 34.1 7.870E-006
47RV 47rv.dat 340 34.1 7.893E-006
48RV 48rv.dat 340.1 34.09 7.896E-006
49RV 49rv.dat 340.1 34.09 7.786E-006
50RV 50rv.dat 340.1 34.09 7.687E-006
51RV 51rv.dat 340 34.1 7.774E-006
52RV 52rv.dat 340 34.1 7.643E-006
53RV 53rv.dat 340.1 34.09 7.638E-006
54RV 54rv.dat 340 34.1 7.888E-006
55RV 55rv.dat 339.8 34.12 7.504E-006
56RV 56rv.dat 340 34.1 7.634E-006
57RV 57rv.dat 340 34.1 7.567E-006
