N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 290 1.500E-4 1.259132370E+00 1.318961089E+00 1.218432617E+00 1.233687450E+00
1.468000E+10 1.000E+17 290 1.500E-4 1.265774080E+00 1.319061412E+00 1.222965452E+00 1.234210781E+00
2.154000E+10 1.000E+17 290 1.500E-4 1.272140123E+00 1.319207722E+00 1.226698804E+00 1.234941983E+00
3.162000E+10 1.000E+17 290 1.500E-4 1.278500387E+00 1.319420837E+00 1.229923321E+00 1.235945154E+00
4.642000E+10 1.000E+17 290 1.500E-4 1.284928996E+00 1.319730425E+00 1.232886566E+00 1.237289783E+00
6.813000E+10 1.000E+17 290 1.500E-4 1.291341219E+00 1.320178208E+00 1.235799273E+00 1.239042249E+00
1.000000E+11 1.000E+17 290 1.500E-4 1.297571476E+00 1.320821741E+00 1.238831739E+00 1.241254966E+00
1.468000E+11 1.000E+17 290 1.500E-4 1.303470444E+00 1.321738153E+00 1.242107624E+00 1.243956808E+00
2.154000E+11 1.000E+17 290 1.500E-4 1.308983920E+00 1.323026443E+00 1.245702188E+00 1.247149034E+00
3.162000E+11 1.000E+17 290 1.500E-4 1.314184200E+00 1.324805795E+00 1.249648086E+00 1.250808896E+00
4.642000E+11 1.000E+17 290 1.500E-4 1.319249403E+00 1.327206107E+00 1.253948458E+00 1.254900115E+00
6.813000E+11 1.000E+17 290 1.500E-4 1.324407114E+00 1.330347320E+00 1.258593279E+00 1.259386143E+00
1.000000E+12 1.000E+17 290 1.500E-4 1.329864987E+00 1.334307844E+00 1.263572036E+00 1.264239540E+00
1.468000E+12 1.000E+17 290 1.500E-4 1.335749837E+00 1.339090776E+00 1.268877503E+00 1.269442594E+00
2.154000E+12 1.000E+17 290 1.500E-4 1.342074951E+00 1.344605191E+00 1.274501950E+00 1.274981171E+00
3.162000E+12 1.000E+17 290 1.500E-4 1.348748865E+00 1.350678865E+00 1.280429500E+00 1.280835548E+00
4.642000E+12 1.000E+17 290 1.500E-4 1.355620701E+00 1.357101730E+00 1.286641955E+00 1.286984990E+00
6.813000E+12 1.000E+17 290 1.500E-4 1.362535807E+00 1.363677179E+00 1.293117629E+00 1.293406342E+00
1.000000E+13 1.000E+17 290 1.500E-4 1.369371792E+00 1.370253479E+00 1.299794232E+00 1.300035988E+00
1.000000E+10 1.000E+17 300 1.500E-4 1.264284990E+00 1.318879330E+00 1.218665916E+00 1.239381314E+00
1.468000E+10 1.000E+17 300 1.500E-4 1.272378978E+00 1.318962077E+00 1.225046001E+00 1.239895328E+00
