N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.007340000E-03 2.536996000E-03 2.200632000E-03 1.941948000E-03
1.600000000E+01 7.791511000E-03 7.238907000E-03 6.736489000E-03 6.351319000E-03
1.700000000E+01 6.046916600E-02 6.288782300E-02 6.500156300E-02 6.712121100E-02
1.549996187E+01 1.246745000E-03 9.866010000E-04 8.153330000E-04 6.932850000E-04
1.649996187E+01 2.559896900E-02 2.587280200E-02 2.613476400E-02 2.645952500E-02
1.674996808E+01 4.013925800E-02 4.115703000E-02 4.232897800E-02 4.338889200E-02
1.624993176E+01 1.548650700E-02 1.520739300E-02 1.500596000E-02 1.486028300E-02
1.574996808E+01 8.564520000E-04 2.536580000E-04 -2.095340000E-04 -6.250550000E-04
1.524993176E+01 1.544211000E-03 1.275781000E-03 1.091363000E-03 9.525810000E-04
