Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.528670E-1 2.272060E+1 4.046860E-1 7.457340E+1 7.550267E-1 2.293470E+1 4.048290E-1 7.503420E+1 2.8604286E-01 9.3351995E-01 3.5323556E-02 6.1411996E-01
1.468000E+10 7.508278E-1 2.249510E+1 4.030990E-1 7.432510E+1 7.538943E-1 2.279170E+1 4.034070E-1 7.494170E+1 4.0675463E-01 1.3013509E+00 7.6349692E-02 8.2277290E-01
2.154000E+10 7.479046E-1 2.219060E+1 4.008150E-1 7.402510E+1 7.522542E-1 2.259390E+1 4.014480E-1 7.481650E+1 5.7820880E-01 1.7849951E+00 1.5767920E-01 1.0577881E+00
3.162000E+10 7.437576E-1 2.179010E+1 3.974930E-1 7.370530E+1 7.498934E-1 2.232590E+1 3.987510E-1 7.466350E+1 8.1822296E-01 2.3999033E+00 3.1548510E-01 1.2833580E+00
4.642000E+10 7.379594E-1 2.128070E+1 3.929440E-1 7.338770E+1 7.465245E-1 2.197200E+1 3.951750E-1 7.447960E+1 1.1473301E+00 3.1462771E+00 5.6456001E-01 1.4660390E+00
6.813000E+10 7.300136E-1 2.065610E+1 3.869630E-1 7.312220E+1 7.417751E-1 2.151860E+1 3.907160E-1 7.424750E+1 1.5855884E+00 4.0081604E+00 9.6054423E-01 1.5156066E+00
1.000000E+11 7.194111E-1 1.991750E+1 3.797080E-1 7.291360E+1 7.351921E-1 2.095680E+1 3.851850E-1 7.400410E+1 2.1465138E+00 4.9592495E+00 1.4219141E+00 1.4735670E+00
1.468000E+11 7.057366E-1 1.907560E+1 3.715780E-1 7.274240E+1 7.262737E-1 2.028390E+1 3.788450E-1 7.372080E+1 2.8277356E+00 5.9569412E+00 1.9181987E+00 1.3271695E+00
2.154000E+11 6.888052E-1 1.815060E+1 3.631660E-1 7.255890E+1 7.145455E-1 1.950560E+1 3.717960E-1 7.342160E+1 3.6023318E+00 6.9467230E+00 2.3211654E+00 1.1749948E+00
3.162000E+11 6.687625E-1 1.716790E+1 3.549140E-1 7.233060E+1 6.996802E-1 1.863530E+1 3.643220E-1 7.310570E+1 4.4188331E+00 7.8743031E+00 2.5823310E+00 1.0602456E+00
4.642000E+11 6.460534E-1 1.615420E+1 3.470440E-1 7.204980E+1 6.816235E-1 1.769410E+1 3.567500E-1 7.276450E+1 5.2184380E+00 8.7029010E+00 2.7206727E+00 9.8220973E-01
6.813000E+11 6.212274E-1 1.513040E+1 3.395910E-1 7.172060E+1 6.606455E-1 1.670730E+1 3.493060E-1 7.239880E+1 5.9666039E+00 9.4383892E+00 2.7812291E+00 9.3675586E-01
1.000000E+12 5.946810E-1 1.410580E+1 3.323460E-1 7.137150E+1 6.372437E-1 1.569850E+1 3.420100E-1 7.203000E+1 6.6791873E+00 1.0145555E+01 2.8256484E+00 9.1420242E-01
1.468000E+12 5.665222E-1 1.307940E+1 3.252020E-1 7.099310E+1 6.119138E-1 1.468340E+1 3.348990E-1 7.165110E+1 7.4179729E+00 1.0923900E+01 2.8954998E+00 9.1833901E-01
2.154000E+12 5.366490E-1 1.204520E+1 3.180330E-1 7.057540E+1 5.849319E-1 1.366680E+1 3.279390E-1 7.124740E+1 8.2544481E+00 1.1865250E+01 3.0206837E+00 9.4319231E-01
3.162000E+12 5.049636E-1 1.100070E+1 3.106930E-1 7.011800E+1 5.563026E-1 1.264510E+1 3.209670E-1 7.081890E+1 9.2286105E+00 1.3004247E+01 3.2009521E+00 9.8970755E-01
4.642000E+12 4.715564E-1 9.950200E+0 3.030330E-1 6.963200E+1 5.259005E-1 1.161310E+1 3.137850E-1 7.037440E+1 1.0333533E+01 1.4319174E+01 3.4265500E+00 1.0549291E+00
6.813000E+12 4.367652E-1 8.905200E+0 2.950980E-1 6.909230E+1 4.936842E-1 1.057090E+1 3.063980E-1 6.988400E+1 1.1529435E+01 1.5757409E+01 3.6880136E+00 1.1328773E+00
1.000000E+13 4.011080E-1 7.881000E+0 2.868640E-1 6.849290E+1 4.598365E-1 9.525600E+0 2.987550E-1 6.933850E+1 1.2771605E+01 1.7265054E+01 3.9801844E+00 1.2195245E+00
1.468000E+13 3.652183E-1 6.894200E+0 2.783080E-1 6.782710E+1 4.247597E-1 8.490400E+0 2.907800E-1 6.874180E+1 1.4017667E+01 1.8800057E+01 4.2891533E+00 1.3306314E+00
2.154000E+13 3.297551E-1 5.959800E+0 2.694060E-1 6.708680E+1 3.890247E-1 7.481200E+0 2.824230E-1 6.809140E+1 1.5235434E+01 2.0336310E+01 4.6090439E+00 1.4753699E+00
3.162000E+13 2.953492E-1 5.090800E+0 2.601170E-1 6.626450E+1 3.532751E-1 6.514100E+0 2.737210E-1 6.736490E+1 1.6396825E+01 2.1849526E+01 4.9700242E+00 1.6334916E+00
4.642000E+13 2.625576E-1 4.296300E+0 2.503990E-1 6.534940E+1 3.181632E-1 5.603800E+0 2.646530E-1 6.655070E+1 1.7477068E+01 2.3332382E+01 5.3859204E+00 1.8050900E+00
6.813000E+13 2.318321E-1 3.582000E+0 2.402290E-1 6.431810E+1 2.842978E-1 4.761900E+0 2.551900E-1 6.563600E+1 1.8454487E+01 2.4777925E+01 5.8626905E+00 2.0078920E+00
1.000000E+14 2.035017E-1 2.949800E+0 2.295120E-1 6.315640E+1 2.522029E-1 3.996800E+0 2.452970E-1 6.460630E+1 1.9310325E+01 2.6195957E+01 6.4350563E+00 2.2442084E+00
