N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 2.934570000E-04 2.691770000E-04 2.531250000E-04 2.393210000E-04 2.202000000E-04 1.653240000E-04 2.142800000E-05 1.676040000E-04 1.851210000E-04 2.351350000E-04 3.315210000E-04
1.600000000E+01 8.929400000E-04 9.042290000E-04 9.539450000E-04 1.032546000E-03 1.071558000E-03 1.221595000E-03 1.399071000E-03 1.634811000E-03 1.906814000E-03 2.180653000E-03 2.462760000E-03
1.700000000E+01 2.258293000E-03 2.358752000E-03 2.504601000E-03 2.779211000E-03 3.255733000E-03 3.903939000E-03 4.638682000E-03 5.604792000E-03 6.712449000E-03 7.825822000E-03 9.387282000E-03
1.549996187E+01 5.677470000E-04 5.406520000E-04 5.358690000E-04 5.699190000E-04 5.646150000E-04 6.094130000E-04 6.719960000E-04 7.282390000E-04 7.353580000E-04 6.076190000E-04 1.965460000E-04
1.649996187E+01 1.333689000E-03 1.386824000E-03 1.461615000E-03 1.620592000E-03 1.876273000E-03 2.185196000E-03 2.609533000E-03 3.121955000E-03 3.671540000E-03 4.335279000E-03 5.054334000E-03
1.674996808E+01 1.714283000E-03 1.789719000E-03 1.936252000E-03 2.151936000E-03 2.465622000E-03 2.896531000E-03 3.489592000E-03 4.203302000E-03 4.963784000E-03 5.873617000E-03 6.860255000E-03
1.624993176E+01 1.070587000E-03 1.090733000E-03 1.155515000E-03 1.246384000E-03 1.419428000E-03 1.651476000E-03 1.923802000E-03 2.278339000E-03 2.694379000E-03 3.123720000E-03 3.614417000E-03
1.574996808E+01 7.397790000E-04 7.141580000E-04 7.438420000E-04 8.002630000E-04 8.674710000E-04 9.442660000E-04 9.933690000E-04 1.135610000E-03 1.279501000E-03 1.405578000E-03 1.422788000E-03
1.524993176E+01 4.168250000E-04 3.830130000E-04 3.711530000E-04 3.719850000E-04 3.829370000E-04 3.943410000E-04 3.877030000E-04 3.081840000E-04 6.820800000E-05 1.853130000E-04 2.058560000E-04
